Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
W02B3.7,W02B3.7,,-1.62,0.017,W02B3.7,WBGene00020927,Public name for WBGene00020927. History: N.A.
W02B9.1,W02B9.1b,hmr-1,-1.63,0.045,W02B9.1,WBGene00001980,Sequence name for WBGene00001980(hmr-1). History: N.A.
W02D3.10,W02D3.10a,,2.08,0.0022,W02D3.10,WBGene00020935,Sequence name for WBGene00020935(fnci-1). History: N.A.
W02D3.11,W02D3.11a,hrpf-1,3.16,0.014,W02D3.11,WBGene00020936,Sequence name for WBGene00020936(hrpf-1). History: N.A.
W02D7.10,W02D7.10,clec-219,-8.59,0.00092,W02D7.10,WBGene00020945,Sequence name for WBGene00020945(clec-219). History: N.A.
W02D7.12,W02D7.12,,-3.65,0.039,W02D7.12,WBGene00044356,Public name for WBGene00044356. History: N.A.
W02D9.3,W02D9.3,,-1.77,0.014,W02D9.3,WBGene00012209,Sequence name for WBGene00012209(hmg-20). History: N.A.
W02D9.6,W02D9.6,,1.68,0.0096,W02D9.6,WBGene00012212,Public name for WBGene00012212. History: N.A.
W02F12.4,W02F12.4b,,-1.64,0.034,W02F12.4,WBGene00020949,Public name for WBGene00020949. History: N.A.
W02G9.4,W02G9.4,,1.49,0.047,W02G9.4,WBGene00020954,Public name for WBGene00020954. History: N.A.
W02H5.2,W02H5.2,,-1.36,0.044,W02H5.2,WBGene00020957,"Public name for WBGene00020957. History: Split into W02H5.19(WBGene00302982). History of WBGene00020957: Split into ""WBGene00302982"" on 2018-03-06"
W02H5.7,W02H5.7,sknr-1,1.42,0.041,W02H5.7,WBGene00020961,Sequence name for WBGene00020961(sknr-1). History: N.A.
W02H5.9,W02H5.9,,-1.6,0.012,W02H5.9,WBGene00020957,"Public name for Dead gene WBGene00020963. History of WBGene00020963: Merged into ""WBGene00020957"" on 2013-02-19"
W03A5.7,W03A5.7,dnj-24,2.46,0.0013,W03A5.7,WBGene00001042,Sequence name for WBGene00001042(dnj-24). History: N.A.
W03B1.8,W03B1.8,,-1.48,0.022,W03B1.8,WBGene00020977,Sequence name for WBGene00020977(oac-52). History: N.A.
W03C9.5,W03C9.5,,2.86,0.00083,W03C9.5,WBGene00012221,Public name for WBGene00012221. History: N.A.
W03D2.1,W03D2.1c,pqn-75,-1.45,0.033,W03D2.1,WBGene00004157,Sequence name for WBGene00004157(pqn-75). History: N.A.
W03F11.6,W03F11.6a,afd-1,-1.78,0.018,W03F11.6,WBGene00021009,Sequence name for WBGene00021009(afd-1). History: N.A.
W03F8.10,W03F8.10,,4.08,0.00022,W03F8.10,WBGene00002247,"Public name for Dead gene WBGene00020998. History of WBGene00020998: Merged into ""WBGene00002247"" on 2012-01-30"
W03F8.5,W03F8.5,lam-1,-1.42,0.034,W03F8.5,WBGene00002247,Sequence name for WBGene00002247(lam-1). History: N.A.
W03G1.8,W03G1.8,,-1.52,0.044,W03G1.8,WBGene00021013,Public name for WBGene00021013. History: N.A.
W03G11.3,W03G11.3,,1.55,0.022,W03G11.3,WBGene00012225,Public name for WBGene00012225. History: N.A.
W03G9.8,W03G9.8,,1.37,0.024,W03G9.8,WBGene00044431,Sequence name for WBGene00044431(mzt-1). History: N.A.
W04A8.7,W04A8.7,taf-1,-1.49,0.05,W04A8.7,WBGene00006382,Sequence name for WBGene00006382(taf-1). History: N.A.
W04E12.3,W04E12.3,,1.96,0.028,W04E12.3,WBGene00012248,Public name for WBGene00012248. History: N.A.
W04E12.6,W04E12.6,clec-49,1.3,0.049,W04E12.6,WBGene00012251,Sequence name for WBGene00012251(clec-49). History: N.A.
W04G3.12,W04G3.12,,2.54,0.031,W04G3.12,WBGene00044151,Public name for WBGene00044151. History: N.A.
W04G3.4,W04G3.4,apt-9,-1.53,0.033,W04G3.4,WBGene00000166,Sequence name for WBGene00000166(apt-9). History: N.A.
W04G3.7,W04G3.7,,2.18,0.0084,W04G3.7,WBGene00012260,Public name for WBGene00012260. History: N.A.
W04G5.12,W04G5.12,,-1.35,0.022,W04G5.12,WBGene00045075,Public name for WBGene00045075. History: N.A.
W04H10.2,W04H10.2,,2.34,0.0082,W04H10.2,WBGene00021031,"Public name for WBGene00021031. History: Split into W04H10.5(WBGene00206416). History of WBGene00021031: Split into ""WBGene00206416"" on 2011-02-28"
W05B10.3,W05B10.3,,1.95,0.041,W05B10.3,WBGene00012278,Public name for WBGene00012278. History: N.A.
W05B5.1,W05B5.1,,-1.44,0.029,W05B5.1,WBGene00012274,Public name for WBGene00012274. History: N.A.
W05E7.1,W05E7.1,grd-3,-1.35,0.048,W05E7.1,WBGene00001692,Sequence name for WBGene00001692(grd-3). History: N.A.
W05G11.5,W05G11.5,btb-5,-1.38,0.049,W05G11.5,WBGene00021042,Sequence name for WBGene00021042(btb-5). History: N.A.
W05H12.3,W05H12.3,,-1.35,0.047,W05H12.3,WBGene00077561,Public name for WBGene00077561. History: N.A.
W05H7.1,W05H7.1,,-1.6,0.011,W05H7.1,WBGene00021044,Public name for WBGene00021044. History: N.A.
W05H7.2,W05H7.2,,1.47,0.036,W05H7.2,WBGene00021045,Public name for WBGene00021045. History: N.A.
W06A11.1,W06A11.1,,-2.02,0.035,W06A11.1,WBGene00021052,Public name for WBGene00021052. History: N.A.
W06A11.4,W06A11.4,,4.05,2.7e-05,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
W06A7.5,W06A7.5,nspa-8,-1.72,0.028,W06A7.5,WBGene00012294,Sequence name for WBGene00012294(nspa-8). History: N.A.
W06B11.2,W06B11.2,puf-9,-1.5,0.037,W06B11.2,WBGene00004245,Sequence name for WBGene00004245(puf-9). History: N.A.
W06B11.3,W06B11.3,dct-11,-1.66,0.009,W06B11.3,WBGene00021060,Sequence name for WBGene00021060(dct-11). History: N.A.
W06D11.5,W06D11.5,,-1.41,0.02,W06D11.5,WBGene00012303,Public name for WBGene00012303. History: N.A.
W06D12.3,W06D12.3,fat-5,1.5,0.026,W06D12.3,WBGene00001397,Sequence name for WBGene00001397(fat-5). History: N.A.
W06D4.6,W06D4.6,rad-54,-1.46,0.039,W06D4.6,WBGene00004298,Sequence name for WBGene00004298(rad-54.L). History: Renamed on 2019-07-04
W06F12.1,W06F12.1d,lit-1,-1.42,0.025,W06F12.1,WBGene00003048,Sequence name for WBGene00003048(lit-1). History: N.A.
W06G6.11,W06G6.11,,2.55,0.00018,W06G6.11,WBGene00012313,"Public name for WBGene00012313. History: Split into W06G6.20(WBGene00219308). History of WBGene00012313: Split into ""WBGene00219308"" on 2011-10-27"
W06H12.1,W06H12.1,ztf-6,-1.55,0.04,W06H12.1,WBGene00012317,Sequence name for WBGene00012317(ztf-6). History: Renamed on 2015-07-03
W06H3.3,W06H3.3,,1.53,0.02,W06H3.3,WBGene00012316,Sequence name for WBGene00012316(ctps-1). History: N.A.
W06H8.1,W06H8.1b,rme-1,-1.44,0.041,W06H8.1,WBGene00004373,Sequence name for WBGene00004373(rme-1). History: N.A.
W06H8.8,W06H8.8g,ttn-1,-1.45,0.043,W06H8.8,WBGene00006436,"Sequence name for WBGene00006436(ttn-1). History: Renamed on 2005-12-13. Public name for Dead gene WBGene00021069. History of WBGene00021069: Merged into ""WBGene00006436"" on 2004-05-28"
W07A12.7,W07A12.7,rhy-1,-1.42,0.022,W07A12.7,WBGene00012324,Sequence name for WBGene00012324(rhy-1). History: Renamed on 2006-05-15
W07A8.3,W07A8.3.1,dnj-25,-1.7,0.012,W07A8.3,WBGene00001043,Sequence name for WBGene00001043(dnj-25). History: N.A.
W07B3.2,W07B3.2a.1,gei-4,-1.47,0.029,W07B3.2,WBGene00001561,Sequence name for WBGene00001561(gei-4). History: N.A.
W07E6.1,W07E6.1,nol-1,-1.68,0.045,W07E6.1,WBGene00021073,Sequence name for WBGene00021073(nsun-1). History: Renamed on 2017-08-01; Renamed on 2020-06-01
W07G1.10,W07G1.10,,-1.37,0.027,W07G1.10,,"Public name for Dead gene WBGene00044123. History of WBGene00044123: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
W07G1.2,W07G1.2,sre-44,1.56,0.034,W07G1.2,WBGene00012329,Sequence name for WBGene00012329(sre-44). History: N.A.
W07G1.6,W07G1.6,sre-43,-1.69,0.034,W07G1.6,WBGene00012333,Sequence name for WBGene00012333(sre-43). History: N.A.
W07G1.7,W07G1.7,,-1.91,0.018,W07G1.7,WBGene00012334,Public name for WBGene00012334. History: N.A.
W07G4.6,W07G4.6,srr-1,-1.49,0.034,W07G4.6,WBGene00005652,Sequence name for WBGene00005652(srr-1). History: N.A.
W08A12.2,W08A12.2.2,,2.11,0.00057,W08A12.2,WBGene00021079,Public name for WBGene00021079. History: N.A.
W08A12.4,W08A12.4,,2.29,0.0023,W08A12.4,WBGene00021081,Sequence name for WBGene00021081(pals-33). History: N.A.
W08E12.2,W08E12.2,,1.93,0.0084,W08E12.2,WBGene00021083,Public name for WBGene00021083. History: N.A.
W08E12.7,W08E12.7.1,,-1.57,0.028,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
W08E3.2,W08E3.2,,-1.54,0.016,W08E3.2,WBGene00012343,Sequence name for WBGene00012343(casc-3). History: N.A.
W08F4.1,W08F4.1,,1.86,0.037,W08F4.1,WBGene00021091,Public name for WBGene00021091. History: N.A.
W08F4.10,W08F4.10,,2.45,0.0068,W08F4.10,WBGene00021099,Public name for WBGene00021099. History: N.A.
W09C5.3,W09C5.3,,1.65,0.038,W09C5.3,WBGene00014858,Public name for WBGene00014858. History: N.A.
W09G10.4,W09G10.4b,apd-3,-1.66,0.035,W09G10.4,WBGene00000162,Sequence name for WBGene00000162(apd-3). History: N.A.
W09G10.5,W09G10.5,clec-126,1.69,0.018,W09G10.5,WBGene00021117,Sequence name for WBGene00021117(clec-126). History: N.A.
W09G10.6,W09G10.6,clec-125,-2.53,0.034,W09G10.6,WBGene00021118,Sequence name for WBGene00021118(clec-125). History: N.A.
W09G12.6,W09G12.6,,-2.53,0.042,W09G12.6,WBGene00021120,Public name for WBGene00021120. History: N.A.
W09G12.7,W09G12.7,,2.45,0.0012,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
W09G12.8,W09G12.8,,3.07,0.02,W09G12.8,WBGene00021122,Public name for WBGene00021122. History: N.A.
W09G12.9,W09G12.9,,-1.42,0.047,W09G12.9,WBGene00021123,Public name for WBGene00021123. History: N.A.
W10C8.1,W10C8.1,ccb-2,-1.45,0.043,W10C8.1,WBGene00021125,Sequence name for WBGene00021125(ccb-2). History: N.A.
W10C8.5,W10C8.5.1,,-1.44,0.043,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
W10C8.6,W10C8.6,,1.98,0.0072,W10C8.6,WBGene00044433,Public name for WBGene00044433. History: N.A.
W10G11.1,W10G11.1,,1.66,0.034,W10G11.1,WBGene00021134,Public name for WBGene00021134. History: N.A.
W10G11.11,W10G11.11,clec-134,-8.36,0.025,W10G11.11,WBGene00021141,Sequence name for WBGene00021141(clec-134). History: N.A.
W10G11.12,W10G11.12,clec-133,-5.19,0.012,W10G11.12,WBGene00021142,Sequence name for WBGene00021142(clec-133). History: N.A.
W10G11.2,W10G11.2,,1.55,0.034,W10G11.2,WBGene00021135,Public name for WBGene00021135. History: N.A.
W10G11.3,W10G11.3,,1.37,0.047,W10G11.3,WBGene00021136,Public name for WBGene00021136. History: N.A.
Y102A11A.8,Y102A11A.8,,-1.31,0.039,Y102A11A.8,WBGene00022418,Sequence name for WBGene00022418(igcm-4). History: N.A.
Y102A5C.11,Y102A5C.11,,2.5,0.0029,Y102A5C.11,WBGene00014956,Public name for WBGene00014956. History: N.A.
Y102A5C.14,Y102A5C.14,fbxa-111,2.54,0.0011,Y102A5C.14,WBGene00013620,Sequence name for WBGene00013620(fbxa-111). History: N.A.
Y102A5C.17,Y102A5C.17,clec-238,1.66,0.026,Y102A5C.17,WBGene00013622,Sequence name for WBGene00013622(clec-238). History: N.A.
Y102A5C.35,Y102A5C.35,,2.67,0.00018,Y102A5C.35,WBGene00044220,Public name for WBGene00044220. History: N.A.
Y102A5C.36,Y102A5C.36,,3.99,1.4e-05,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
Y102A5C.4,Y102A5C.4,,2.08,0.004,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
Y102A5C.5,Y102A5C.5,,1.81,0.0066,Y102A5C.5,WBGene00014954,Public name for WBGene00014954. History: N.A.
Y102A5C.6,Y102A5C.6,,1.79,0.0018,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
Y102A5C.7,Y102A5C.7,clec-237,1.63,0.033,Y102A5C.7,WBGene00013614,Sequence name for WBGene00013614(clec-237). History: N.A.
Y102A5C.8,Y102A5C.8,fbxa-110,2.22,0.046,Y102A5C.8,WBGene00013615,Sequence name for WBGene00013615(fbxa-110). History: N.A.
Y104H12D.1,Y104H12D.1,mdt-20,1.52,0.034,Y104H12D.1,WBGene00007020,Sequence name for WBGene00007020(mdt-20). History: N.A.
Y104H12D.3,Y104H12D.3,,1.45,0.023,Y104H12D.3,WBGene00022427,Sequence name for WBGene00022427(spl-3). History: N.A.
Y105C5A.1,Y105C5A.1,,-1.69,0.045,Y105C5A.1,WBGene00013632,Public name for WBGene00013632. History: N.A.
Y105C5A.31,Y105C5A.31,,-1.32,0.04,Y105C5A.31,WBGene00045027,Public name for WBGene00045027. History: N.A.
Y105C5B.1,Y105C5B.1,,-1.35,0.044,Y105C5B.1,WBGene00013645,Public name for WBGene00013645. History: N.A.
Y105C5B.12,Y105C5B.12a,,-1.4,0.025,Y105C5B.12,WBGene00013652,Sequence name for WBGene00013652(sams-2). History: N.A.
Y105C5B.31,Y105C5B.31,,2.33,0.012,Y105C5B.31,,"Public name for Dead gene WBGene00044996. History of WBGene00044996: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y105E8A.16,Y105E8A.16.1,rps-20,1.64,0.0038,Y105E8A.16,WBGene00004489,Sequence name for WBGene00004489(rps-20). History: N.A.
Y105E8A.22,Y105E8A.22,exc-4,-1.44,0.039,Y105E8A.22,WBGene00001365,Sequence name for WBGene00001365(exc-4). History: N.A.
Y105E8A.24,Y105E8A.24b,,-1.52,0.028,Y105E8A.24,WBGene00013682,"Public name for Dead gene WBGene00013681. History of WBGene00013681: Merged into ""WBGene00013682"" on 2014-10-09"
Y105E8A.32,Y105E8A.32,,1.99,0.045,Y105E8A.32,WBGene00044264,Public name for WBGene00044264. History: N.A.
Y105E8A.7,Y105E8A.7d,eat-18,-1.83,0.0085,Y105E8A.7,"WBGene00001147, WBGene00002977",Sequence name for WBGene00001147(eat-18). History: N.A.. Sequence name for WBGene00002977(lev-10). History: N.A.
Y106G6D.1,Y106G6D.1,,1.5,0.038,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
Y106G6D.8,Y106G6D.8.2,,2.16,0.0019,Y106G6D.8,WBGene00013704,Public name for WBGene00013704. History: N.A.
Y106G6E.6,Y106G6E.6.1,csnk-1,-1.74,0.014,Y106G6E.6,WBGene00013709,Sequence name for WBGene00013709(csnk-1). History: N.A.
Y106G6H.16,Y106G6H.16,,1.57,0.014,Y106G6H.16,WBGene00013726,Public name for WBGene00013726. History: N.A.
Y106G6H.2,Y106G6H.2a.1,pab-1,-1.48,0.048,Y106G6H.2,WBGene00003902,Sequence name for WBGene00003902(pab-1). History: N.A.
Y106G6H.5,Y106G6H.5.2,,-1.69,0.029,Y106G6H.5,WBGene00013718,Sequence name for WBGene00013718(pdpr-1). History: N.A.
Y108F1.3,Y108F1.3,set-33,-1.63,0.038,Y108F1.3,WBGene00022431,Sequence name for WBGene00022431(set-33). History: N.A.
Y108G3AL.1,Y108G3AL.1.1,cul-3,1.97,0.049,Y108G3AL.1,WBGene00000838,Sequence name for WBGene00000838(cul-3). History: N.A.
Y108G3AL.2,Y108G3AL.2,,1.77,0.049,Y108G3AL.2,WBGene00022434,Public name for WBGene00022434. History: N.A.
Y10G11A.2,Y10G11A.2a,dlc-3,1.43,0.034,Y10G11A.2,WBGene00012424,Sequence name for WBGene00012424(dlc-3). History: N.A.
Y10G11A.3,Y10G11A.3,dlc-4,-1.37,0.037,Y10G11A.3,WBGene00012425,Sequence name for WBGene00012425(dlc-4). History: N.A.
Y110A2AL.12,Y110A2AL.12a,,-1.74,0.044,Y110A2AL.12,WBGene00022447,Sequence name for WBGene00022447(pigw-1). History: Renamed on 2018-12-11
Y110A2AL.13,Y110A2AL.13,,1.83,0.008,Y110A2AL.13,WBGene00022448,Sequence name for WBGene00022448(pinn-1). History: N.A.
Y110A2AL.2,Y110A2AL.2,,1.97,0.018,Y110A2AL.2,WBGene00022439,Public name for WBGene00022439. History: N.A.
Y110A2AL.3,Y110A2AL.3,,2.03,0.0026,Y110A2AL.3,WBGene00022440,Public name for WBGene00022440. History: N.A.
Y110A2AL.4,Y110A2AL.4b,,1.38,0.044,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
Y110A2AL.6,Y110A2AL.6,,-2.45,0.017,Y110A2AL.6,WBGene00022443,Public name for WBGene00022443. History: N.A.
Y110A2AL.7,Y110A2AL.7,,-4.51,0.0064,Y110A2AL.7,WBGene00022444,Public name for WBGene00022444. History: N.A.
Y110A2AL.9,Y110A2AL.9,,1.57,0.023,Y110A2AL.9,WBGene00022445,Public name for WBGene00022445. History: N.A.
Y110A2AM.4,Y110A2AM.4,,-1.35,0.046,Y110A2AM.4,,Public name for Dead gene WBGene00022451. History of WBGene00022451: Killed on 2014-09-18. Remark: Retired due to lack of evidence
Y110A2AR.1,Y110A2AR.1,,1.4,0.024,Y110A2AR.1,WBGene00022452,Public name for WBGene00022452. History: N.A.
Y110A2AR.2,Y110A2AR.2,ubc-15,2.47,0.00027,Y110A2AR.2,WBGene00006710,Sequence name for WBGene00006710(ubc-15). History: N.A.
Y110A7A.1,Y110A7A.1b,hcp-6,-1.63,0.028,Y110A7A.1,WBGene00001833,Sequence name for WBGene00001833(hcp-6). History: Renamed on 2015-03-05; Renamed on 2015-03-05
Y110A7A.12,Y110A7A.12,tag-300,-1.32,0.05,Y110A7A.12,WBGene00004959,Sequence name for WBGene00004959(spe-5). History: Renamed on 2012-04-24
Y110A7A.14,Y110A7A.14.1,pas-3,1.48,0.015,Y110A7A.14,WBGene00003924,Sequence name for WBGene00003924(pas-3). History: N.A.
Y110A7A.3,Y110A7A.3,unc-63,2.05,0.0076,Y110A7A.3,WBGene00006797,Sequence name for WBGene00006797(unc-63). History: N.A.
Y110A7A.4,Y110A7A.4,,1.45,0.026,Y110A7A.4,WBGene00022455,Sequence name for WBGene00022455(tyms-1). History: Renamed on 2015-03-31
Y111B2A.16,Y111B2A.16,taf-7.2,2.54,0.00017,Y111B2A.16,WBGene00006389,Sequence name for WBGene00006389(taf-7.2). History: N.A.
Y111B2A.26,Y111B2A.26,,-1.66,0.015,Y111B2A.26,WBGene00013730,"Public name for Dead gene WBGene00013743. History of WBGene00013743: Merged into ""WBGene00013730"" on 2009-11-16"
Y111B2A.4,Y111B2A.4,,-1.54,0.045,Y111B2A.4,WBGene00013730,Sequence name for WBGene00013730(sql-1). History: N.A.
Y111B2A.5,Y111B2A.5a,,-1.72,0.041,Y111B2A.5,WBGene00013730,"Public name for Dead gene WBGene00013731. History of WBGene00013731: Merged into ""WBGene00013730"" on 2009-11-16"
Y113G7A.13,Y113G7A.13,,1.44,0.047,Y113G7A.13,WBGene00013750,Public name for WBGene00013750. History: N.A.
Y113G7A.15,Y113G7A.15,,1.66,0.039,Y113G7A.15,WBGene00013752,Sequence name for WBGene00013752(nlp-69). History: N.A.
Y113G7B.18,Y113G7B.18.3,mdt-17,-1.8,0.022,Y113G7B.18,WBGene00007017,Sequence name for WBGene00007017(mdt-17). History: N.A.
Y116A8A.1,Y116A8A.1,clec-192,-1.99,0.024,Y116A8A.1,WBGene00013772,Sequence name for WBGene00013772(clec-192). History: N.A.
Y116A8A.3,Y116A8A.3,clec-193,-1.75,0.04,Y116A8A.3,WBGene00013774,Sequence name for WBGene00013774(clec-193). History: N.A.
Y116A8B.1,Y116A8B.1,,1.71,0.019,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y116A8B.4,Y116A8B.4,,1.86,0.017,Y116A8B.4,WBGene00013781,Public name for WBGene00013781. History: N.A.
Y116A8C.11,Y116A8C.11,,1.79,0.02,Y116A8C.11,WBGene00013791,Sequence name for WBGene00013791(nccd-1). History: N.A.
Y116A8C.15,Y116A8C.15,,2.74,0.00011,Y116A8C.15,WBGene00004403,"Public name for Dead gene WBGene00013793. History of WBGene00013793: Merged into ""WBGene00004403"" on 2009-01-09"
Y116A8C.16,Y116A8C.16b,rom-4,-1.93,0.013,Y116A8C.16,WBGene00004403,Sequence name for WBGene00004403(rom-4). History: N.A.
Y116A8C.29,Y116A8C.29,,1.77,0.007,Y116A8C.29,WBGene00013806,Public name for WBGene00013806. History: N.A.
Y116A8C.42,Y116A8C.42.1,snr-1,1.32,0.036,Y116A8C.42,WBGene00004914,Sequence name for WBGene00004914(snr-1). History: N.A.
Y116A8C.49,Y116A8C.49,,-1.38,0.046,Y116A8C.49,WBGene00045128,Public name for WBGene00045128. History: N.A.
Y116A8C.51,Y116A8C.51,,-1.37,0.021,Y116A8C.51,WBGene00045280,Public name for WBGene00045280. History: N.A.
Y116A8C.52,Y116A8C.52,,2.18,0.035,Y116A8C.52,WBGene00045315,Public name for WBGene00045315. History: N.A.
Y116A8C.8,Y116A8C.8,,2.52,0.0039,Y116A8C.8,WBGene00013788,Public name for WBGene00013788. History: N.A.
Y116F11A.4,Y116F11A.4,,1.83,0.05,Y116F11A.4,WBGene00014615,Public name for WBGene00014615. History: N.A.
Y116F11B.10,Y116F11B.10,,2.11,0.00043,Y116F11B.10,WBGene00013826,Public name for WBGene00013826. History: N.A.
Y116F11B.12,Y116F11B.12b.1,gly-4,-1.44,0.04,Y116F11B.12,WBGene00001629,Sequence name for WBGene00001629(gly-4). History: N.A.
Y119C1A.1,Y119C1A.1,,1.65,0.02,Y119C1A.1,WBGene00022466,Public name for WBGene00022466. History: N.A.
Y119C1B.12,Y119C1B.12,,1.59,0.049,Y119C1B.12,WBGene00044754,Public name for WBGene00044754. History: N.A.
Y119D3A.2,Y119D3A.2,fbxa-28,2.31,0.029,Y119D3A.2,WBGene00022477,Sequence name for WBGene00022477(fbxa-28). History: N.A.
Y119D3A.3,Y119D3A.3,fbxa-35,1.79,0.028,Y119D3A.3,WBGene00022478,Sequence name for WBGene00022478(fbxa-35). History: N.A.
Y119D3A.4,Y119D3A.4,fbxa-36,1.6,0.031,Y119D3A.4,WBGene00022479,Sequence name for WBGene00022479(fbxa-36). History: N.A.
Y119D3B.18,Y119D3B.18,fbxa-91,1.77,0.013,Y119D3B.18,WBGene00022494,Sequence name for WBGene00022494(fbxa-91). History: N.A.
Y119D3B.19,Y119D3B.19,fbxa-78,1.6,0.04,Y119D3B.19,WBGene00022495,Sequence name for WBGene00022495(fbxa-78). History: N.A.
Y119D3B.3,Y119D3B.3,srz-9,4.97,0.00015,Y119D3B.3,WBGene00022481,Sequence name for WBGene00022481(srz-9). History: N.A.
Y119D3B.4,Y119D3B.4,fbxa-208,1.71,0.032,Y119D3B.4,WBGene00022482,Sequence name for WBGene00022482(fbxa-208). History: N.A.
Y15E3A.1,Y15E3A.1a.1,nhr-91,-1.89,0.017,Y15E3A.1,WBGene00003681,Sequence name for WBGene00003681(nhr-91). History: N.A.
Y17G7B.17,Y17G7B.17,,-1.44,0.049,Y17G7B.17,WBGene00012468,Public name for WBGene00012468. History: N.A.
Y17G7B.18,Y17G7B.18b,,-1.6,0.018,Y17G7B.18,WBGene00012469,Public name for WBGene00012469. History: N.A.
Y17G7B.20,Y17G7B.20c,,1.88,0.0024,Y17G7B.20,WBGene00012471,Public name for WBGene00012471. History: N.A.
Y17G9A.6,Y17G9A.6,str-175,1.44,0.039,Y17G9A.6,WBGene00006219,Sequence name for WBGene00006219(str-175). History: N.A.
Y18D10A.1,Y18D10A.1,,-1.64,0.036,Y18D10A.1,WBGene00012474,Sequence name for WBGene00012474(attf-6). History: N.A.
Y18D10A.10,Y18D10A.10,clec-104,-1.93,0.014,Y18D10A.10,WBGene00012480,Sequence name for WBGene00012480(clec-104). History: N.A.
Y18D10A.13,Y18D10A.13,pad-1,-1.63,0.046,Y18D10A.13,WBGene00003905,Sequence name for WBGene00003905(pad-1). History: N.A.
Y18D10A.16,Y18D10A.16,,1.55,0.027,Y18D10A.16,WBGene00012483,Sequence name for WBGene00012483(coa-5). History: N.A.
Y18D10A.25,Y18D10A.25,fkb-8,1.51,0.037,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
Y18D10A.3,Y18D10A.3,,1.7,0.016,Y18D10A.3,WBGene00012476,Public name for WBGene00012476. History: N.A.
Y18D10A.6,Y18D10A.6b.2,nhx-8,-1.53,0.02,Y18D10A.6,WBGene00003735,Sequence name for WBGene00003735(nhx-8). History: N.A.
Y18D10A.8,Y18D10A.8,,-1.39,0.043,Y18D10A.8,WBGene00012478,Sequence name for WBGene00012478(mxt-1). History: N.A.
Y18H1A.3,Y18H1A.3,,-1.83,0.037,Y18H1A.3,WBGene00021209,Sequence name for WBGene00021209(hgap-1). History: N.A.
Y1H11.1,Y1H11.1,gst-34,1.76,0.03,Y1H11.1,WBGene00001782,Sequence name for WBGene00001782(gst-34). History: N.A.
Y20C6A.2,Y20C6A.2,fbxb-7,1.53,0.013,Y20C6A.2,WBGene00012492,Sequence name for WBGene00012492(fbxb-7). History: N.A.
Y20F4.2,Y20F4.2,,1.44,0.03,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
Y20F4.8,Y20F4.8,,1.33,0.04,Y20F4.8,WBGene00044435,Public name for WBGene00044435. History: N.A.
Y22D7AL.10,Y22D7AL.10.1,,-1.4,0.044,Y22D7AL.10,WBGene00021248,Public name for WBGene00021248. History: N.A.
Y22D7AL.15,Y22D7AL.15,,1.57,0.034,Y22D7AL.15,WBGene00021253,Public name for WBGene00021253. History: N.A.
Y22D7AL.16,Y22D7AL.16,,-1.49,0.041,Y22D7AL.16,WBGene00021254,Public name for WBGene00021254. History: N.A.
Y22D7AL.5,Y22D7AL.5b.1,hsp-60,-1.53,0.016,Y22D7AL.5,WBGene00002025,Sequence name for WBGene00002025(hsp-60). History: N.A.
Y22D7AL.6,Y22D7AL.6a,,1.74,0.025,Y22D7AL.6,WBGene00021245,Public name for WBGene00021245. History: N.A.
Y22D7AL.9,Y22D7AL.9,,-1.73,0.0089,Y22D7AL.9,WBGene00021247,Public name for WBGene00021247. History: N.A.
Y22D7AR.10,Y22D7AR.10,,1.34,0.038,Y22D7AR.10,WBGene00021263,Public name for WBGene00021263. History: N.A.
Y22D7AR.14,Y22D7AR.14,,-1.35,0.044,Y22D7AR.14,WBGene00021266,Public name for WBGene00021266. History: N.A.
Y22D7AR.7,Y22D7AR.7,,-1.37,0.024,Y22D7AR.7,WBGene00021261,Public name for WBGene00021261. History: N.A.
Y22F5A.4,Y22F5A.4.2,lys-1,1.7,0.02,Y22F5A.4,WBGene00003090,Sequence name for WBGene00003090(lys-1). History: N.A.
Y22F5A.6,Y22F5A.6,lys-3,2.57,0.00049,Y22F5A.6,WBGene00003092,Sequence name for WBGene00003092(lys-3). History: Renamed on 2015-02-20
Y23H5A.8,Y23H5A.8,,1.56,0.041,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
