# Dataset S4.  Annotated features with ten or more siRNA  reads per million total small RNA reads and depleted by 2/3 or more in mut-16(pk710), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Depletion,Annotation,Input,Suggested Match,History
Y67H2A.2,213.37,21.82,0.1,-9.78,Gene,Y67H2A.2,WBGene00013461,Public name for WBGene00013461. History: N.A.
K12C11.4,12.8,1.31,0.1,-9.75,Gene,K12C11.4,WBGene00003400,"Sequence name for WBGene00003400(dapk-1). History: Renamed on 2006-04-26; Renamed on 2006-04-26. Public name for Dead gene WBGene00006469. History of WBGene00006469: Merged into ""WBGene00003400"" on 2006-04-26"
F10E9.5,20.78,2.13,0.1,-9.74,Gene,F10E9.5,WBGene00017357,Public name for WBGene00017357. History: N.A.
F13G3.4,11.13,1.15,0.1,-9.69,Gene,F13G3.4,WBGene00008764,Sequence name for WBGene00008764(dylt-1). History: N.A.
F19G12.2,11.13,1.15,0.1,-9.69,Gene,F19G12.2,WBGene00017610,Public name for WBGene00017610. History: N.A.
F44E2.9,11.13,1.15,0.1,-9.69,Gene,F44E2.9,WBGene00018422,Public name for WBGene00018422. History: N.A.
E02H9.6,47.5,4.92,0.1,-9.65,Gene,E02H9.6,WBGene00017104,Public name for WBGene00017104. History: N.A.
C17B7.11,12.62,1.31,0.1,-9.61,Gene,C17B7.11,WBGene00015885,Sequence name for WBGene00015885(fbxa-65). History: N.A.
Y18H1A.7,51.76,5.41,0.1,-9.56,Gene,Y18H1A.7,WBGene00004332,Sequence name for WBGene00004332(rec-1). History: N.A.
R05F9.9,17.25,1.8,0.1,-9.56,Gene,R05F9.9,WBGene00019892,Public name for WBGene00019892. History: N.A.
C33H5.18,31.36,3.28,0.1,-9.56,Gene,C33H5.18,WBGene00016384,Sequence name for WBGene00016384(cdgs-1). History: N.A.
Y40G12A.1,10.95,1.15,0.1,-9.53,Gene,Y40G12A.1,WBGene00006723,Sequence name for WBGene00006723(ubh-3). History: N.A.
Y54G2A.40,10.95,1.15,0.1,-9.53,Gene,Y54G2A.40,WBGene00044495,Public name for WBGene00044495. History: N.A.
AC8.1,46.76,4.92,0.11,-9.5,Pseudogene,AC8.1,WBGene00004054,Public name for WBGene00004054. History: Renamed on 2014-12-04
ZC15.1,20.22,2.13,0.11,-9.48,Gene,ZC15.1,WBGene00013830,Public name for WBGene00013830. History: N.A.
C42C1.10,24.86,2.62,0.11,-9.47,Gene,C42C1.10,WBGene00016588,"Sequence name for WBGene00016588(hpo-12). History: Split into C42C1.19(WBGene00302978). History of WBGene00016588: Split into ""WBGene00302978"" on 2018-03-06"
W08A12.1,34.14,3.61,0.11,-9.46,Gene,W08A12.1,WBGene00021078,Sequence name for WBGene00021078(unc-132). History: N.A.
C06C3.10,13.92,1.48,0.11,-9.43,Gene,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
F10G8.7,51.02,5.41,0.11,-9.43,Gene,F10G8.7,WBGene00008665,Sequence name for WBGene00008665(ercc-1). History: N.A.
Y69A2AR.17,38.59,4.1,0.11,-9.41,Gene,Y69A2AR.17,WBGene00022087,"Public name for Dead gene WBGene00022088. History of WBGene00022088: Merged into ""WBGene00022087"" on 2012-12-20"
C49C3.6,26.16,2.79,0.11,-9.38,Gene,C49C3.6,WBGene00008196,Public name for WBGene00008196. History: N.A.
Y55B1BM.1,44.53,4.76,0.11,-9.36,Gene,Y55B1BM.1,WBGene00021910,Sequence name for WBGene00021910(stim-1). History: N.A.
ZK550.5,16.88,1.8,0.11,-9.36,Gene,ZK550.5,WBGene00013999,Sequence name for WBGene00013999(phyh-1). History: N.A.
Y39A1A.22,18.37,1.97,0.11,-9.33,Gene,Y39A1A.22,WBGene00012659,Public name for WBGene00012659. History: N.A.
M01E11.1,12.25,1.31,0.11,-9.33,Gene,M01E11.1,WBGene00019710,Public name for WBGene00019710. History: N.A.
R186.7,25.98,2.79,0.11,-9.31,Gene,R186.7,WBGene00011308,Sequence name for WBGene00011308(pnn-1). History: N.A.
T09A5.12,45.64,4.92,0.11,-9.27,Gene,T09A5.12,WBGene00011639,Sequence name for WBGene00011639(ztf-17). History: N.A.
K01G5.6,22.82,2.46,0.11,-9.27,Gene,K01G5.6,WBGene00004361,Sequence name for WBGene00004361(rib-2). History: N.A.
F14H3.4,10.58,1.15,0.11,-9.21,Gene,F14H3.4,WBGene00008823,Public name for WBGene00008823. History: N.A.
Y73B3A.2,11.53,1.25,0.11,-9.19,Pseudogene,Y73B3A.2,WBGene00022204,Public name for WBGene00022204. History: N.A.
F37B12.3,27.09,2.95,0.11,-9.17,Gene,F37B12.3,WBGene00009505,Public name for WBGene00009505. History: N.A.
C05C10.7,13.54,1.48,0.11,-9.17,Gene,C05C10.7,WBGene00007334,Public name for WBGene00007334. History: N.A.
Y62F5A.1,45.09,4.92,0.11,-9.16,Gene,Y62F5A.1,WBGene00007013,Sequence name for WBGene00007013(mdt-8). History: N.A.
K04G2.5,15.03,1.64,0.11,-9.16,Gene,K04G2.5,WBGene00010564,Sequence name for WBGene00010564(ath-1). History: N.A.
F35D6.1,47.87,5.25,0.11,-9.12,Gene,F35D6.1,WBGene00001411,Sequence name for WBGene00001411(fem-1). History: N.A.
R05A10.1,25.42,2.79,0.11,-9.11,Gene,R05A10.1,WBGene00011018,"Public name for WBGene00011018. History: Split into K01G12.22(WBGene00271789). History of WBGene00011018: Split into ""WBGene00271789"" on 2017-09-21"
W09G3.1,26.9,2.95,0.11,-9.11,Gene,W09G3.1,WBGene00012365,Public name for WBGene00012365. History: N.A.
ZK185.2,89.43,9.84,0.11,-9.09,Gene,ZK185.2,WBGene00022682,Public name for WBGene00022682. History: N.A.
T10B11.2,50.47,5.58,0.11,-9.05,Gene,T10B11.2,WBGene00020398,Sequence name for WBGene00020398(cerk-1). History: N.A.
F26F2.7,31.17,3.44,0.11,-9.05,Gene,F26F2.7,WBGene00009172,Public name for WBGene00009172. History: N.A.
R09G11.2,23.75,2.62,0.11,-9.05,Gene,R09G11.2,WBGene00003600,Sequence name for WBGene00003600(nhr-1). History: N.A.
Y37D8A.25,13.36,1.48,0.11,-9.05,Gene,Y37D8A.25,WBGene00012560,Public name for WBGene00012560. History: N.A.
Y20F4.4,296.67,32.81,0.11,-9.04,Gene,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
ZC168.3,82.93,9.19,0.11,-9.03,Gene,ZC168.3,WBGene00013857,Sequence name for WBGene00013857(orc-5). History: N.A.
C05D11.8,36.92,4.1,0.11,-9,Gene,C05D11.8,WBGene00015485,Public name for WBGene00015485. History: N.A.
T01C8.1,32.47,3.61,0.11,-9,Gene,T01C8.1,WBGene00020142,Sequence name for WBGene00020142(aak-2). History: N.A.
T07C12.12,32.47,3.61,0.11,-9,Gene,T07C12.12,WBGene00011576,Sequence name for WBGene00011576(rmh-2). History: N.A.
F10E7.6,17.63,1.97,0.11,-8.95,Gene,F10E7.6,WBGene00017348,Public name for WBGene00017348. History: N.A.
F52F12.3,14.66,1.64,0.11,-8.93,Gene,F52F12.3,WBGene00003396,Sequence name for WBGene00003396(mom-4). History: N.A.
T01G1.1,97.96,10.99,0.11,-8.91,Gene,T01G1.1,WBGene00002223,"Sequence name for WBGene00002223(klp-12). History: Split into T01G1.4(WBGene00044025). History of WBGene00002223: Split into ""WBGene00044025"" on 2004-12-14"
C41C4.4,43.79,4.92,0.11,-8.9,Gene,C41C4.4,WBGene00002147,Sequence name for WBGene00002147(ire-1). History: N.A.
T24H10.3,32.1,3.61,0.11,-8.89,Gene,T24H10.3,WBGene00001041,Sequence name for WBGene00001041(dnj-23). History: N.A.
R53.7,10.2,1.15,0.11,-8.89,Gene,R53.7,WBGene00011276,Sequence name for WBGene00011276(aakg-5). History: N.A.
K07C5.1,18.92,2.13,0.11,-8.87,Gene,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
W07A8.2,71.25,8.04,0.11,-8.86,Gene,W07A8.2,WBGene00012319,Sequence name for WBGene00012319(ipla-3). History: N.A.
M18.6,24.68,2.79,0.11,-8.85,Gene,M18.6,WBGene00010891,Public name for WBGene00010891. History: N.A.
T19B10.4,24.68,2.79,0.11,-8.85,Gene,T19B10.4,WBGene00004152,Sequence name for WBGene00004152(pqn-70). History: N.A.
Y113G7A.5,15.96,1.8,0.11,-8.84,Gene,Y113G7A.5,WBGene00013746,Sequence name for WBGene00013746(lgc-55). History: N.A.
F18A1.4,71.06,8.04,0.11,-8.84,Gene,F18A1.4,WBGene00003045,Sequence name for WBGene00003045(lir-2). History: N.A.
F22D3.1,18.74,2.13,0.11,-8.79,Gene,F22D3.1,WBGene00000459,Sequence name for WBGene00000459(ceh-38). History: N.A.
F18A1.3,28.76,3.28,0.11,-8.77,Gene,F18A1.3,WBGene00003044,Sequence name for WBGene00003044(lir-1). History: Renamed on 2017-04-20; Renamed on 2017-05-11
C36F7.2,11.5,1.31,0.11,-8.77,Gene,C36F7.2,WBGene00007985,Sequence name for WBGene00007985(swah-1). History: N.A.
H04D03.3,43.04,4.92,0.11,-8.75,Gene,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
Y43F8B.9,15.77,1.8,0.11,-8.74,Gene,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
Y20F4.5,90.17,10.33,0.11,-8.72,Gene,Y20F4.5,,Sequence name for Suppressed gene WBGene00021240. Molecular name for Suppressed gene WBGene00021240. Public name for Suppressed gene WBGene00021240. History of WBGene00021240: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C04B4.2,10.02,1.15,0.11,-8.72,Gene,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
K03D7.10,128.27,14.73,0.11,-8.71,Pseudogene,K03D7.10,WBGene00005792,Sequence name for WBGene00005792(srw-45). History: N.A.
Y39B6A.37,65.68,7.55,0.11,-8.7,Gene,Y39B6A.37,WBGene00012695,Public name for WBGene00012695. History: N.A.
C07A9.7,41.37,4.76,0.11,-8.7,Gene,C07A9.7,WBGene00007403,Sequence name for WBGene00007403(set-3). History: N.A.
T09B4.10,45.64,5.25,0.12,-8.69,Gene,T09B4.10,WBGene00000500,Sequence name for WBGene00000500(chn-1). History: N.A.
C44B7.10,17.07,1.97,0.12,-8.67,Gene,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
F54D5.7,12.8,1.48,0.12,-8.67,Gene,F54D5.7,WBGene00010052,Public name for WBGene00010052. History: N.A.
K08E3.7,12.8,1.48,0.12,-8.67,Gene,K08E3.7,WBGene00003967,Sequence name for WBGene00003967(pdr-1). History: N.A.
Y54E10BL.5,12.8,1.48,0.12,-8.67,Gene,Y54E10BL.5,WBGene00021839,Sequence name for WBGene00021839(nduf-5). History: N.A.
C43H8.2,32.65,3.77,0.12,-8.65,Gene,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
K03D7.1,119.85,13.85,0.12,-8.65,Pseudogene,K03D7.1,,Sequence name for Suppressed gene WBGene00014795. Molecular name for Suppressed gene WBGene00014795. Public name for Suppressed gene WBGene00014795. History of WBGene00014795: N.A.. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F40F8.1,19.85,2.3,0.12,-8.64,Gene,F40F8.1,WBGene00009575,Public name for WBGene00009575. History: N.A.
F54F7.5,11.32,1.31,0.12,-8.62,Gene,F54F7.5,WBGene00003219,Sequence name for WBGene00003219(mes-1). History: N.A.
F59H6.12,18.37,2.13,0.12,-8.61,Gene,F59H6.12,WBGene00019142,Sequence name for WBGene00019142(btb-4). History: N.A.
F54H12.5,14.1,1.64,0.12,-8.6,Gene,F54H12.5,WBGene00018845,"Public name for WBGene00018845. History: Split into F54H12.8(WBGene00045247). History of WBGene00018845: Split into ""WBGene00045247"" on 2007-01-31"
F57B10.5,35.07,4.1,0.12,-8.55,Gene,F57B10.5,WBGene00019003,Sequence name for WBGene00019003(tmed-3). History: N.A.
C05B10.1,12.62,1.48,0.12,-8.55,Gene,C05B10.1,WBGene00003043,Sequence name for WBGene00003043(lip-1). History: N.A.
F53C11.5,47.5,5.58,0.12,-8.52,Gene,F53C11.5,WBGene00009975,Public name for WBGene00009975. History: N.A.
T17A3.1,16.7,1.97,0.12,-8.48,Gene,T17A3.1,WBGene00006894,Sequence name for WBGene00006894(ver-1). History: N.A.
R17.2,19.48,2.3,0.12,-8.48,Gene,R17.2,WBGene00011268,Sequence name for WBGene00011268(pde-12). History: N.A.
Y95B8A.5,19.48,2.3,0.12,-8.48,Gene,Y95B8A.5,WBGene00001678,Sequence name for WBGene00001678(gpa-16). History: N.A.
C35E7.5,11.13,1.31,0.12,-8.48,Gene,C35E7.5,WBGene00016457,Public name for WBGene00016457. History: N.A.
T14G10.1,11.13,1.31,0.12,-8.48,Gene,T14G10.1,WBGene00004091,Sequence name for WBGene00004091(pps-1). History: N.A.
R11H6.6,26.42,3.12,0.12,-8.48,Pseudogene,R11H6.6,WBGene00014822,Public name for WBGene00014822. History: N.A.
Y55F3BL.1,23.56,2.79,0.12,-8.45,Gene,Y55F3BL.1,WBGene00021935,Sequence name for WBGene00021935(mrpl-46). History: Split into Y55F3BL.4(WBGene00185088). History of WBGene00021935: N.A.
Y106G6H.5,22.08,2.62,0.12,-8.41,Gene,Y106G6H.5,WBGene00013718,Sequence name for WBGene00013718(pdpr-1). History: N.A.
R05D11.5,26.16,3.12,0.12,-8.39,Gene,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
F28C10.4,23.38,2.79,0.12,-8.38,Gene,F28C10.4,WBGene00017899,Public name for WBGene00017899. History: N.A.
K06H7.9,13.73,1.64,0.12,-8.37,Gene,K06H7.9,WBGene00019460,Sequence name for WBGene00019460(idi-1). History: N.A.
T02G5.13,20.59,2.46,0.12,-8.37,Gene,T02G5.13,WBGene00020169,Sequence name for WBGene00020169(mmaa-1). History: N.A.
K08D10.1,97.41,11.65,0.12,-8.36,Gene,K08D10.1,,Sequence name for Suppressed gene WBGene00019528. Molecular name for Suppressed gene WBGene00019528. Public name for Suppressed gene WBGene00019528. History of WBGene00019528: Suppressed on 2013-09-27. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K08F11.2,97.41,11.65,0.12,-8.36,Gene,K08F11.2,,Sequence name for Suppressed gene WBGene00019542. Molecular name for Suppressed gene WBGene00019542. Public name for Suppressed gene WBGene00019542. History of WBGene00019542: N.A.. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y54G2A.28,35.62,4.27,0.12,-8.35,Gene,Y54G2A.28,WBGene00021892,"Public name for WBGene00021892. History: Split into Y54G2A.73(WBGene00219425). History of WBGene00021892: Split into ""WBGene00219425"" on 2012-04-10"
F37A4.8,109.47,13.12,0.12,-8.34,Gene,F37A4.8,WBGene00002169,Sequence name for WBGene00002169(isw-1). History: N.A.
C56C10.9,10.95,1.31,0.12,-8.34,Gene,C56C10.9,WBGene00016965,Public name for WBGene00016965. History: N.A.
Y59C2A.3,15.03,1.8,0.12,-8.33,Gene,Y59C2A.3,WBGene00021986,Public name for WBGene00021986. History: N.A.
Y17G9B.5,27.27,3.28,0.12,-8.31,Gene,Y17G9B.5,WBGene00021202,Public name for WBGene00021202. History: N.A.
VF11C1L.1,35.44,4.27,0.12,-8.31,Gene,VF11C1L.1,WBGene00004089,Sequence name for WBGene00004089(ppk-3). History: N.A.
Y39A1A.5,41.93,5.09,0.12,-8.25,Gene,Y39A1A.5,WBGene00012644,Sequence name for WBGene00012644(rabx-5). History: N.A.
T05H10.7,56.77,6.89,0.12,-8.24,Gene,T05H10.7,WBGene00011511,Sequence name for WBGene00011511(gpcp-2). History: N.A.
F25H9.5,24.31,2.95,0.12,-8.23,Gene,F25H9.5,WBGene00001496,Sequence name for WBGene00001496(frm-10). History: N.A.
F33G12.4,29.69,3.61,0.12,-8.23,Gene,F33G12.4,WBGene00018016,Sequence name for WBGene00018016(lrr-1). History: N.A.
R12C12.7,14.84,1.8,0.12,-8.23,Gene,R12C12.7,WBGene00020027,Public name for WBGene00020027. History: N.A.
W02D3.4,40.45,4.92,0.12,-8.22,Gene,W02D3.4,WBGene00020933,"Public name for WBGene00020933. History: Split into W02D3.13(WBGene00303103). History of WBGene00020933: Split into ""WBGene00303103"" on 2018-03-06"
W02A11.2,25.6,3.12,0.12,-8.21,Gene,W02A11.2,WBGene00012193,Sequence name for WBGene00012193(vps-25). History: N.A.
C38D4.9,16.14,1.97,0.12,-8.2,Gene,C38D4.9,WBGene00008008,Sequence name for WBGene00008008(metl-5). History: N.A.
T28B11.1,33.4,4.1,0.12,-8.14,Gene,T28B11.1,WBGene00012117,Public name for WBGene00012117. History: N.A.
C05C8.9,39.89,4.92,0.12,-8.11,Gene,C05C8.9,WBGene00015466,Sequence name for WBGene00015466(hyls-1). History: N.A.
K11C4.5,62.34,7.71,0.12,-8.09,Gene,K11C4.5,WBGene00006801,Sequence name for WBGene00006801(unc-68). History: N.A.
W03C9.6,47.68,5.91,0.12,-8.07,Gene,W03C9.6,WBGene00012222,Public name for WBGene00012222. History: N.A.
F53H1.3,67.54,8.37,0.12,-8.07,Gene,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
ZK688.8,31.73,3.94,0.12,-8.06,Gene,ZK688.8,WBGene00001628,Sequence name for WBGene00001628(gly-3). History: N.A.
ZK1225.7,33.11,4.11,0.12,-8.06,Pseudogene,ZK1225.7,WBGene00014994,Public name for WBGene00014994. History: N.A.
Y17D7C.1,44.9,5.58,0.12,-8.05,Gene,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
ZK836.2,35.62,4.43,0.12,-8.04,Gene,ZK836.2,WBGene00014098,Sequence name for WBGene00014098(ogdh-2). History: N.A.
ZK1086.1,11.87,1.48,0.12,-8.04,Gene,ZK1086.1,WBGene00014215,Sequence name for WBGene00014215(obr-3). History: N.A.
C12D8.11,25.05,3.12,0.12,-8.04,Gene,C12D8.11,WBGene00004405,Sequence name for WBGene00004405(rop-1). History: N.A.
F45E12.1,13.17,1.64,0.12,-8.03,Gene,F45E12.1,WBGene00018474,Sequence name for WBGene00018474(cnep-1). History: Renamed on 2013-01-22
T13B5.8,13.17,1.64,0.12,-8.03,Gene,T13B5.8,WBGene00020475,Sequence name for WBGene00020475(sut-1). History: N.A.
Y38C9A.2,22.26,2.79,0.13,-7.98,Gene,Y38C9A.2,WBGene00000480,Sequence name for WBGene00000480(cgp-1). History: N.A.
F32A7.4,24.86,3.12,0.13,-7.98,Gene,F32A7.4,WBGene00009305,Sequence name for WBGene00009305(metl-17). History: N.A.
F17A9.2,36.55,4.59,0.13,-7.96,Gene,F17A9.2,WBGene00017534,Sequence name for WBGene00017534(cwf-19L1). History: N.A.
C29H12.2,28.57,3.61,0.13,-7.92,Gene,C29H12.2,WBGene00016235,Public name for WBGene00016235. History: N.A.
F39H11.3,28.57,3.61,0.13,-7.92,Gene,F39H11.3,WBGene00000409,Sequence name for WBGene00000409(cdk-8). History: N.A.
T28F3.3,12.99,1.64,0.13,-7.92,Gene,T28F3.3,WBGene00044067,"Sequence name for WBGene00044067(zipt-7.1). History: Renamed on 2007-08-01; Renamed on 2016-11-29. Public name for Dead gene WBGene00012129. History of WBGene00012129: Merged into ""WBGene00044067"" on 2005-10-05"
T07C4.7,11.69,1.48,0.13,-7.92,Gene,T07C4.7,WBGene00003225,Sequence name for WBGene00003225(mev-1). History: Renamed on 2006-07-19
F35G12.2,18.18,2.3,0.13,-7.92,Gene,F35G12.2,WBGene00009440,Sequence name for WBGene00009440(idhg-1). History: N.A.
B0511.14,10.39,1.31,0.13,-7.92,Gene,B0511.14,WBGene00015237,"Public name for Dead gene WBGene00015239. History of WBGene00015239: Merged into ""WBGene00015237"" on 2011-07-20"
C26E6.5,10.39,1.31,0.13,-7.92,Gene,C26E6.5,WBGene00001499,"Sequence name for WBGene00001499(fsn-1). History: N.A.. Public name for Dead gene WBGene00016141. History of WBGene00016141: Merged into ""WBGene00001499"" on 2004-07-01"
Y67H2A.7,153.07,19.36,0.13,-7.91,Gene,Y67H2A.7,WBGene00013464,Public name for WBGene00013464. History: N.A.
F57B10.6,71.25,9.02,0.13,-7.9,Gene,F57B10.6,WBGene00019004,Sequence name for WBGene00019004(xpg-1). History: N.A.
Y11D7A.7,27.09,3.44,0.13,-7.86,Gene,Y11D7A.7,WBGene00012431,Public name for WBGene00012431. History: N.A.
Y53C10A.1,102.42,13.04,0.13,-7.85,Pseudogene,Y53C10A.1,WBGene00014915,Public name for WBGene00014915. History: N.A.
C42C1.11,21.89,2.79,0.13,-7.85,Gene,C42C1.11,WBGene00016589,Sequence name for WBGene00016589(ltah-1.1). History: N.A.
ZK370.3,41.19,5.25,0.13,-7.85,Gene,ZK370.3,WBGene00022717,Sequence name for WBGene00022717(hipr-1). History: Renamed on 2014-08-08
D2013.2,20.59,2.62,0.13,-7.85,Gene,D2013.2,WBGene00008402,Sequence name for WBGene00008402(wdfy-2). History: N.A.
Y37H2A.7,15.4,1.97,0.13,-7.82,Gene,Y37H2A.7,WBGene00012567,"Public name for WBGene00012567. History: Split into Y37H2A.18(WBGene00219210), Y37H2A.12(WBGene00044758). History of WBGene00012567: Split into ""WBGene00044758"" on 2006-02-24; Split into ""WBGene00219210"" on 2011-08-15"
R02D3.2,43.6,5.58,0.13,-7.82,Gene,R02D3.2,WBGene00019820,Sequence name for WBGene00019820(cogc-8). History: N.A.
Y106G6H.2,57.7,7.38,0.13,-7.82,Gene,Y106G6H.2,WBGene00003902,Sequence name for WBGene00003902(pab-1). History: N.A.
F32A5.1,195.56,25.1,0.13,-7.79,Gene,F32A5.1,WBGene00017967,Sequence name for WBGene00017967(ada-2). History: N.A.
Y116A8C.28,23.01,2.95,0.13,-7.79,Gene,Y116A8C.28,WBGene00013805,Sequence name for WBGene00013805(bca-2). History: N.A.
Y6B3B.9,94.44,12.14,0.13,-7.78,Gene,Y6B3B.9,WBGene00012393,Public name for WBGene00012393. History: N.A.
C36F7.4,10.2,1.31,0.13,-7.78,Gene,C36F7.4,WBGene00004372,Sequence name for WBGene00004372(rig-5). History: N.A.
Y106G6A.1,21.52,2.79,0.13,-7.72,Gene,Y106G6A.1,WBGene00013694,Sequence name for WBGene00013694(mekk-3). History: N.A.
T05A10.1,26.53,3.44,0.13,-7.7,Gene,T05A10.1,WBGene00004862,Sequence name for WBGene00004862(sma-9). History: N.A.
Y108F1.5,12.62,1.64,0.13,-7.69,Gene,Y108F1.5,WBGene00022433,"Public name for WBGene00022433. History: Split into Y108F1.6(WBGene00304828). History of WBGene00022433: Split into ""WBGene00304828"" on 2019-07-25"
C47C12.4,17.63,2.3,0.13,-7.67,Gene,C47C12.4,WBGene00016737,Sequence name for WBGene00016737(miro-2). History: N.A.
T20B12.7,11.32,1.48,0.13,-7.67,Gene,T20B12.7,WBGene00020604,Public name for WBGene00020604. History: N.A.
Y69A2AR.21,11.32,1.48,0.13,-7.67,Gene,Y69A2AR.21,WBGene00022092,Sequence name for WBGene00022092(ccdc-12). History: N.A.
K08E4.7,16.33,2.13,0.13,-7.66,Gene,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
F10C2.5,42.67,5.58,0.13,-7.65,Gene,F10C2.5,WBGene00008646,Public name for WBGene00008646. History: N.A.
W02B12.6,31.36,4.1,0.13,-7.65,Gene,W02B12.6,WBGene00000196,Sequence name for WBGene00000196(aars-1). History: Renamed on 2010-01-29
R166.2,63.82,8.37,0.13,-7.63,Gene,R166.2,WBGene00011302,Public name for WBGene00011302. History: N.A.
F32A7.5,33.77,4.43,0.13,-7.62,Gene,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
Y39E4B.12,28.76,3.77,0.13,-7.62,Gene,Y39E4B.12,WBGene00001630,Sequence name for WBGene00001630(gly-5). History: N.A.
Y73B3B.1,13.73,1.8,0.13,-7.61,Gene,Y73B3B.1,WBGene00022223,Public name for WBGene00022223. History: N.A.
C02F5.7,12.43,1.64,0.13,-7.58,Gene,C02F5.7,WBGene00015350,Sequence name for WBGene00015350(fbxl-1). History: N.A.
F55H2.4,559.3,73.82,0.13,-7.58,Pseudogene,F55H2.4,WBGene00003067,Sequence name for WBGene00003067(lrg-1). History: N.A.
C37C3.1,16.14,2.13,0.13,-7.57,Gene,C37C3.1,WBGene00016495,Public name for WBGene00016495. History: N.A.
Y76A2B.5,27.27,3.61,0.13,-7.56,Gene,Y76A2B.5,WBGene00013577,Public name for WBGene00013577. History: N.A.
T16A1.8,92.95,12.3,0.13,-7.56,Gene,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
C50C3.1,45.83,6.07,0.13,-7.55,Gene,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
F36H1.2,53.25,7.05,0.13,-7.55,Gene,F36H1.2,WBGene00006490,Sequence name for WBGene00006490(kdin-1). History: Renamed on 2012-12-21
K04G7.4,25.98,3.44,0.13,-7.54,Gene,K04G7.4,WBGene00019401,Sequence name for WBGene00019401(nuo-4). History: N.A.
K10C9.3,18.55,2.46,0.13,-7.54,Gene,K10C9.3,WBGene00019624,Sequence name for WBGene00019624(rnst-2). History: N.A.
K06B9.4,28.39,3.77,0.13,-7.52,Gene,K06B9.4,WBGene00019441,Public name for WBGene00019441. History: N.A.
R09E12.4,41.93,5.58,0.13,-7.52,Gene,R09E12.4,WBGene00006266,Sequence name for WBGene00006266(str-238). History: N.A.
Y75B8A.35,13.54,1.8,0.13,-7.51,Gene,Y75B8A.35,WBGene00006986,Sequence name for WBGene00006986(zip-1). History: N.A.
C27F2.8,45.46,6.07,0.13,-7.49,Gene,C27F2.8,WBGene00016170,Sequence name for WBGene00016170(tmem-131). History: N.A.
F19F10.12,81.08,10.83,0.13,-7.49,Gene,F19F10.12,WBGene00017608,Sequence name for WBGene00017608(ints-9). History: N.A.
R10E4.3,15.96,2.13,0.13,-7.48,Gene,R10E4.3,WBGene00011200,Public name for WBGene00011200. History: N.A.
W02B12.9,56.4,7.55,0.13,-7.47,Gene,W02B12.9,WBGene00012204,Sequence name for WBGene00012204(mfn-1). History: N.A.
B0513.7,26.51,3.55,0.13,-7.47,Pseudogene,B0513.7,WBGene00007199,Public name for WBGene00007199. History: N.A.
W02G9.1,48.98,6.56,0.13,-7.46,Gene,W02G9.1,WBGene00003579,Sequence name for WBGene00003579(ndx-2). History: N.A.
F16B4.8,12.25,1.64,0.13,-7.46,Gene,F16B4.8,WBGene00000387,Sequence name for WBGene00000387(cdc-25.2). History: Renamed on 2015-03-06
Y62F5A.9,35.44,4.76,0.13,-7.45,Gene,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
WBTransposon00000004,40.89,5.5,0.13,-7.43,Transposon,,,
F21D5.5,47.5,6.4,0.13,-7.42,Gene,F21D5.5,WBGene00009010,Public name for WBGene00009010. History: N.A.
M02B7.4,10.95,1.48,0.13,-7.41,Gene,M02B7.4,WBGene00019725,Sequence name for WBGene00019725(algn-14). History: Renamed on 2015-04-29
