spermatogenesis genes,Input,Suggested Match,History
F23B2.7,F23B2.7,WBGene00009075,Public name for WBGene00009075. History: N.A.
F23C8.1,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
F23C8.7,F23C8.7,WBGene00017736,Public name for WBGene00017736. History: N.A.
F23C8.8,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
F25F2.1,F25F2.1,WBGene00009115,Public name for WBGene00009115. History: N.A.
F25H5.7,F25H5.7,WBGene00009129,Public name for WBGene00009129. History: N.A.
F26A1.3,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
F26A3.5,F26A3.5,WBGene00009143,Public name for WBGene00009143. History: N.A.
F26B1.1,F26B1.1,WBGene00017815,"Public name for WBGene00017815. History: Split into F26B1.8(WBGene00194703). History of WBGene00017815: Split into ""WBGene00194703"" on 2009-07-23"
F26B1.5,F26B1.5,WBGene00017817,Public name for WBGene00017817. History: N.A.
F26D2.10,F26D2.10,WBGene00009149,Public name for WBGene00009149. History: N.A.
F26E4.5,F26E4.5,WBGene00009160,Public name for WBGene00009160. History: N.A.
F26F4.2,F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
F26F4.8,F26F4.8,WBGene00005011,Public name for WBGene00005011. History: N.A.
F26G1.7,F26G1.7,WBGene00003424,Sequence name for WBGene00003424(msp-3). History: N.A.
F27C1.1,F27C1.1,WBGene00017851,Public name for WBGene00017851. History: N.A.
F27C8.5,F27C8.5,WBGene00009185,Sequence name for WBGene00009185(pei-1). History: N.A.
F27E5.3,F27E5.3,WBGene00009193,Public name for WBGene00009193. History: N.A.
F28A10.1,F28A10.1,WBGene00017869,Public name for WBGene00017869. History: N.A.
F28A10.4,F28A10.4,WBGene00017872,Public name for WBGene00017872. History: N.A.
F28E10.4,F28E10.4,WBGene00017902,Public name for WBGene00017902. History: N.A.
F28H7.4,F28H7.4,WBGene00009238,Sequence name for WBGene00009238(selt-1.2). History: N.A.
F28H7.6,F28H7.6,WBGene00009239,Sequence name for WBGene00009239(irld-6). History: N.A.
F29B9.7,F29B9.7,WBGene00017922,Public name for WBGene00017922. History: N.A.
F29D10.1,F29D10.1,WBGene00009250,Public name for WBGene00009250. History: N.A.
F30F8.2,F30F8.2,WBGene00009271,Sequence name for WBGene00009271(glna-3). History: N.A.
F32A11.3,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
F32B4.2,F32B4.2,WBGene00009313,Public name for WBGene00009313. History: N.A.
F32B5.4,F32B5.4,WBGene00017978,Sequence name for WBGene00017978(msrp-1). History: N.A.
F32B6.10,F32B6.10,WBGene00009324,Sequence name for WBGene00009324(ttbk-3). History: N.A.
F32B6.5,F32B6.5,WBGene00006056,Sequence name for WBGene00006056(sss-1). History: N.A.
F32B6.6,F32B6.6,WBGene00003464,Sequence name for WBGene00003464(msp-77). History: N.A.
F32B6.7,F32B6.7,WBGene00006049,Sequence name for WBGene00006049(ssp-32). History: N.A.
F32H2.7,F32H2.7,WBGene00009344,Public name for WBGene00009344. History: N.A.
F32H2.9,F32H2.9,WBGene00006532,Sequence name for WBGene00006532(tba-6). History: N.A.
F33D11.1,F33D11.1,WBGene00018000,Public name for WBGene00018000. History: N.A.
F33D11.2,F33D11.2,WBGene00018001,Public name for WBGene00018001. History: N.A.
F34D10.2,F34D10.2,WBGene00009372,"Sequence name for WBGene00009372(evl-18). History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
F35C11.2,F35C11.2,WBGene00009401,Public name for WBGene00009401. History: N.A.
F35C11.3,F35C11.3,WBGene00009402,Public name for WBGene00009402. History: N.A.
F35E2.5,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
F35E2.6,F35E2.6,WBGene00009413,Sequence name for WBGene00009413(oac-19). History: N.A.
F35E2.9,F35E2.9,WBGene00009416,"Public name for WBGene00009416. History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
F35H8.1,F35H8.1,WBGene00009446,Public name for WBGene00009446. History: N.A.
F35H8.4,F35H8.4,WBGene00009449,Public name for WBGene00009449. History: N.A.
F36A2.10,F36A2.10,WBGene00009457,Public name for WBGene00009457. History: N.A.
F36A2.11,F36A2.11,WBGene00009458,Public name for WBGene00009458. History: N.A.
F36A2.12,F36A2.12,WBGene00009459,"Public name for WBGene00009459. History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
F36A4.2,F36A4.2,WBGene00018081,Public name for WBGene00018081. History: N.A.
F36A4.3,F36A4.3,WBGene00018082,Public name for WBGene00018082. History: N.A.
F36A4.4,F36A4.4,WBGene00018083,Public name for WBGene00018083. History: N.A.
F36D1.4,F36D1.4,WBGene00009463,Public name for WBGene00009463. History: N.A.
F36D3.4,F36D3.4,WBGene00009470,Public name for WBGene00009470. History: N.A.
F36D3.8,F36D3.8,WBGene00009473,"Public name for WBGene00009473. History: Split into F36D3.16(WBGene00219326). History of WBGene00009473: Split into ""WBGene00219326"" on 2012-01-09"
F36H1.3,F36H1.3,WBGene00009492,Public name for WBGene00009492. History: N.A.
F36H12.10,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
F36H12.13,F36H12.13,WBGene00018127,"Public name for Dead gene WBGene00018126. History of WBGene00018126: Merged into ""WBGene00018127"" on 2013-10-17"
F36H12.14,F36H12.14,WBGene00018127,Public name for WBGene00018127. History: N.A.
F36H12.3,F36H12.3,WBGene00018119,Public name for WBGene00018119. History: N.A.
F36H12.4,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
F36H12.5,F36H12.5,WBGene00018121,Public name for WBGene00018121. History: N.A.
F36H12.7,F36H12.7,WBGene00003426,Sequence name for WBGene00003426(msp-19). History: N.A.
F36H12.8,F36H12.8,WBGene00018122,Sequence name for WBGene00018122(ttbk-2). History: N.A.
F36H12.9,F36H12.9,WBGene00018123,Public name for WBGene00018123. History: N.A.
F37A8.1,F37A8.1,WBGene00009501,Public name for WBGene00009501. History: N.A.
F37A8.2,F37A8.2,WBGene00009502,Public name for WBGene00009502. History: N.A.
F37H8.4,F37H8.4,WBGene00009513,Sequence name for WBGene00009513(sfxn-1.2). History: N.A.
F38A5.11,F38A5.11,WBGene00018168,Sequence name for WBGene00018168(irld-7). History: N.A.
F38A5.6,F38A5.6,WBGene00018163,Public name for WBGene00018163. History: N.A.
F38E1.3,F38E1.3,WBGene00018178,Public name for WBGene00018178. History: N.A.
F38H4.4,F38H4.4,WBGene00009548,Public name for WBGene00009548. History: N.A.
F38H4.5,F38H4.5,WBGene00009549,Public name for WBGene00009549. History: N.A.
F38H4.6,F38H4.6,WBGene00009550,Public name for WBGene00009550. History: N.A.
F40F12.3,F40F12.3,WBGene00009592,Public name for WBGene00009592. History: N.A.
F40F9.3,F40F9.3,WBGene00009581,Public name for WBGene00009581. History: N.A.
F40G12.10,F40G12.10,WBGene00009605,Public name for WBGene00009605. History: N.A.
F40H6.1,F40H6.1,WBGene00018253,Public name for WBGene00018253. History: N.A.
F41G3.4,F41G3.4,WBGene00001424,Sequence name for WBGene00001424(fis-1). History: N.A.
F41G3.5,F41G3.5,WBGene00018301,Public name for WBGene00018301. History: N.A.
F42A9.3,F42A9.3,WBGene00018332,Public name for WBGene00018332. History: N.A.
F42C5.5,F42C5.5,WBGene00018347,Public name for WBGene00018347. History: N.A.
F42G4.2,F42G4.2,WBGene00009641,Public name for WBGene00009641. History: N.A.
F42G4.6,F42G4.6,WBGene00009643,Public name for WBGene00009643. History: N.A.
F42G8.8,F42G8.8,WBGene00018359,"Public name for WBGene00018359. History: Split into F42G8.18(WBGene00249816). History of WBGene00018359: Split into ""WBGene00249816"" on 2014-01-28"
F42G8.9,F42G8.9,WBGene00018360,Sequence name for WBGene00018360(irld-8). History: N.A.
F42G9.1,F42G9.1,WBGene00018362,Sequence name for WBGene00018362(ppm-1.G). History: N.A.
F42H11.1,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
F43G9.6,F43G9.6,WBGene00001414,Sequence name for WBGene00001414(fer-1). History: N.A.
F44D12.4,F44D12.4,WBGene00009681,Sequence name for WBGene00009681(gipc-2). History: N.A.
F44D12.6,F44D12.6,WBGene00009683,Public name for WBGene00009683. History: N.A.
F44D12.7,F44D12.7,WBGene00009684,Sequence name for WBGene00009684(msd-3). History: N.A.
F44D12.8,F44D12.8,WBGene00009685,Public name for WBGene00009685. History: N.A.
F44F1.3,F44F1.3,WBGene00009695,Sequence name for WBGene00009695(clp-8). History: N.A.
F44F4.10,F44F4.10,WBGene00009705,Public name for WBGene00009705. History: N.A.
F44G4.5,F44G4.5,WBGene00009714,Public name for WBGene00009714. History: N.A.
F45E4.6,F45E4.6,WBGene00018471,Public name for WBGene00018471. History: N.A.
F46A8.10,F46A8.10,WBGene00009753,Sequence name for WBGene00009753(scrm-6). History: N.A.
F46A9.1,F46A9.1,WBGene00009754,Public name for WBGene00009754. History: N.A.
F46A9.2,F46A9.2,WBGene00009755,Public name for WBGene00009755. History: N.A.
F46B3.4,F46B3.4,WBGene00009759,Sequence name for WBGene00009759(ttr-12). History: N.A.
F46F5.11,F46F5.11,WBGene00018502,Public name for WBGene00018502. History: N.A.
F46F5.9,F46F5.9,WBGene00018500,Sequence name for WBGene00018500(msrp-4). History: N.A.
F47B3.1,F47B3.1,WBGene00018525,Public name for WBGene00018525. History: N.A.
F47B3.2,F47B3.2,WBGene00018526,Public name for WBGene00018526. History: N.A.
F47B3.4,F47B3.4,WBGene00018528,Public name for WBGene00018528. History: N.A.
F47B3.5,F47B3.5,WBGene00018529,Public name for WBGene00018529. History: N.A.
F47B3.6,F47B3.6,WBGene00018530,Public name for WBGene00018530. History: N.A.
F47B3.7,F47B3.7,WBGene00018531,Public name for WBGene00018531. History: N.A.
F47B8.11,F47B8.11,WBGene00006057,Sequence name for WBGene00006057(sss-2). History: N.A.
F47C12.4,F47C12.4,WBGene00018548,Sequence name for WBGene00018548(clec-79). History: N.A.
F47D12.7,F47D12.7,WBGene00018563,Public name for WBGene00018563. History: N.A.
F47F6.5,F47F6.5,WBGene00018575,Sequence name for WBGene00018575(clec-119). History: N.A.
F47G6.4,F47G6.4,WBGene00004969,Sequence name for WBGene00004969(spe-15). History: N.A.
F48C1.7,F48C1.7,WBGene00004965,Sequence name for WBGene00004965(spe-11). History: N.A.
F48F5.1,F48F5.1,WBGene00009846,"Public name for Dead gene WBGene00009845. History of WBGene00009845: Merged into ""WBGene00009846"" on 2008-10-10"
F49C12.15,F49C12.15,WBGene00009884,Public name for WBGene00009884. History: N.A.
F49E11.7,F49E11.7,WBGene00009893,Public name for WBGene00009893. History: N.A.
F49E12.4,F49E12.4,WBGene00006719,Sequence name for WBGene00006719(ubc-24). History: N.A.
F49F1.12,F49F1.12,WBGene00018652,Public name for WBGene00018652. History: N.A.
F52F12.5,F52F12.5,WBGene00009938,Public name for WBGene00009938. History: N.A.
F52H3.6,F52H3.6,WBGene00009948,Public name for WBGene00009948. History: N.A.
F53B2.5,F53B2.5,WBGene00009956,Public name for WBGene00009956. History: N.A.
F53B6.4,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F53B6.7,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
F53C3.1,F53C3.1,WBGene00018745,Public name for WBGene00018745. History: N.A.
F53G12.6,F53G12.6,WBGene00004962,Sequence name for WBGene00004962(spe-8). History: N.A.
F53G12.8,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
F54A3.4,F54A3.4,WBGene00018783,Sequence name for WBGene00018783(cbs-2). History: N.A.
F54C1.8,F54C1.8,WBGene00018792,Public name for WBGene00018792. History: N.A.
F54C8.1,F54C8.1,WBGene00010035,Public name for WBGene00010035. History: N.A.
F54D1.1,F54D1.1,WBGene00010046,Public name for WBGene00010046. History: N.A.
F54F12.1,F54F12.1,WBGene00010072,Public name for WBGene00010072. History: N.A.
F54H12.5,F54H12.5,WBGene00018845,"Public name for WBGene00018845. History: Split into F54H12.8(WBGene00045247). History of WBGene00018845: Split into ""WBGene00045247"" on 2007-01-31"
F54H5.2,F54H5.2,WBGene00018839,Public name for WBGene00018839. History: N.A.
F55A11.6,F55A11.6,WBGene00010079,Public name for WBGene00010079. History: N.A.
F55C5.2,F55C5.2,WBGene00010092,Public name for WBGene00010092. History: N.A.
F55D12.6,F55D12.6,WBGene00010114,Public name for WBGene00010114. History: N.A.
F55F8.7,F55F8.7,WBGene00018895,Public name for WBGene00018895. History: N.A.
F55H12.1,F55H12.1,WBGene00004901,Sequence name for WBGene00004901(snf-2). History: N.A.
F55H12.2,F55H12.2,WBGene00010133,Public name for WBGene00010133. History: N.A.
F56A11.6,F56A11.6,WBGene00018926,Public name for WBGene00018926. History: N.A.
F56D5.2,F56D5.2,WBGene00010147,Public name for WBGene00010147. History: N.A.
F56D6.5,F56D6.5,WBGene00018973,Sequence name for WBGene00018973(srz-20). History: N.A.
F56F3.4,F56F3.4,WBGene00010155,Public name for WBGene00010155. History: N.A.
F56H1.3,F56H1.3,WBGene00018994,Public name for WBGene00018994. History: N.A.
F56H11.3,F56H11.3,WBGene00001245,Sequence name for WBGene00001245(elo-7). History: N.A.
F57A8.6,F57A8.6,WBGene00010181,Public name for WBGene00010181. History: N.A.
F57B9.8,F57B9.8,WBGene00018999,Public name for WBGene00018999. History: N.A.
F57F4.1,F57F4.1,WBGene00019015,Public name for WBGene00019015. History: N.A.
F57H12.5,F57H12.5,WBGene00019020,Public name for WBGene00019020. History: N.A.
F58A6.11,F58A6.11,WBGene00019028,Sequence name for WBGene00019028(srb-13). History: N.A.
F58A6.5,F58A6.5,WBGene00019024,Public name for WBGene00019024. History: N.A.
F58A6.8,F58A6.8,WBGene00003438,Sequence name for WBGene00003438(msp-45). History: N.A.
F58D2.2,F58D2.2,WBGene00010241,Public name for WBGene00010241. History: N.A.
F58D5.8,F58D5.8,WBGene00010247,Public name for WBGene00010247. History: N.A.
F58E6.5,F58E6.5,WBGene00010254,Public name for WBGene00010254. History: N.A.
F58F12.2,F58F12.2,WBGene00019062,Public name for WBGene00019062. History: N.A.
F58G1.3,F58G1.3,WBGene00010265,Public name for WBGene00010265. History: N.A.
F58G1.9,F58G1.9,WBGene00010271,Public name for WBGene00010271. History: N.A.
F58H1.6,F58H1.6,WBGene00010289,Public name for WBGene00010289. History: N.A.
F59A3.8,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
F59A6.2,F59A6.2,WBGene00019084,Public name for WBGene00019084. History: N.A.
F59A6.4,F59A6.4,WBGene00019086,Public name for WBGene00019086. History: N.A.
F59B2.5,F59B2.5,WBGene00010309,"Sequence name for WBGene00010309(rpn-6.2). History: Split into F59B2.15(WBGene00185006). History of WBGene00010309: Split into ""WBGene00185006"" on 2009-02-27"
F59C6.2,F59C6.2,WBGene00010323,Sequence name for WBGene00010323(dhhc-12). History: N.A.
F59E12.3,F59E12.3,WBGene00019119,Public name for WBGene00019119. History: N.A.
H05L14.1,H05L14.1,WBGene00010366,Public name for WBGene00010366. History: N.A.
H06H21.9,H06H21.9,WBGene00019165,Sequence name for WBGene00019165(mpz-4). History: N.A.
H06O01.4,H06O01.4,WBGene00010371,Public name for WBGene00010371. History: N.A.
H08M01.1,H08M01.1,WBGene00010373,Public name for WBGene00010373. History: N.A.
H09I01.1,H09I01.1,,Public name for Dead gene WBGene00019175. History of WBGene00019175: Killed on 2011-08-22. Remark: lack of evidence and overlap with K07H8.7
H12D21.1,H12D21.1,WBGene00010377,Sequence name for WBGene00010377(nspa-1). History: N.A.
H12D21.2,H12D21.2,WBGene00010378,Public name for WBGene00010378. History: N.A.
H32C10.1,H32C10.1,WBGene00019255,Public name for WBGene00019255. History: N.A.
H32C10.3,H32C10.3,WBGene00019257,Sequence name for WBGene00019257(dhhc-13). History: N.A.
K01A11.4,K01A11.4,WBGene00004976,Sequence name for WBGene00004976(spe-41). History: N.A.
K01C8.8,K01C8.8,WBGene00010460,Sequence name for WBGene00010460(clec-142). History: N.A.
K01D12.15,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
K01D12.7,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
K01H12.2,K01H12.2,WBGene00010485,Sequence name for WBGene00010485(ant-1.3). History: Renamed on 2014-03-03
K01H12.4,K01H12.4,WBGene00010486,Public name for WBGene00010486. History: N.A.
K02E11.1,K02E11.1,WBGene00010510,Sequence name for WBGene00010510(ent-3). History: N.A.
K02F6.2,K02F6.2,WBGene00019337,"Public name for Dead gene WBGene00019336. History of WBGene00019336: Merged into ""WBGene00019337"" on 2011-10-03"
K02F6.3,K02F6.3,WBGene00019337,Public name for WBGene00019337. History: N.A.
K03H1.1,K03H1.1,WBGene00001603,Sequence name for WBGene00001603(gln-2). History: N.A.
K03H1.12,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
K03H1.8,K03H1.8,WBGene00010543,Public name for WBGene00010543. History: N.A.
K05F1.2,K05F1.2,WBGene00003469,Sequence name for WBGene00003469(msp-142). History: N.A.
K05F1.3,K05F1.3,WBGene00019406,Sequence name for WBGene00019406(acdh-8). History: N.A.
K05F1.7,K05F1.7,WBGene00003456,Sequence name for WBGene00003456(msp-63). History: N.A.
K05F1.8,K05F1.8,WBGene00019409,Public name for WBGene00019409. History: N.A.
K05F1.9,K05F1.9,WBGene00019410,Public name for WBGene00019410. History: N.A.
K06A4.6,K06A4.6,WBGene00010596,Public name for WBGene00010596. History: N.A.
K06A5.2,K06A5.2,WBGene00019430,Public name for WBGene00019430. History: N.A.
K06A5.3,K06A5.3,WBGene00019431,Public name for WBGene00019431. History: N.A.
K06H7.8,K06H7.8,WBGene00019459,Public name for WBGene00019459. History: N.A.
K07A1.4,K07A1.4,WBGene00010611,"Public name for WBGene00010611. History: Split into K07A1.21(WBGene00305018). History of WBGene00010611: Split into ""WBGene00305018"" on 2019-09-26"
K07A12.5,K07A12.5,WBGene00010623,Public name for WBGene00010623. History: N.A.
K07F5.11,K07F5.11,WBGene00006050,Sequence name for WBGene00006050(ssq-1). History: N.A.
K07F5.2,K07F5.2,WBGene00003425,Sequence name for WBGene00003425(msp-10). History: N.A.
K07F5.3,K07F5.3,WBGene00003449,Sequence name for WBGene00003449(msp-56). History: N.A.
K07F5.4,K07F5.4,WBGene00002206,Sequence name for WBGene00002206(kin-24). History: N.A.
K07F5.5,K07F5.5,WBGene00010633,Sequence name for WBGene00010633(nspd-2). History: N.A.
K07F5.6,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
K07F5.7,K07F5.7,WBGene00010635,Public name for WBGene00010635. History: N.A.
K07F5.8,K07F5.8,WBGene00010636,Public name for WBGene00010636. History: N.A.
K08A2.2,K08A2.2,WBGene00019512,Public name for WBGene00019512. History: N.A.
K08C9.1,K08C9.1,WBGene00010650,Public name for WBGene00010650. History: N.A.
K08C9.2,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
K08D10.7,K08D10.7,WBGene00019530,Sequence name for WBGene00019530(scrm-8). History: N.A.
K08D10.8,K08D10.8,WBGene00019531,Sequence name for WBGene00019531(scrm-5). History: N.A.
K08E4.5,K08E4.5,WBGene00010669,"Sequence name for WBGene00010669(bath-37). History: Split into K08E4.7(WBGene00045036). History of WBGene00010669: Split into ""WBGene00045036"" on 2006-09-19"
K08E7.4,K08E7.4,WBGene00010672,Public name for WBGene00010672. History: N.A.
K08F4.5,K08F4.5,WBGene00010679,Public name for WBGene00010679. History: N.A.
K09B11.5,K09B11.5,WBGene00010712,Public name for WBGene00010712. History: N.A.
K09C6.7,K09C6.7,WBGene00019561,Public name for WBGene00019561. History: N.A.
K09C6.8,K09C6.8,WBGene00019562,Public name for WBGene00019562. History: N.A.
K09E4.1,K09E4.1,WBGene00010719,Public name for WBGene00010719. History: N.A.
K09F6.3,K09F6.3,WBGene00019586,Public name for WBGene00019586. History: N.A.
K10H10.7,K10H10.7,WBGene00010763,Public name for WBGene00010763. History: N.A.
K11C4.1,K11C4.1,WBGene00019642,Public name for WBGene00019642. History: N.A.
K11H3.2,K11H3.2,WBGene00010779,Public name for WBGene00010779. History: N.A.
M01A12.1,M01A12.1,WBGene00000630,Sequence name for WBGene00000630(col-53). History: N.A.
M02B1.4,M02B1.4,WBGene00010829,Public name for WBGene00010829. History: N.A.
M04F3.3,M04F3.3,WBGene00019769,Sequence name for WBGene00019769(kin-35). History: N.A.
M04G7.2,M04G7.2,WBGene00019773,Public name for WBGene00019773. History: N.A.
M05B5.1,M05B5.1,WBGene00010869,Public name for WBGene00010869. History: N.A.
M05B5.3,M05B5.3,WBGene00010871,Public name for WBGene00010871. History: N.A.
M05D6.1,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
M05D6.3,M05D6.3,WBGene00010876,Public name for WBGene00010876. History: N.A.
M110.7,M110.7,WBGene00010915,Public name for WBGene00010915. History: N.A.
M162.7,M162.7,WBGene00010933,Public name for WBGene00010933. History: N.A.
M28.9,M28.9,WBGene00010900,Public name for WBGene00010900. History: N.A.
M7.7,M7.7,WBGene00010883,Public name for WBGene00010883. History: N.A.
M70.1,M70.1,WBGene00019783,Public name for WBGene00019783. History: N.A.
R01H2.2,R01H2.2,WBGene00019810,Public name for WBGene00019810. History: N.A.
R01H2.4,R01H2.4,WBGene00019812,Public name for WBGene00019812. History: N.A.
R02D5.7,R02D5.7,WBGene00010980,Public name for WBGene00010980. History: N.A.
R02F2.5,R02F2.5,WBGene00019834,Public name for WBGene00019834. History: N.A.
R02F2.6,R02F2.6,WBGene00019835,Public name for WBGene00019835. History: N.A.
R03D7.5,R03D7.5,WBGene00010991,Sequence name for WBGene00010991(gskl-1). History: N.A.
R03D7.8,R03D7.8,WBGene00010992,Public name for WBGene00010992. History: N.A.
R04B5.11,R04B5.11,WBGene00011008,Public name for WBGene00011008. History: N.A.
R05D3.5,R05D3.5,WBGene00019879,Public name for WBGene00019879. History: N.A.
R05D7.2,R05D7.2,WBGene00011027,Public name for WBGene00011027. History: N.A.
R05F9.13,R05F9.13,WBGene00003429,Sequence name for WBGene00003429(msp-31). History: N.A.
R05F9.3,R05F9.3,WBGene00003430,Sequence name for WBGene00003430(msp-32). History: N.A.
R05F9.8,R05F9.8,WBGene00003431,Sequence name for WBGene00003431(msp-33). History: N.A.
R05H5.2,R05H5.2,WBGene00000389,Sequence name for WBGene00000389(cdc-25.4). History: N.A.
R06B10.2,R06B10.2,WBGene00019913,Public name for WBGene00019913. History: N.A.
R07C3.4,R07C3.4,WBGene00019920,Sequence name for WBGene00019920(acs-15). History: N.A.
R07E5.15,R07E5.15,WBGene00011120,Public name for WBGene00011120. History: N.A.
R08C7.5,R08C7.5,WBGene00019949,Public name for WBGene00019949. History: N.A.
R08C7.8,R08C7.8,WBGene00019951,Public name for WBGene00019951. History: N.A.
R09E10.1,R09E10.1,WBGene00011171,Public name for WBGene00011171. History: N.A.
R09E10.2,R09E10.2,WBGene00011172,Public name for WBGene00011172. History: N.A.
R09E10.3,R09E10.3,WBGene00011173,Sequence name for WBGene00011173(acs-18). History: N.A.
R09E10.4,R09E10.4,WBGene00011174,Sequence name for WBGene00011174(acs-23). History: N.A.
R09E10.6,R09E10.6,WBGene00011176,Public name for WBGene00011176. History: N.A.
R102.3,R102.3,WBGene00011290,Public name for WBGene00011290. History: N.A.
R102.7,R102.7,WBGene00011294,Public name for WBGene00011294. History: N.A.
R10D12.10,R10D12.10,WBGene00011191,Public name for WBGene00011191. History: N.A.
R10E4.7,R10E4.7,WBGene00011203,Public name for WBGene00011203. History: N.A.
R10E9.2,R10E9.2,WBGene00011214,Public name for WBGene00011214. History: N.A.
R10H10.2,R10H10.2,WBGene00004972,Sequence name for WBGene00004972(spe-26). History: N.A.
R11E3.1,R11E3.1,WBGene00020003,Public name for WBGene00020003. History: N.A.
R13A1.3,R13A1.3,WBGene00020042,Public name for WBGene00020042. History: N.A.
R13G10.4,R13G10.4,WBGene00011260,Sequence name for WBGene00011260(cnnm-5). History: N.A.
R13H9.1,R13H9.1,WBGene00020070,Sequence name for WBGene00020070(rmd-6). History: N.A.
R13H9.2,R13H9.2,WBGene00003450,Sequence name for WBGene00003450(msp-57). History: N.A.
R13H9.4,R13H9.4,WBGene00003446,Sequence name for WBGene00003446(msp-53). History: N.A.
R13H9.5,R13H9.5,WBGene00020071,Public name for WBGene00020071. History: N.A.
R13H9.6,R13H9.6,WBGene00020072,Public name for WBGene00020072. History: N.A.
R148.7,R148.7,WBGene00020105,Public name for WBGene00020105. History: N.A.
R155.2,R155.2,WBGene00020116,"Sequence name for WBGene00020116(moa-1). History: Split into R155.5(WBGene00189953). History of WBGene00020116: Split into ""WBGene00189953"" on 2009-04-20"
R155.3,R155.3,WBGene00020117,Public name for WBGene00020117. History: N.A.
T01B11.4,T01B11.4,WBGene00020140,Sequence name for WBGene00020140(ant-1.4). History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
T01C3.5,T01C3.5,WBGene00011322,Sequence name for WBGene00011322(irld-14). History: N.A.
T01H3.5,T01H3.5,WBGene00011351,Public name for WBGene00011351. History: N.A.
T02E1.6,T02E1.6,WBGene00011378,Public name for WBGene00011378. History: N.A.
T02E1.7,T02E1.7,WBGene00011379,Public name for WBGene00011379. History: N.A.
T02H6.4,T02H6.4,WBGene00020174,Public name for WBGene00020174. History: N.A.
T03F1.5,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T04A6.3,T04A6.3,WBGene00020202,"Public name for WBGene00020202. History: Split into nsph-4.3(WBGene00194734). History of WBGene00020202: Split into ""WBGene00194734"" on 2009-08-18"
T04A8.13,T04A8.13,WBGene00011414,"Public name for WBGene00011414. History: Split into T04A8.18(WBGene00119203). History of WBGene00011414: Split into ""WBGene00119203"" on 2008-08-26"
T04A8.3,T04A8.3,WBGene00011405,Sequence name for WBGene00011405(clec-155). History: N.A.
T04B2.2,T04B2.2,WBGene00001487,Sequence name for WBGene00001487(frk-1). History: N.A.
T04F3.3,T04F3.3,WBGene00011438,Public name for WBGene00011438. History: N.A.
T05A7.6,T05A7.6,WBGene00020223,Public name for WBGene00020223. History: N.A.
T05C12.1,T05C12.1,WBGene00011466,Public name for WBGene00011466. History: N.A.
T05C12.3,T05C12.3,WBGene00011467,Sequence name for WBGene00011467(decr-1.3). History: N.A.
T05D4.5,T05D4.5,WBGene00011478,Public name for WBGene00011478. History: N.A.
T05F1.5,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
T05F1.8,T05F1.8,WBGene00011493,Public name for WBGene00011493. History: N.A.
T05H4.2,T05H4.2,WBGene00020265,Sequence name for WBGene00020265(fbxa-196). History: N.A.
T06C10.3,T06C10.3,WBGene00020289,Public name for WBGene00020289. History: N.A.
T06C10.6,T06C10.6,WBGene00002208,Sequence name for WBGene00002208(kin-26). History: N.A.
T06D4.4,T06D4.4,WBGene00020293,Sequence name for WBGene00020293(nep-20). History: N.A.
T06E4.5,T06E4.5,WBGene00011533,Public name for WBGene00011533. History: N.A.
T08B2.11,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08B2.12,T08B2.12,WBGene00020350,Public name for WBGene00020350. History: N.A.
T08B6.4,T08B6.4,WBGene00020353,Public name for WBGene00020353. History: N.A.
T08B6.5,T08B6.5,WBGene00020354,Sequence name for WBGene00020354(sgnh-1). History: N.A.
T08G11.2,T08G11.2,WBGene00044684,"Public name for WBGene00044684. History: Split into ""WBGene00001198"" on 2005-11-29"
T08H10.4,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
