Germline enriched,Input,Suggested Match,History
Y71H2B.6,Y71H2B.6,WBGene00007019,Sequence name for WBGene00007019(mdt-19). History: N.A.
Y71H2AM.5,Y71H2AM.5,WBGene00022170,Sequence name for WBGene00022170(cox-6B). History: N.A.
Y71H2AM.4,Y71H2AM.4,WBGene00022169,Public name for WBGene00022169. History: N.A.
F56F11.4,F56F11.4,WBGene00018991,Public name for WBGene00018991. History: N.A.
H06I04.4,H06I04.4,WBGene00006725,Sequence name for WBGene00006725(ubl-1). History: N.A.
Y53G8AL.2,Y53G8AL.2,WBGene00021800,Sequence name for WBGene00021800(nduf-9). History: N.A.
C56G7.1,C56G7.1,WBGene00003372,Sequence name for WBGene00003372(mlc-4). History: N.A.
F59A2.3,F59A2.3,WBGene00010303,Sequence name for WBGene00010303(cri-3). History: N.A.
F59A2.1,F59A2.1,WBGene00003795,Sequence name for WBGene00003795(npp-9). History: N.A.
K01A11.2,K01A11.2,WBGene00010450,Sequence name for WBGene00010450(metl-18). History: N.A.
C34C12.3,C34C12.3,WBGene00007922,Sequence name for WBGene00007922(pph-6). History: N.A.
M01F1.8,M01F1.8,WBGene00010814,Public name for WBGene00010814. History: N.A.
C54C6.6,C54C6.6,WBGene00008288,Public name for WBGene00008288. History: N.A.
F13B10.2,F13B10.2,WBGene00004414,Sequence name for WBGene00004414(rpl-3). History: N.A.
C36E8.5,C36E8.5,WBGene00006537,Sequence name for WBGene00006537(tbb-2). History: N.A.
C03C10.1,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
C03C10.3,C03C10.3,WBGene00004392,Sequence name for WBGene00004392(rnr-2). History: N.A.
C16C10.11,C16C10.11,WBGene00007630,Sequence name for WBGene00007630(har-1). History: N.A.
C16C10.10,C16C10.10,WBGene00006448,Sequence name for WBGene00006448(glod-4). History: Renamed on 2007-07-20
C16C10.5,C16C10.5,WBGene00007626,Sequence name for WBGene00007626(rnf-121). History: N.A.
C16C10.3,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
R74.8,R74.8,WBGene00011282,Public name for WBGene00011282. History: N.A.
F43C1.2,F43C1.2,WBGene00003401,Sequence name for WBGene00003401(mpk-1). History: N.A.
T08A11.2,T08A11.2,WBGene00011605,Sequence name for WBGene00011605(sftb-1). History: Renamed on 2005-03-17
R10E4.4,R10E4.4,WBGene00003157,Sequence name for WBGene00003157(mcm-5). History: N.A.
B0285.4,B0285.4,WBGene00007137,Sequence name for WBGene00007137(lcmt-1). History: N.A.
R07E5.2,R07E5.2,WBGene00011110,Sequence name for WBGene00011110(prdx-3). History: N.A.
R07E5.13,R07E5.13,WBGene00011119,Sequence name for WBGene00011119(mpc-1). History: N.A.
R07E5.11,R07E5.11,WBGene00011117,Public name for WBGene00011117. History: N.A.
F56F3.1,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
C07G2.1,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
C07G2.3,C07G2.3,WBGene00000380,Sequence name for WBGene00000380(cct-5). History: N.A.
F35G12.11,F35G12.11,WBGene00009444,Sequence name for WBGene00009444(erh-2). History: N.A.
F35G12.9,F35G12.9,WBGene00000145,Sequence name for WBGene00000145(apc-11). History: N.A.
F35G12.10,F35G12.10,WBGene00000206,Sequence name for WBGene00000206(asb-1). History: N.A.
B0393.1,B0393.1,WBGene00004469,Sequence name for WBGene00004469(rps-0). History: N.A.
B0393.6,B0393.6,WBGene00007171,Public name for WBGene00007171. History: N.A.
C38D4.4,C38D4.4,WBGene00008005,Sequence name for WBGene00008005(mip-1). History: Renamed on 2021-12-09
C35D10.10,C35D10.10,WBGene00016446,Public name for WBGene00016446. History: N.A.
C35D10.13,C35D10.13,WBGene00016449,Sequence name for WBGene00016449(tost-1). History: N.A.
C35D10.16,C35D10.16,WBGene00000204,Sequence name for WBGene00000204(arx-6). History: N.A.
F26F4.10,F26F4.10,WBGene00004679,Sequence name for WBGene00004679(rars-1). History: Renamed on 2010-01-29
C26E6.11,C26E6.11,WBGene00016144,Sequence name for WBGene00016144(mmab-1). History: Renamed on 2006-01-16
C26E6.6,C26E6.6,WBGene00016142,Sequence name for WBGene00016142(mrps-18C). History: N.A.
C26E6.5,C26E6.5,WBGene00001499,"Sequence name for WBGene00001499(fsn-1). History: N.A.. Public name for Dead gene WBGene00016141. History of WBGene00016141: Merged into ""WBGene00001499"" on 2004-07-01"
C26E6.4,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
C27F2.4,C27F2.4,WBGene00016166,Public name for WBGene00016166. History: N.A.
C27F2.7,C27F2.7,WBGene00016169,Public name for WBGene00016169. History: N.A.
Y54H5A.3,Y54H5A.3,WBGene00021901,Sequence name for WBGene00021901(rbm-42). History: Renamed on 2017-12-07
T10F2.1,T10F2.1,WBGene00001744,Sequence name for WBGene00001744(gars-1). History: Renamed on 2010-01-29
T10F2.4,T10F2.4,WBGene00020423,Sequence name for WBGene00020423(prp-19). History: N.A.
K10D2.5,K10D2.5,WBGene00019631,Public name for WBGene00019631. History: N.A.
K10D2.4,K10D2.4,WBGene00019630,Sequence name for WBGene00019630(emb-1). History: Renamed on 2010-11-24
K10D2.2,K10D2.2,WBGene00019628,Sequence name for WBGene00019628(pup-2). History: N.A.
K10D2.6,K10D2.6,WBGene00001262,"Sequence name for WBGene00001262(emb-8). History: Renamed on 2018-09-18. Public name for Dead gene WBGene00019632. History of WBGene00019632: Merged into ""WBGene00001262"" on 2005-08-19"
ZC155.4,ZC155.4,WBGene00022532,Public name for WBGene00022532. History: N.A.
C34E10.6,C34E10.6,WBGene00000229,Sequence name for WBGene00000229(atp-2). History: N.A.
C34E10.5,C34E10.5,WBGene00016408,Sequence name for WBGene00016408(prmt-5). History: Renamed on 2007-07-20
C34E10.2,C34E10.2,WBGene00001661,Sequence name for WBGene00001661(gop-2). History: N.A.
ZC395.7,ZC395.7,WBGene00001823,Sequence name for WBGene00001823(hap-1). History: N.A.
ZC395.10,ZC395.10,WBGene00022599,Sequence name for WBGene00022599(daf-41). History: N.A.
ZC395.3,ZC395.3,WBGene00006590,Sequence name for WBGene00006590(toc-1). History: N.A.
ZK121.1,ZK121.1,WBGene00022663,Sequence name for WBGene00022663(glrx-21). History: N.A.
F48E8.7,F48E8.7,WBGene00018613,Sequence name for WBGene00018613(skpt-1). History: N.A.
F48E8.3,F48E8.3,WBGene00018610,Public name for WBGene00018610. History: N.A.
F09F7.4,F09F7.4,WBGene00017301,Sequence name for WBGene00017301(hach-1). History: N.A.
F56D2.6,F56D2.6,WBGene00018967,Sequence name for WBGene00018967(ddx-15). History: N.A.
C05D2.5,C05D2.5,WBGene00001514,Sequence name for WBGene00001514(xnd-1). History: Renamed on 2008-09-15
F54E7.1,F54E7.1,WBGene00018827,Sequence name for WBGene00018827(pst-2). History: N.A.
B0336.6,B0336.6,WBGene00015146,Sequence name for WBGene00015146(abi-1). History: N.A.
B0336.5,B0336.5,WBGene00015145,Sequence name for WBGene00015145(arle-14). History: N.A.
B0336.13,B0336.13,WBGene00015150,Public name for WBGene00015150. History: N.A.
B0336.10,B0336.10,WBGene00004435,Sequence name for WBGene00004435(rpl-23). History: N.A.
B0336.2,B0336.2,WBGene00000182,Sequence name for WBGene00000182(arf-1). History: Renamed on 2020-09-10
F01F1.8,F01F1.8,WBGene00000381,Sequence name for WBGene00000381(cct-6). History: N.A.
F01F1.5,F01F1.5,WBGene00001057,Sequence name for WBGene00001057(dpf-4). History: N.A.
F01F1.9,F01F1.9,WBGene00017163,Sequence name for WBGene00017163(dnpp-1). History: N.A.
C28H8.9,C28H8.9,WBGene00016200,Sequence name for WBGene00016200(dpff-1). History: N.A.
F25B5.7,F25B5.7,WBGene00017778,Sequence name for WBGene00017778(nono-1). History: Renamed on 2013-07-10
F25B5.2,F25B5.2,WBGene00017774,Sequence name for WBGene00017774(nop-1). History: N.A.
ZK328.2,ZK328.2,WBGene00001166,Sequence name for WBGene00001166(eftu-2). History: Renamed on 2010-08-03
T17E9.2,T17E9.2,WBGene00020549,Sequence name for WBGene00020549(nmt-1). History: N.A.
Y42G9A.6,Y42G9A.6,WBGene00021535,Sequence name for WBGene00021535(wht-7). History: N.A.
C23G10.4,C23G10.4,WBGene00004459,Sequence name for WBGene00004459(rpn-2). History: N.A.
C23G10.3,C23G10.3,WBGene00004472,Sequence name for WBGene00004472(rps-3). History: N.A.
T12A2.2,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
F47D12.4,F47D12.4,WBGene00001972,Sequence name for WBGene00001972(hmg-1.2). History: N.A.
C16A3.9,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
C16A3.5,C16A3.5,WBGene00015810,Public name for WBGene00015810. History: N.A.
C05D11.7,C05D11.7,WBGene00015484,Sequence name for WBGene00015484(atgl-1). History: N.A.
C05D11.10,C05D11.10,WBGene00015487,Sequence name for WBGene00015487(mrps-17). History: N.A.
C05D11.3,C05D11.3,WBGene00006515,"Sequence name for WBGene00006515(txdc-9). History: N.A.. Public name for Dead gene WBGene00015482. History of WBGene00015482: Merged into ""WBGene00006515"" on 2005-10-05"
C05D11.1,C05D11.1,WBGene00015481,Public name for WBGene00015481. History: N.A.
C05D11.11,C05D11.11,WBGene00003214,Sequence name for WBGene00003214(mel-32). History: N.A.
T26A5.8,T26A5.8,WBGene00020823,Public name for WBGene00020823. History: N.A.
T26A5.9,T26A5.9,WBGene00001005,Sequence name for WBGene00001005(dlc-1). History: N.A.
F23F12.6,F23F12.6,WBGene00004503,Sequence name for WBGene00004503(rpt-3). History: N.A.
F20H11.5,F20H11.5,WBGene00017648,Sequence name for WBGene00017648(ddo-3). History: N.A.
C13B9.3,C13B9.3,WBGene00015734,Sequence name for WBGene00015734(copd-1). History: N.A.
F37A4.1,F37A4.1,WBGene00018131,Public name for WBGene00018131. History: N.A.
T07E3.3,T07E3.3,WBGene00020314,Public name for WBGene00020314. History: N.A.
F57B9.6,F57B9.6,WBGene00002083,Sequence name for WBGene00002083(inf-1). History: N.A.
F57B9.5,F57B9.5,WBGene00000276,Sequence name for WBGene00000276(byn-1). History: N.A.
R01H2.3,R01H2.3,WBGene00019811,Sequence name for WBGene00019811(egg-2). History: N.A.
R01H2.6,R01H2.6,WBGene00006713,Sequence name for WBGene00006713(ubc-18). History: N.A.
B0280.5,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
B0280.1,B0280.1,WBGene00015099,Sequence name for WBGene00015099(ggtb-1). History: N.A.
K04G7.4,K04G7.4,WBGene00019401,Sequence name for WBGene00019401(nuo-4). History: N.A.
F37C12.7,F37C12.7,WBGene00018152,Sequence name for WBGene00018152(acs-4). History: N.A.
F37C12.4,F37C12.4,WBGene00004450,Sequence name for WBGene00004450(rpl-36). History: N.A.
F37C12.3,F37C12.3,WBGene00018151,Public name for WBGene00018151. History: N.A.
T20H4.5,T20H4.5,WBGene00020636,Public name for WBGene00020636. History: N.A.
T20H4.3,T20H4.3,WBGene00004189,Sequence name for WBGene00004189(pars-1). History: Renamed on 2010-01-29
B0361.7,B0361.7,WBGene00015161,Sequence name for WBGene00015161(pho-5). History: N.A.
F56C9.6,F56C9.6,WBGene00018950,Public name for WBGene00018950. History: N.A.
H14A12.2,H14A12.2,WBGene00001503,Sequence name for WBGene00001503(fum-1). History: N.A.
C07H6.5,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
ZK783.2,ZK783.2,WBGene00022817,Sequence name for WBGene00022817(upp-1). History: N.A.
ZK686.3,ZK686.3,WBGene00022793,Public name for WBGene00022793. History: N.A.
ZK686.1,ZK686.1,WBGene00022791,Public name for WBGene00022791. History: N.A.
C08C3.2,C08C3.2,WBGene00015590,Sequence name for WBGene00015590(bath-15). History: N.A.
C08C3.4,C08C3.4,WBGene00015591,Sequence name for WBGene00015591(cyk-7). History: N.A.
ZK652.2,ZK652.2,WBGene00022783,Sequence name for WBGene00022783(tomm-7). History: N.A.
ZK652.1,ZK652.1,WBGene00004918,Sequence name for WBGene00004918(snr-5). History: N.A.
ZK688.9,ZK688.9,WBGene00022803,"Public name for WBGene00022803. History: Split into ZK688.11(WBGene00044762). History of WBGene00022803: Split into ""WBGene00044762"" on 2006-02-24"
C29E4.12,C29E4.12,WBGene00016209,Public name for WBGene00016209. History: N.A.
C29E4.2,C29E4.2,WBGene00016202,Sequence name for WBGene00016202(kle-2). History: Renamed on 2006-03-22; Renamed on 2007-07-06
C29E4.8,C29E4.8,WBGene00002879,"Sequence name for WBGene00002879(let-754). History: N.A.. Public name for Dead gene WBGene00016205. History of WBGene00016205: Merged into ""WBGene00002879"" on 2008-01-30"
F54H12.6,F54H12.6,WBGene00018846,Sequence name for WBGene00018846(eef-1B.1). History: N.A.
F44B9.5,F44B9.5,WBGene00018408,Public name for WBGene00018408. History: N.A.
K12H4.3,K12H4.3,WBGene00019678,Public name for WBGene00019678. History: N.A.
C14B9.4,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
C14B9.7,C14B9.7,WBGene00004433,Sequence name for WBGene00004433(rpl-21). History: N.A.
D2007.4,D2007.4,WBGene00017044,Sequence name for WBGene00017044(mrpl-18). History: N.A.
C50C3.6,C50C3.6,WBGene00004187,Sequence name for WBGene00004187(prp-8). History: N.A.
C30A5.3,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
C02F5.9,C02F5.9,WBGene00003952,Sequence name for WBGene00003952(pbs-6). History: N.A.
ZK353.7,ZK353.7,WBGene00022702,Sequence name for WBGene00022702(cutc-1). History: N.A.
ZK353.8,ZK353.8,WBGene00022703,Sequence name for WBGene00022703(ubxn-4). History: N.A.
ZK353.9,ZK353.9,WBGene00022704,Public name for WBGene00022704. History: N.A.
ZK1236.6,ZK1236.6,WBGene00004175,Sequence name for WBGene00004175(pqn-96). History: N.A.
C30C11.4,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
C30C11.2,C30C11.2,WBGene00004460,Sequence name for WBGene00004460(rpn-3). History: N.A.
F42H10.7,F42H10.7,WBGene00018371,Sequence name for WBGene00018371(ess-2). History: N.A.
F42H10.2,F42H10.2,WBGene00018366,Public name for WBGene00018366. History: N.A.
B0303.15,B0303.15,WBGene00015133,Sequence name for WBGene00015133(mrpl-11). History: N.A.
PAR2.4,PAR2.4,WBGene00003253,"Sequence name for WBGene00003253(mig-22). History: N.A.. Public name for Dead gene WBGene00019802. History of WBGene00019802: Merged into ""WBGene00003253"" on 2006-10-31"
K02D10.1,K02D10.1,WBGene00019301,Public name for WBGene00019301. History: N.A.
F44E2.10,F44E2.10,WBGene00018423,Public name for WBGene00018423. History: N.A.
R08D7.2,R08D7.2,WBGene00011143,Sequence name for WBGene00011143(rpap-2). History: N.A.
R08D7.3,R08D7.3,WBGene00001227,Sequence name for WBGene00001227(eif-3.D). History: N.A.
F59B2.3,F59B2.3,WBGene00010308,Public name for WBGene00010308. History: N.A.
F59B2.6,F59B2.6,WBGene00006977,Sequence name for WBGene00006977(zif-1). History: N.A.
F59B2.7,F59B2.7,WBGene00004269,Sequence name for WBGene00004269(rab-6.1). History: N.A.
R107.5,R107.5,WBGene00011300,Public name for WBGene00011300. History: N.A.
R107.6,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
R107.7,R107.7,WBGene00001749,Sequence name for WBGene00001749(gst-1). History: N.A.
F02A9.4,F02A9.4,WBGene00008514,"Sequence name for WBGene00008514(mrpl-44). History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
T23G5.1,T23G5.1,WBGene00004391,Sequence name for WBGene00004391(rnr-1). History: N.A.
C40H1.6,C40H1.6,WBGene00008041,Sequence name for WBGene00008041(ufc-1). History: N.A.
C38C10.2,C38C10.2,WBGene00008000,Sequence name for WBGene00008000(slc-17.2). History: N.A.
F54C8.4,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
B0464.7,B0464.7,WBGene00000235,Sequence name for WBGene00000235(baf-1). History: Renamed on 2006-12-04
B0464.1,B0464.1,WBGene00001094,Sequence name for WBGene00001094(dars-1). History: Renamed on 2010-01-29
C48B4.7,C48B4.7,WBGene00008170,Public name for WBGene00008170. History: N.A.
C48B4.10,C48B4.10,WBGene00008173,Public name for WBGene00008173. History: N.A.
F58A4.3,F58A4.3,WBGene00001831,Sequence name for WBGene00001831(hcp-3). History: N.A.
F58A4.8,F58A4.8,WBGene00006540,Sequence name for WBGene00006540(tbg-1). History: N.A.
C07A9.2,C07A9.2,WBGene00007400,Sequence name for WBGene00007400(bud-31). History: N.A.
T05G5.3,T05G5.3,WBGene00000405,Sequence name for WBGene00000405(cdk-1). History: N.A.
T05G5.6,T05G5.6,WBGene00001155,Sequence name for WBGene00001155(ech-6). History: N.A.
T05G5.7,T05G5.7,WBGene00011501,Sequence name for WBGene00011501(rmd-1). History: N.A.
R10E11.8,R10E11.8,WBGene00006910,Sequence name for WBGene00006910(vha-1). History: Renamed on 2005-11-29; Renamed on 2006-01-12
ZK632.1,ZK632.1,WBGene00003158,Sequence name for WBGene00003158(mcm-6). History: N.A.
ZK632.6,ZK632.6,WBGene00000567,Sequence name for WBGene00000567(cnx-1). History: N.A.
ZK632.12,ZK632.12,WBGene00014019,Public name for WBGene00014019. History: N.A.
K11H3.6,K11H3.6,WBGene00010783,Sequence name for WBGene00010783(mrpl-36). History: N.A.
ZK757.4,ZK757.4,WBGene00014075,Sequence name for WBGene00014075(dhhc-4). History: N.A.
T16H12.4,T16H12.4,WBGene00011814,Sequence name for WBGene00011814(gtf-2H2C). History: N.A.
T16H12.5,T16H12.5,WBGene00011815,Sequence name for WBGene00011815(spop-1). History: Renamed on 2020-03-30
T20G5.2,T20G5.2,WBGene00000833,Sequence name for WBGene00000833(cts-1). History: N.A.
T20G5.11,T20G5.11,WBGene00004326,Sequence name for WBGene00004326(rde-4). History: N.A.
T07A5.2,T07A5.2,WBGene00006785,"Sequence name for WBGene00006785(unc-50). History: N.A.. Public name for Dead gene WBGene00011555. History of WBGene00011555: Merged into ""WBGene00006785"" on 2007-10-01"
T07C4.7,T07C4.7,WBGene00003225,Sequence name for WBGene00003225(mev-1). History: Renamed on 2006-07-19
T07C4.3,T07C4.3,WBGene00011560,Public name for WBGene00011560. History: N.A.
D2045.1,D2045.1,WBGene00000231,Sequence name for WBGene00000231(atx-2). History: N.A.
D2045.6,D2045.6,WBGene00000836,Sequence name for WBGene00000836(cul-1). History: N.A.
F43D9.4,F43D9.4,WBGene00004798,Sequence name for WBGene00004798(sip-1). History: N.A.
Y39A1A.13,Y39A1A.13,WBGene00012651,Sequence name for WBGene00012651(orc-4). History: N.A.
K01G5.7,K01G5.7,WBGene00006536,Sequence name for WBGene00006536(tbb-1). History: N.A.
K01G5.5,K01G5.5,WBGene00010478,Public name for WBGene00010478. History: N.A.
K01G5.2,K01G5.2,WBGene00001996,Sequence name for WBGene00001996(hpl-2). History: N.A.
Y66D12A.22,Y66D12A.22,WBGene00006573,Sequence name for WBGene00006573(tin-10). History: N.A.
Y66D12A.9,Y66D12A.9,WBGene00013435,Sequence name for WBGene00013435(psme-3). History: N.A.
C18D11.4,C18D11.4,WBGene00004705,Sequence name for WBGene00004705(rsp-8). History: N.A.
Y56A3A.1,Y56A3A.1,WBGene00003826,Sequence name for WBGene00003826(ntl-3). History: N.A.
Y56A3A.17,Y56A3A.17,WBGene00003802,Sequence name for WBGene00003802(npp-16). History: N.A.
Y56A3A.21,Y56A3A.21,WBGene00013238,Sequence name for WBGene00013238(trap-4). History: N.A.
Y79H2A.6,Y79H2A.6,WBGene00000201,Sequence name for WBGene00000201(arx-3). History: N.A.
Y75B8A.14,Y75B8A.14,WBGene00013550,Public name for WBGene00013550. History: N.A.
Y49E10.1,Y49E10.1,WBGene00004506,Sequence name for WBGene00004506(rpt-6). History: N.A.
Y49E10.2,Y49E10.2,WBGene00013029,Sequence name for WBGene00013029(glrx-5). History: N.A.
Y49E10.3,Y49E10.3,WBGene00004086,Sequence name for WBGene00004086(pph-4.2). History: N.A.
Y49E10.4,Y49E10.4,WBGene00013030,Public name for WBGene00013030. History: N.A.
Y49E10.15,Y49E10.15,WBGene00004919,Sequence name for WBGene00004919(snr-6). History: N.A.
Y49E10.19,Y49E10.19,WBGene00013038,Sequence name for WBGene00013038(ani-1). History: N.A.
Y111B2A.20,Y111B2A.20,WBGene00013740,Sequence name for WBGene00013740(hut-1). History: N.A.
Y37D8A.9,Y37D8A.9,WBGene00003406,Sequence name for WBGene00003406(mrg-1). History: N.A.
Y37D8A.10,Y37D8A.10,WBGene00012550,Sequence name for WBGene00012550(spcs-2). History: Renamed on 2018-11-12
Y37D8A.11,Y37D8A.11,WBGene00012551,Sequence name for WBGene00012551(cec-7). History: N.A.
Y37D8A.13,Y37D8A.13,WBGene00006804,"Sequence name for WBGene00006804(unc-71). History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
Y37D8A.14,Y37D8A.14,WBGene00012553,Sequence name for WBGene00012553(cox-5A). History: Renamed on 2017-09-05
Y39E4A.3,Y39E4A.3,WBGene00012713,Sequence name for WBGene00012713(bckd-1A). History: N.A.
Y39E4B.5,Y39E4B.5,WBGene00012716,Public name for WBGene00012716. History: N.A.
F56A8.3,F56A8.3,WBGene00010139,Public name for WBGene00010139. History: N.A.
F56A8.5,F56A8.5,WBGene00010141,Public name for WBGene00010141. History: N.A.
Y43F4B.6,Y43F4B.6,WBGene00002229,Sequence name for WBGene00002229(klp-19). History: N.A.
F53A2.4,F53A2.4,WBGene00003829,Sequence name for WBGene00003829(nud-1). History: N.A.
F45G2.4,F45G2.4,WBGene00009732,Sequence name for WBGene00009732(cope-1). History: N.A.
T27E9.1,T27E9.1,WBGene00006439,Sequence name for WBGene00006439(ant-1.1). History: Renamed on 2008-06-04; Renamed on 2014-03-03
T27E9.3,T27E9.3,WBGene00000407,Sequence name for WBGene00000407(cdk-5). History: N.A.
T12D8.8,T12D8.8,WBGene00011735,Sequence name for WBGene00011735(hip-1). History: N.A.
T12D8.7,T12D8.7,WBGene00006391,Sequence name for WBGene00006391(taf-9). History: N.A.
T12D8.3,T12D8.3,WBGene00011731,Sequence name for WBGene00011731(acbp-5). History: Split into T12D8.10(WBGene00023450). History of WBGene00011731: N.A.
ZK520.4,ZK520.4,WBGene00000837,Sequence name for WBGene00000837(cul-2). History: Renamed on 2013-05-02
K08E3.3,K08E3.3,WBGene00010663,"Sequence name for WBGene00010663(toca-2). History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
K08E3.4,K08E3.4,WBGene00010664,Sequence name for WBGene00010664(dbn-1). History: N.A.
K08E3.5,K08E3.5,WBGene00010665,Sequence name for WBGene00010665(rml-1). History: N.A.
K08E3.6,K08E3.6,WBGene00000875,Sequence name for WBGene00000875(cyk-4). History: N.A.
K08E3.7,K08E3.7,WBGene00003967,Sequence name for WBGene00003967(pdr-1). History: N.A.
