# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
W06H8.6,-0.745851596844254,,,W06H8.6,WBGene00021068,Public name for WBGene00021068. History: N.A.
Y32H12A.8,-0.745173315975203,-0.733540311608546,-0.7768454410494249,Y32H12A.8,WBGene00021316,Public name for WBGene00021316. History: N.A.
Y54E2A.10,-0.743125140625679,,,Y54E2A.10,WBGene00013195,Public name for WBGene00013195. History: N.A.
Y37D8A.5,-0.742948933415239,,,Y37D8A.5,WBGene00012547,Public name for WBGene00012547. History: N.A.
fbxb-105,-0.741081905347531,,,fbxb-105,WBGene00017251,Public name for WBGene00017251. History: N.A.
pdfr-1,-0.739392230359021,-0.6161787427561048,,pdfr-1,WBGene00015735,Public name for WBGene00015735. History: Renamed on 2012-08-29
F55G7.1,-0.739257530036556,,,F55G7.1,WBGene00010119,Public name for WBGene00010119. History: N.A.
K09E4.4,-0.737768898628808,,,K09E4.4,WBGene00010722,Public name for WBGene00010722. History: N.A.
Y87G2A.2,-0.737164207970614,,,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
C07A9.12,-0.735268993654686,,,C07A9.12,WBGene00043994,Public name for WBGene00043994. History: N.A.
fbxa-153,-0.733478252328658,,,fbxa-153,WBGene00007162,Public name for WBGene00007162. History: N.A.
K01G12.3,-0.73103842515298,,,K01G12.3,WBGene00010483,Public name for WBGene00010483. History: N.A.
rab-3,-0.728269692063059,,,rab-3,WBGene00004267,Public name for WBGene00004267. History: N.A.
W05H9.4,-0.728238511522496,-0.7907088066388879,-0.703919636721555,W05H9.4,WBGene00021051,Public name for WBGene00021051. History: N.A.
zip-9,-0.727780950628157,-0.708272026024638,,zip-9,WBGene00077761,"Public name for WBGene00077761. History: Split into F17C11.26(WBGene00303011). History of WBGene00077761: Split into ""WBGene00303011"" on 2018-03-06"
T05E12.10,-0.727638682207136,,,T05E12.10,WBGene00077787,Public name for WBGene00077787. History: N.A.
inft-1,-0.724582867818858,,,inft-1,WBGene00019030,Other name for WBGene00019030(exc-6). History: Renamed on 2006-06-29; Renamed on 2013-07-04
tag-312,-0.722358938233562,,,tag-312,WBGene00016344,Other name for WBGene00016344(rsef-1). History: Renamed on 2014-03-03
F48G7.2,-0.721405125137127,,,F48G7.2,WBGene00018614,Sequence name for WBGene00018614(pals-31). History: N.A.
aps-2,-0.720453127827615,,,aps-2,WBGene00000157,Public name for WBGene00000157. History: N.A.
csp-2,-0.719032760320909,,,csp-2,WBGene00000820,Public name for WBGene00000820. History: N.A.
klp-8,-0.718418833832417,-0.638263697790649,,klp-8,WBGene00002220,Other name for WBGene00002220(gcc-1). History: Renamed on 2015-03-25
B0205.12,-0.71452802496047,,,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
F47G6.3,-0.7141621543327,-0.889931014484845,-1.25238578699224,F47G6.3,WBGene00018580,Public name for WBGene00018580. History: N.A.
F59F4.1,-0.712243494460474,,,F59F4.1,WBGene00010336,Sequence name for WBGene00010336(acox-1.6). History: Renamed on 2017-01-05
F11A5.18,-0.712162598388261,,,F11A5.18,WBGene00045511,Public name for WBGene00045511. History: N.A.
W04A8.5,-0.71093494564517,,,W04A8.5,WBGene00012240,Public name for WBGene00012240. History: N.A.
fbxb-69,-0.708950812576144,,,fbxb-69,WBGene00008613,Public name for WBGene00008613. History: N.A.
C06B3.6,-0.708804069473788,,,C06B3.6,WBGene00007365,Public name for WBGene00007365. History: N.A.
F08F3.9,-0.708587875716888,,,F08F3.9,WBGene00017265,Sequence name for WBGene00017265(snpc-1.3). History: N.A.
Y75B8A.10,-0.707466473033515,,,Y75B8A.10,WBGene00013547,Public name for WBGene00013547. History: N.A.
T13B5.9,-0.707308211193018,,,T13B5.9,WBGene00020476,Public name for WBGene00020476. History: N.A.
nas-14,-0.705513021921731,-0.8180148806768929,-0.743847489793757,nas-14,WBGene00003533,Public name for WBGene00003533. History: N.A.
F36D3.1,-0.704422026939854,,,F36D3.1,WBGene00009469,Public name for WBGene00009469. History: N.A.
T05B9.2,-0.703038752445314,,,T05B9.2,WBGene00011465,Public name for WBGene00011465. History: N.A.
F45D11.5,-0.702595588963184,,,F45D11.5,WBGene00018452,Public name for WBGene00018452. History: N.A.
W09G12.7,-0.701505888644794,,,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
fbxa-59,-0.701154067376526,,,fbxa-59,WBGene00020455,Public name for WBGene00020455. History: N.A.
fbxb-51,-0.694840341715811,,,fbxb-51,WBGene00019414,Public name for WBGene00019414. History: N.A.
fmo-3,-0.694509689380541,,,fmo-3,WBGene00001478,Public name for WBGene00001478. History: N.A.
F40F4.7,-0.692790298630802,,,F40F4.7,WBGene00018238,Public name for WBGene00018238. History: N.A.
K09E3.6,-0.6927166837404,,,K09E3.6,WBGene00019577,Sequence name for WBGene00019577(lido-6). History: N.A.
C05D11.13,-0.688903236570789,-0.8139556387612729,,C05D11.13,WBGene00015488,Public name for WBGene00015488. History: N.A.
attf-5,-0.688802225286332,,,attf-5,WBGene00020214,Public name for WBGene00020214. History: N.A.
E04A4.3,-0.688469473525936,,,E04A4.3,WBGene00017118,Public name for WBGene00017118. History: N.A.
Y74C9A.1,-0.688171424861506,,,Y74C9A.1,WBGene00022275,Sequence name for WBGene00022275(txt-7). History: N.A.
Y95D11A.2,-0.684726289933296,,,Y95D11A.2,WBGene00044262,Public name for WBGene00044262. History: N.A.
Y34B4A.2,-0.684632899080023,,,Y34B4A.2,WBGene00021319,Public name for WBGene00021319. History: N.A.
set-8,-0.684609098765121,-0.707042745874782,,set-8,WBGene00008527,Public name for WBGene00008527. History: N.A.
vhl-1,-0.683411288205382,-0.687736962878251,,vhl-1,WBGene00006922,Public name for WBGene00006922. History: N.A.
K08E4.7,-0.681310750882565,,,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
F22E12.1,-0.680155754385516,-0.7737813085488618,,F22E12.1,WBGene00009058,Public name for WBGene00009058. History: N.A.
zeel-1,-0.676804306862774,,,zeel-1,WBGene00021463,Public name for WBGene00021463. History: N.A.
F11C3.1,-0.676429164231385,-0.59324513747265,,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
C04E7.3,-0.675997268556762,,,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
sdz-10,-0.670970617432566,,,sdz-10,WBGene00017252,Public name for WBGene00017252. History: Renamed on 2005-12-13
F22G12.1,-0.669864198901837,,,F22G12.1,WBGene00009061,"Sequence name for WBGene00009061(pals-14). History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
scrm-4,-0.665741191196413,-0.634719560241343,,scrm-4,WBGene00008681,Public name for WBGene00008681. History: Renamed on 2007-05-03
T07F10.5,-0.665693855375584,,,T07F10.5,WBGene00011591,Public name for WBGene00011591. History: N.A.
ZK418.7,-0.66478743203389,,,ZK418.7,WBGene00022736,Public name for WBGene00022736. History: N.A.
Y37E11AL.1,-0.662047642492426,,,Y37E11AL.1,WBGene00021357,Public name for WBGene00021357. History: N.A.
tyr-6,-0.65992574812432,-0.779942559693757,,tyr-6,WBGene00022231,Public name for WBGene00022231. History: N.A.
syg-2,-0.659232991762623,,,syg-2,WBGene00007750,Public name for WBGene00007750. History: N.A.
Y73B6BL.14,-0.659143519126894,,,Y73B6BL.14,WBGene00022237,Public name for WBGene00022237. History: N.A.
kin-1,-0.658581412317067,,,kin-1,WBGene00002189,Public name for WBGene00002189. History: N.A.
tap-1,-0.654031444506645,,,tap-1,WBGene00006524,Public name for WBGene00006524. History: N.A.
F17C11.1,-0.653898912555356,-0.5867779799000649,,F17C11.1,WBGene00077761,"Public name for Dead gene WBGene00008913. History of WBGene00008913: Merged into ""WBGene00077761"" on 2016-02-22"
F39C12.1,-0.653165636939406,-0.729345735750964,,F39C12.1,WBGene00018193,Public name for WBGene00018193. History: N.A.
C01A2.6,-0.65082025885416,,,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
E02H9.9,-0.646039379096802,,,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
snt-2,-0.643901701904791,,,snt-2,WBGene00004922,Public name for WBGene00004922. History: N.A.
fbxa-207,-0.643774221967507,,,fbxa-207,WBGene00013612,Public name for WBGene00013612. History: N.A.
F16F9.4,-0.643442007032832,-0.8137998245303188,,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
Y32F6A.6,-0.635398502896401,-0.563085515302545,,Y32F6A.6,WBGene00044209,Public name for WBGene00044209. History: N.A.
F09F7.5,-0.633731863319835,,,F09F7.5,WBGene00017302,Public name for WBGene00017302. History: N.A.
Y73B6BL.288,-0.629045198774326,,,Y73B6BL.288,WBGene00219218,Public name for WBGene00219218. History: N.A.
madf-5,-0.626120244594828,-0.63175664437124,,madf-5,WBGene00007242,Public name for WBGene00007242. History: N.A.
ubl-5,-0.624338992192069,,,ubl-5,WBGene00006726,Public name for WBGene00006726. History: N.A.
R05A10.1,-0.62257137331628,-1.01591984151668,,R05A10.1,WBGene00011018,"Public name for WBGene00011018. History: Split into K01G12.22(WBGene00271789). History of WBGene00011018: Split into ""WBGene00271789"" on 2017-09-21"
Y54G2A.20,-0.620303876587449,-0.7099457247549938,,Y54G2A.20,WBGene00021885,Public name for WBGene00021885. History: N.A.
ZK1055.5,-0.61578156650192,,,ZK1055.5,WBGene00022846,Public name for WBGene00022846. History: N.A.
C52A10.3,-0.613251494773288,,,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
H16D19.5,-0.613224795202542,,,H16D19.5,WBGene00195253,Public name for WBGene00195253. History: N.A.
F22F7.3,-0.612985354956326,,,F22F7.3,WBGene00017721,Public name for WBGene00017721. History: N.A.
daf-6,-0.609221642959579,,,daf-6,WBGene00000902,Public name for WBGene00000902. History: N.A.
nas-36,-0.608436685866351,,,nas-36,WBGene00003552,Public name for WBGene00003552. History: N.A.
F43G6.5,-0.605855375380756,,,F43G6.5,WBGene00009658,Sequence name for WBGene00009658(pap-3). History: N.A.
zip-2,-0.603956338355329,-0.5592123666916639,,zip-2,WBGene00019327,Public name for WBGene00019327. History: N.A.
C38C3.3,-0.603580563692406,-0.873718200027733,,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
ZC504.3,-0.60289148012907,,,ZC504.3,WBGene00013917,Sequence name for WBGene00013917(cdk-11.2). History: N.A.
F54F7.6,-0.602602890629881,,,F54F7.6,WBGene00010066,Public name for WBGene00010066. History: N.A.
btb-4,-0.602083760756937,,,btb-4,WBGene00019142,Public name for WBGene00019142. History: N.A.
K08H2.3,-0.598872979631706,,,K08H2.3,WBGene00010690,Public name for WBGene00010690. History: N.A.
Y79H2A.4,-0.598734950651931,,,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
bam-2,-0.596482630039006,-0.715030252719203,,bam-2,WBGene00000237,Public name for WBGene00000237. History: N.A.
Y73B6BL.27,-0.596398561328212,,,Y73B6BL.27,WBGene00022248,Public name for WBGene00022248. History: N.A.
Y58A7A.3,-0.592829160099306,,,Y58A7A.3,WBGene00021977,Public name for WBGene00021977. History: N.A.
fbxb-37,-0.592604992273316,-0.613135342715146,,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Y44A6C.2,-0.592140961973765,,,Y44A6C.2,WBGene00012851,Public name for WBGene00012851. History: N.A.
C36A4.14,-0.590689817881029,-0.675398805680604,,C36A4.14,WBGene00194650,Public name for WBGene00194650. History: N.A.
pho-14,-0.58623545157654,-0.613518327084393,,pho-14,WBGene00020471,Public name for WBGene00020471. History: N.A.
pme-5,-0.581642103099103,,,pme-5,WBGene00004053,Other name for WBGene00004053(tank-1). History: Renamed on 2014-11-18
gly-13,-0.580100002958259,-0.5166601374237119,,gly-13,WBGene00001638,Public name for WBGene00001638. History: N.A.
F53B6.7,-0.57847524125633,-0.606785762916436,,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
nhr-15,-0.577878373155847,,,nhr-15,WBGene00003614,Public name for WBGene00003614. History: N.A.
F45D3.1,-0.577755387205924,,,F45D3.1,WBGene00009721,Public name for WBGene00009721. History: N.A.
tbc-19,-0.577418300489755,-0.574035533292916,,tbc-19,WBGene00007849,Public name for WBGene00007849. History: N.A.
B0391.8,-0.576045606890783,,,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
ZK742.6,-0.574619105521877,-0.677253564149999,,ZK742.6,WBGene00045277,Public name for WBGene00045277. History: N.A.
lron-11,-0.574335019570525,,,lron-11,WBGene00022129,Public name for WBGene00022129. History: N.A.
Y55B1BR.6,-0.573583723944049,,,Y55B1BR.6,WBGene00044401,Public name for WBGene00044401. History: N.A.
nhr-145,-0.5732864615191,,,nhr-145,WBGene00012703,"Public name for WBGene00012703. History: Split into Y39B6A.49(WBGene00077457). History of WBGene00012703: Split into ""WBGene00077457"" on 2007-11-22"
W04G5.3,-0.571920947218439,-0.7891092073878099,,W04G5.3,WBGene00012264,Public name for WBGene00012264. History: N.A.
W03F8.4,-0.571593781896737,,,W03F8.4,WBGene00020994,Public name for WBGene00020994. History: N.A.
tra-3,-0.571378967591935,,,tra-3,WBGene00006606,Public name for WBGene00006606. History: N.A.
T13C5.6,-0.571265504598486,,,T13C5.6,WBGene00020486,Public name for WBGene00020486. History: N.A.
K02D10.2,-0.57008004437415,,,K02D10.2,WBGene00019302,Public name for WBGene00019302. History: N.A.
srx-70,-0.569972433524301,,,srx-70,WBGene00005961,Public name for WBGene00005961. History: N.A.
F53H4.6,-0.569606047078198,,,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
Y54E5A.2,-0.569420015235208,-0.572133556502307,,Y54E5A.2,WBGene00013198,Public name for WBGene00013198. History: N.A.
fbxc-42,-0.569048966629622,,,fbxc-42,WBGene00018455,Public name for WBGene00018455. History: N.A.
srg-34,-0.567551237999046,-0.668007129638953,,srg-34,WBGene00005191,Public name for WBGene00005191. History: N.A.
crn-2,-0.566552320189754,,,crn-2,WBGene00000795,Public name for WBGene00000795. History: N.A.
irk-3,-0.565082863394133,,,irk-3,WBGene00002151,Public name for WBGene00002151. History: N.A.
mnp-1,-0.564216047778638,-0.6775401944043,,mnp-1,WBGene00007139,Public name for WBGene00007139. History: N.A.
Y73B3A.11,-0.560427117337361,-0.6146726568530279,,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
C09F5.1,-0.556121446245793,,,C09F5.1,WBGene00015647,Public name for WBGene00015647. History: N.A.
hint-3,-0.550344705032235,-0.766593924482044,-0.908111114281246,hint-3,WBGene00016150,Public name for WBGene00016150. History: N.A.
pup-3,-0.545784880142106,,,pup-3,WBGene00019082,Public name for WBGene00019082. History: N.A.
F07B7.2,-0.541352778053913,-0.537660980648698,,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
C45B2.6,-0.540625911271967,-0.700301233541305,,C45B2.6,WBGene00016661,Public name for WBGene00016661. History: N.A.
elf-1,-0.535774861025375,,,elf-1,WBGene00016029,Public name for WBGene00016029. History: N.A.. Other name for WBGene00001159(eff-1). History: N.A.
lgc-40,-0.533870668917748,-0.5510238909463099,,lgc-40,WBGene00020767,Public name for WBGene00020767. History: N.A.
F35G2.3,-0.531355970502076,,,F35G2.3,WBGene00009437,Public name for WBGene00009437. History: N.A.
Y37H9A.5,-0.52824501287192,,,Y37H9A.5,WBGene00014871,Public name for WBGene00014871. History: N.A.
W09B7.2,-0.527638423112656,,,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
cec-8,-0.522485768416113,,,cec-8,WBGene00021913,Public name for WBGene00021913. History: N.A.
zfp-1,-0.521717825488294,,,zfp-1,WBGene00006975,Public name for WBGene00006975. History: N.A.
C09G1.5,-0.519850764259084,,,C09G1.5,WBGene00007487,Public name for WBGene00007487. History: N.A.
eat-18,-0.518436183616264,-0.53445653617469,,eat-18,WBGene00001147,Public name for WBGene00001147. History: N.A.
W03F9.3,-0.517649433399322,,,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
Y53F4B.38,-0.507290284328866,,,Y53F4B.38,WBGene00014920,Public name for WBGene00014920. History: N.A.
C31H5.4,-0.505447465644529,,,C31H5.4,WBGene00007855,Public name for WBGene00007855. History: N.A.
Y71H2AM.10,-0.49936966881435,,,Y71H2AM.10,WBGene00022175,Public name for WBGene00022175. History: N.A.
cyp-31A1,-0.497549023845961,,,cyp-31A1,WBGene00000374,Public name for WBGene00000374. History: N.A.
F54G2.1,-0.496800217636998,-0.5555390630835149,,F54G2.1,WBGene00018837,Public name for WBGene00018837. History: N.A.
nep-1,-0.495857481845452,,,nep-1,WBGene00013926,Public name for WBGene00013926. History: N.A.
F42G9.4,-0.490473676199131,,,F42G9.4,WBGene00018363,Sequence name for WBGene00018363(nlp-52). History: N.A.
egl-9,-0.489553257474854,,,egl-9,WBGene00001178,Public name for WBGene00001178. History: N.A.
bath-14,-0.486802844576796,-0.510548999604267,,bath-14,WBGene00015016,Public name for WBGene00015016. History: N.A.
mpk-2,-0.485527925205259,,,mpk-2,WBGene00003402,Public name for WBGene00003402. History: N.A.
fbxa-107,-0.482891533053381,,,fbxa-107,WBGene00012564,Public name for WBGene00012564. History: N.A.
Y7A5A.1,-0.482150337900633,,,Y7A5A.1,WBGene00012407,Public name for WBGene00012407. History: N.A.
F08A8.8,-0.481163051239532,,,F08A8.8,WBGene00045468,Public name for WBGene00045468. History: N.A.
K05C4.9,-0.478773500343129,,,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
pes-4,-0.478033874989308,-0.5547535992436539,,pes-4,WBGene00003978,Public name for WBGene00003978. History: N.A.
kvs-4,-0.472772748447178,-0.66283973899543,-0.91730653434589,kvs-4,WBGene00012967,Public name for WBGene00012967. History: N.A.
gpa-9,-0.468789888709618,-0.553477864889629,,gpa-9,WBGene00001671,Public name for WBGene00001671. History: N.A.
F26D11.1,-0.462082200554878,,,F26D11.1,WBGene00017818,"Public name for WBGene00017818. History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
ZK228.1,-0.461778900276643,-0.5092569085864669,,ZK228.1,WBGene00013944,Public name for WBGene00013944. History: N.A.
siah-1,-0.461125048234118,,,siah-1,WBGene00021369,Public name for WBGene00021369. History: N.A.
W05G11.2,-0.459486827198865,,,W05G11.2,WBGene00021040,Public name for WBGene00021040. History: N.A.
unc-68,-0.458002329174843,,,unc-68,WBGene00006801,Public name for WBGene00006801. History: N.A.
F32A7.5,-0.456215840790658,,,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
ckk-1,-0.453625714439671,,,ckk-1,WBGene00000518,Public name for WBGene00000518. History: N.A.
W02H5.12,-0.453494498352794,,,W02H5.12,WBGene00206511,"Public name for Dead gene WBGene00194904. History of WBGene00194904: Merged into ""WBGene00206511"" on 2015-09-09"
fbxa-149,-0.449898480816956,,,fbxa-149,WBGene00012623,Public name for WBGene00012623. History: N.A.
acs-16,-0.448915212401173,,-0.7448167776272548,acs-16,WBGene00018579,Public name for WBGene00018579. History: N.A.
tax-6,-0.446560778851212,,,tax-6,WBGene00006527,Public name for WBGene00006527. History: N.A.
puf-9,-0.444553791853647,,,puf-9,WBGene00004245,Public name for WBGene00004245. History: N.A.
vps-25,-0.440492440650679,,,vps-25,WBGene00012193,Public name for WBGene00012193. History: N.A.
W02H5.10,-0.439669478074805,,,W02H5.10,WBGene00194896,"Public name for Dead gene WBGene00044522. History of WBGene00044522: Merged into ""WBGene00194896"" on 2016-07-04"
F35F11.2,-0.438534984124061,-0.760440885253511,,F35F11.2,WBGene00018065,Public name for WBGene00018065. History: N.A.
Y17D7C.3,-0.438368981548318,-0.549700616366344,,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
cutl-10,-0.437730597205002,,,cutl-10,WBGene00013180,Public name for WBGene00013180. History: N.A.
C41A3.1,-0.437182128416298,-0.503321148037826,,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
rme-6,-0.437151393784338,,,rme-6,WBGene00004377,Public name for WBGene00004377. History: N.A.
AC8.12,-0.432249110768962,,,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
hil-8,-0.430986110137604,,,hil-8,WBGene00001859,Public name for WBGene00001859. History: N.A.
AC8.7,-0.42809439779533,,,AC8.7,WBGene00007079,Public name for WBGene00007079. History: N.A.
sesn-1,-0.42702905566927,,,sesn-1,WBGene00022279,Public name for WBGene00022279. History: N.A.
csb-1,-0.424826252650089,,,csb-1,WBGene00000803,Public name for WBGene00000803. History: N.A.
bre-2,-0.422040321594084,,,bre-2,WBGene00000267,Public name for WBGene00000267. History: N.A.
F41B5.1,-0.40754450716542,,,F41B5.1,WBGene00023284,Public name for WBGene00023284. History: N.A.
Y48G1C.5,-0.406478116616376,,,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
M162.12,-0.396034433236105,,,M162.12,WBGene00050946,Public name for WBGene00050946. History: N.A.
C18H2.2,-0.382737800214822,,,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
Y71A12B.11,-0.361062211769086,,,Y71A12B.11,WBGene00013508,Public name for WBGene00013508. History: N.A.
zim-1,-0.333521820561006,,,zim-1,WBGene00011597,Public name for WBGene00011597. History: N.A.
T02H6.1,0.365742110256878,,,T02H6.1,WBGene00020171,Public name for WBGene00020171. History: N.A.
K10E9.1,0.369175383882594,,,K10E9.1,WBGene00000227,"Public name for Dead gene WBGene00019634. History of WBGene00019634: Merged into ""WBGene00000227"" on 2012-06-25"
nud-2,0.375381939227379,,,nud-2,WBGene00011230,Public name for WBGene00011230. History: N.A.
tars-1,0.376641714093032,,,tars-1,WBGene00006617,Public name for WBGene00006617. History: Renamed on 2010-01-29
hrp-1,0.377979192282929,,,hrp-1,WBGene00001999,Other name for WBGene00001999(hrpa-1). History: Renamed on 2019-11-21
T22F3.3,0.381589615046593,,,T22F3.3,WBGene00020696,Sequence name for WBGene00020696(pygl-1). History: N.A.
let-754,0.381742174901286,,,let-754,WBGene00002879,Public name for WBGene00002879. History: N.A.
tbc-20,0.382334241597235,,,tbc-20,WBGene00013196,Public name for WBGene00013196. History: N.A.
ncl-1,0.393539088476075,,,ncl-1,WBGene00003559,Public name for WBGene00003559. History: N.A.
lin-15B,0.398006057434302,,,lin-15B,WBGene00023497,Public name for WBGene00023497. History: N.A.
set-25,0.398403838203756,,,set-25,WBGene00012802,Public name for WBGene00012802. History: N.A.
ubxn-1,0.412108883597488,,,ubxn-1,WBGene00017733,Public name for WBGene00017733. History: N.A.
spsb-1,0.412141492922557,,,spsb-1,WBGene00021597,Public name for WBGene00021597. History: N.A.
Y48G1BL.1,0.412176408491788,,,Y48G1BL.1,WBGene00021662,"Sequence name for WBGene00021662(snpc-3.3). History: Split into Y48G1BL.8(WBGene00255594). History of WBGene00021662: Split into ""WBGene00255594"" on 2014-09-03"
mdt-21,0.418232728797954,,,mdt-21,WBGene00007704,Public name for WBGene00007704. History: Renamed on 2006-07-21
C36A4.5,0.419957549374788,,,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
clec-90,0.420946521464743,,,clec-90,WBGene00019009,Public name for WBGene00019009. History: N.A.
cey-1,0.42278587583662,,,cey-1,WBGene00000472,Public name for WBGene00000472. History: N.A.
uaf-1,0.423791996113765,,,uaf-1,WBGene00006697,Public name for WBGene00006697. History: N.A.
W09D10.1,0.425158686880666,,,W09D10.1,WBGene00012359,Public name for WBGene00012359. History: N.A.
spn-4,0.42525486649849,,,spn-4,WBGene00004984,Public name for WBGene00004984. History: N.A.
F52C12.1,0.427391423213063,,,F52C12.1,WBGene00018678,Sequence name for WBGene00018678(tdpo-1). History: N.A.
iff-1,0.429330944370444,,,iff-1,WBGene00002064,Public name for WBGene00002064. History: N.A.
rpl-25.2,0.430931827611323,,,rpl-25.2,WBGene00004439,Public name for WBGene00004439. History: N.A.
T05E11.3,0.431796488051144,,,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
Y23H5A.4,0.432077911436944,,,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
F52B11.1,0.43510996891783,,,F52B11.1,WBGene00009924,Sequence name for WBGene00009924(cfp-1). History: N.A.
kin-19,0.435623487506811,,,kin-19,WBGene00002202,Public name for WBGene00002202. History: N.A.
dhs-24,0.43667910918576,,,dhs-24,WBGene00000987,Public name for WBGene00000987. History: N.A.
mtrr-1,0.437799611592575,,,mtrr-1,WBGene00006510,Public name for WBGene00006510. History: Renamed on 2011-04-20
C18H9.3,0.438567248698051,,,C18H9.3,WBGene00016002,Sequence name for WBGene00016002(gyf-1). History: N.A.
pas-1,0.440895718695618,,,pas-1,WBGene00003922,Public name for WBGene00003922. History: N.A.
atp-2,0.441656383466544,,,atp-2,WBGene00000229,Public name for WBGene00000229. History: N.A.
Y119D3B.14,0.442884276110708,,,Y119D3B.14,WBGene00022491,Public name for WBGene00022491. History: N.A.
Y66D12A.19,0.443053416966145,,,Y66D12A.19,WBGene00013445,Public name for WBGene00013445. History: N.A.
dylt-1,0.446030843759527,,,dylt-1,WBGene00008764,Public name for WBGene00008764. History: N.A.
D2030.2,0.44953756685089,,,D2030.2,WBGene00008412,Public name for WBGene00008412. History: N.A.
npp-20,0.450649186247729,,,npp-20,WBGene00003806,Public name for WBGene00003806. History: N.A.
Y45G12B.2,0.451150916546834,,,Y45G12B.2,WBGene00021563,Public name for WBGene00021563. History: N.A.
mrps-14,0.451188745576507,,,mrps-14,WBGene00011334,Public name for WBGene00011334. History: N.A.
W10G11.19,0.451721970676797,,,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
mrpl-55,0.452538628334294,,,mrpl-55,WBGene00022045,Public name for WBGene00022045. History: N.A.
plp-1,0.453075709761232,,,plp-1,WBGene00004046,Public name for WBGene00004046. History: N.A.
rsr-1,0.453146494005192,,,rsr-1,WBGene00004706,Public name for WBGene00004706. History: N.A.
Y75B8A.8,0.453265489936971,,,Y75B8A.8,WBGene00013545,Public name for WBGene00013545. History: N.A.
tom-1,0.456391581383612,,,tom-1,WBGene00006594,Public name for WBGene00006594. History: Renamed on 2006-02-01
sca-1,0.456555736383744,,,sca-1,WBGene00004736,Public name for WBGene00004736. History: N.A.
ced-2,0.457614249087067,,,ced-2,WBGene00000416,Public name for WBGene00000416. History: N.A.
C30F12.5,0.460133033223782,,,C30F12.5,WBGene00016264,Public name for WBGene00016264. History: N.A.
cif-1,0.460331039168575,,,cif-1,WBGene00019543,Public name for WBGene00019543. History: N.A.
F54D5.9,0.460523301134616,,,F54D5.9,WBGene00010053,Public name for WBGene00010053. History: N.A.
rnr-1,0.461131188603454,,,rnr-1,WBGene00004391,Public name for WBGene00004391. History: N.A.
pod-2,0.462213374113936,,,pod-2,WBGene00004076,Public name for WBGene00004076. History: N.A.
rga-1,0.462350893514558,,,rga-1,WBGene00012203,Public name for WBGene00012203. History: N.A.
F13B12.6,0.465931293352993,,,F13B12.6,WBGene00008733,Public name for WBGene00008733. History: N.A.
F09E5.3,0.465975471629571,,,F09E5.3,WBGene00017283,Public name for WBGene00017283. History: N.A.
