# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
F37H8.2,chrII,-,11171665,11175402,74,33,-2.2,0.0032,Antisense,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
F39B2.8,chrI,-,14760630,14768967,22,8,-2.58,0.044,Antisense,F39B2.8,WBGene00009558,Public name for WBGene00009558. History: N.A.
F41G3.12,chrII,-,6760622,6775114,27,8,-3.12,0.012,Antisense,F41G3.12,WBGene00018304,Sequence name for WBGene00018304(agr-1). History: N.A.
F42A10.2,chrIII,+,6159823,6164518,37,20,-1.81,0.032,Antisense,F42A10.2,WBGene00003593,Sequence name for WBGene00003593(nfm-1). History: N.A.
F42G8.4,chrIV,+,8140226,8142781,12,1,-6.66,0.0067,Antisense,F42G8.4,WBGene00004057,Sequence name for WBGene00004057(pmk-3). History: N.A.
F43C11.6,chrII,+,2342150,2343866,17,4,-3.65,0.012,Antisense,F43C11.6,WBGene00018383,Public name for WBGene00018383. History: N.A.
F44E5.2,chrII,+,11766687,11773955,32,17,-1.84,0.04,Antisense,F44E5.2,WBGene00009689,"Public name for WBGene00009689. History: Split into F44E5.15(WBGene00206377). History of WBGene00009689: Split into ""WBGene00206377"" on 2010-12-13"
F44F1.7,chrI,+,13269982,13272771,15,3,-3.95,0.015,Antisense,F44F1.7,WBGene00006902,"Sequence name for WBGene00006902(vet-6). History: N.A.. Public name for Dead gene WBGene00009699. History of WBGene00009699: Merged into ""WBGene00006902"" on 2004-07-16"
F45D11.10,chrII,+,988742,991080,17,2,-6.09,0.0022,Antisense,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
F46F2.4,chrX,+,15257517,15258932,49,24,-2.01,0.0067,Antisense,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
F47G3.2,chrX,+,2382685,2384270,32,10,-3.0,0.0027,Antisense,F47G3.2,WBGene00018577,Sequence name for WBGene00018577(asna-2). History: N.A.
F48A11.1,chrII,+,203458,211920,10,0,-10.86,0.0054,Antisense,F48A11.1,WBGene00000497,Sequence name for WBGene00000497(chs-2). History: N.A.
F48G7.4,chrV,+,620216,621504,17,5,-3.04,0.022,Antisense,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
F49F1.8,chrIV,-,4130495,4134624,52,27,-1.88,0.036,Antisense,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
F52C12.4,chrIV,+,1923569,1946202,32,7,-4.13,0.00043,Antisense,F52C12.4,WBGene00018681,Sequence name for WBGene00018681(denn-4). History: N.A.
F52G3.3,chrX,-,16944793,16947943,7,0,-8.4,0.028,Antisense,F52G3.3,WBGene00018711,Public name for WBGene00018711. History: N.A.
F53F4.4,chrV,+,13594073,13598251,27,11,-2.34,0.018,Antisense,F53F4.4,WBGene00009988,Public name for WBGene00009988. History: N.A.
F53F8.6,chrV,+,20704115,20705182,47,5,-7.97,1.6e-07,Antisense,F53F8.6,WBGene00010003,Public name for WBGene00010003. History: N.A.
F53G12.4,chrI,+,134336,137282,27,11,-2.34,0.018,Antisense,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
F54B11.6,chrX,+,13598391,13599596,12,1,-6.66,0.0067,Antisense,F54B11.6,WBGene00000262,"Sequence name for WBGene00000262(bra-1). History: N.A.. Public name for Dead gene WBGene00010029. History of WBGene00010029: Merged into ""WBGene00000262"" on 2005-05-06"
F54E7.7,chrIII,-,5682296,5684049,22,2,-7.73,0.00066,Antisense,F54E7.7,WBGene00004321,Sequence name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
F54F2.2,chrIII,+,8793305,8805532,49,27,-1.8,0.016,Antisense,F54F2.2,WBGene00006975,Sequence name for WBGene00006975(zfp-1). History: N.A.
F55A3.5,chrI,-,10781962,10782879,22,8,-2.58,0.044,Antisense,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
F55D10.3,chrX,+,4712249,4715049,25,9,-2.57,0.016,Antisense,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
F58A4.7,chrIII,+,9622044,9626450,96,32,-2.94,6.6e-07,Antisense,F58A4.7,WBGene00001955,Sequence name for WBGene00001955(hlh-11). History: N.A.
F58D5.3,chrI,+,12069795,12072868,131,30,-4.25,2.7e-12,Antisense,F58D5.3,WBGene00010243,Public name for WBGene00010243. History: N.A.
F59C12.4,chrX,-,16602361,16602634,30,12,-2.35,0.035,Antisense,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
F59D12.2,chrX,-,15672769,15675644,71,8,-8.05,2.6e-09,Antisense,F59D12.2,WBGene00010330,Public name for WBGene00010330. History: N.A.
H04D03.1,chrIII,+,10436495,10437676,15,2,-5.26,0.0065,Antisense,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
H35N09.2,chrX,-,8603463,8606162,20,6,-2.96,0.035,Antisense,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
K02F3.4,chrIII,+,834451,835600,71,39,-1.81,0.0039,Antisense,K02F3.4,WBGene00019327,Sequence name for WBGene00019327(zip-2). History: N.A.
K03E5.1,chrI,+,3429604,3433094,20,8,-2.3,0.042,Antisense,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
K05C4.8,chrI,+,14732412,14733536,12,2,-4.44,0.018,Antisense,K05C4.8,WBGene00010584,Public name for WBGene00010584. History: N.A.
K05F6.9,chrII,-,1570087,1571133,17,2,-6.09,0.0047,Antisense,K05F6.9,WBGene00019420,Sequence name for WBGene00019420(fbxb-46). History: N.A.
K06A5.8,chrI,-,6476754,6488948,39,8,-4.49,0.00028,Antisense,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
K08A2.1,chrII,+,2998683,3000545,62,21,-2.85,8.3e-05,Antisense,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
K08B4.5,chrIV,-,6086332,6089387,136,57,-2.35,2.9e-05,Antisense,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
K08D10.12,chrIV,+,4178455,4179518,20,3,-5.18,0.0021,Antisense,K08D10.12,WBGene00019535,Sequence name for WBGene00019535(tsen-34). History: N.A.
K08D12.2,chrIV,+,1711276,1714177,91,65,-1.4,0.026,Antisense,K08D12.2,WBGene00019536,Sequence name for WBGene00019536(rpi-2). History: N.A.
K08F11.1,chrIV,+,4724852,4725304,52,6,-7.54,5.9e-08,Antisense,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
K09H11.11,chrV,-,5754653,5755542,86,41,-2.08,0.0031,Antisense,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
K10F12.3,chrIII,+,365947,377550,20,7,-2.59,0.028,Antisense,K10F12.3,WBGene00004045,Sequence name for WBGene00004045(pll-1). History: N.A.
M03A1.1,chrII,+,4571987,4590900,12,2,-4.44,0.018,Antisense,M03A1.1,WBGene00006868,Sequence name for WBGene00006868(vab-1). History: N.A.
M04G12.4,chrV,-,13386054,13391375,20,5,-3.45,0.02,Antisense,M04G12.4,WBGene00010868,Sequence name for WBGene00010868(somi-1). History: N.A.
M05D6.7,chrII,+,8485868,8487440,25,9,-2.57,0.016,Antisense,M05D6.7,WBGene00001523,Sequence name for WBGene00001523(gbh-2). History: N.A.
M163.3,chrX,+,14490027,14491032,247,189,-1.3,0.0028,Antisense,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
M88.6,chrIII,+,4562704,4566240,30,13,-2.18,0.02,Antisense,M88.6,WBGene00003915,Sequence name for WBGene00003915(pan-1). History: N.A.
R02D5.1,chrV,+,14508230,14509620,81,34,-2.35,8.9e-05,Antisense,R02D5.1,WBGene00010976,Public name for WBGene00010976. History: N.A.
R06A10.2,chrI,+,1068997,1074345,71,22,-3.15,7e-06,Antisense,R06A10.2,WBGene00001745,Sequence name for WBGene00001745(gsa-1). History: N.A.
R06A4.6,chrII,+,14381529,14383212,62,25,-2.41,0.00046,Antisense,R06A4.6,WBGene00011049,Sequence name for WBGene00011049(sdz-26). History: N.A.
R09G11.2,chrX,+,17518363,17528106,35,12,-2.73,0.0034,Antisense,R09G11.2,WBGene00003600,Sequence name for WBGene00003600(nhr-1). History: N.A.
R09H3.3,chrX,-,1667163,1668076,30,13,-2.18,0.05,Antisense,R09H3.3,WBGene00019991,Public name for WBGene00019991. History: N.A.
R13A1.10,chrIV,-,7225398,7226606,25,9,-2.57,0.036,Antisense,R13A1.10,WBGene00044504,Public name for WBGene00044504. History: N.A.
R13H8.1,chrI,+,10750620,10776665,42,24,-1.72,0.032,Antisense,R13H8.1,WBGene00000912,Sequence name for WBGene00000912(daf-16). History: N.A.
T01A4.3,chrI,+,4463854,4466904,123,57,-2.14,1.1e-05,Antisense,T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
T03F6.3,chrIII,+,13389286,13390737,10,0,-10.86,0.0054,Antisense,T03F6.3,WBGene00011399,Public name for WBGene00011399. History: N.A.
T04C10.4,chrX,-,14809079,14810770,20,4,-4.14,0.011,Antisense,T04C10.4,WBGene00000221,"Sequence name for WBGene00000221(atf-4). History: Split into T04C10.11(WBGene00303075). History of WBGene00000221: Split into ""WBGene00303075"" on 2018-03-02; Renamed on 2019-07-15"
T05F1.13,chrI,+,9650556,9652804,25,3,-6.41,0.00026,Antisense,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
T08H10.4,chrV,-,4480417,4481532,7,0,-8.4,0.028,Antisense,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
T11F9.18,chrV,+,11485834,11488231,32,17,-1.84,0.04,Antisense,T11F9.18,WBGene00005227,Sequence name for WBGene00005227(srh-1). History: N.A.
T12G3.1,chrIV,+,12034252,12036691,173,139,-1.24,0.023,Antisense,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
T16G12.8,chrIII,+,10059195,10061813,15,3,-3.95,0.015,Antisense,T16G12.8,WBGene00011809,"Public name for WBGene00011809. History: Split into T16G12.13(WBGene00306001). History of WBGene00011809: Split into ""WBGene00306001"" on 2020-01-21"
T20D4.6,chrV,+,3410517,3412835,7,0,-8.4,0.02,Antisense,T20D4.6,WBGene00020612,Sequence name for WBGene00020612(arrd-22). History: N.A.
T21C12.1,chrIII,+,10520685,10532582,76,44,-1.72,0.0052,Antisense,T21C12.1,WBGene00006784,Sequence name for WBGene00006784(unc-49). History: N.A.
T22A3.8,chrI,+,10608454,10621417,30,10,-2.78,0.0058,Antisense,T22A3.8,WBGene00002248,Sequence name for WBGene00002248(lam-3). History: N.A.
T22B2.5,chrX,-,3909806,3911360,47,16,-2.81,0.0029,Antisense,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
T22C1.10,chrI,+,7962058,7972420,20,4,-4.14,0.0048,Antisense,T22C1.10,WBGene00004318,Sequence name for WBGene00004318(rbg-2). History: N.A.
T23G5.6,chrIII,+,9240276,9242404,30,108,-0.28,3.7e-06,Antisense,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
T24H10.5,chrII,+,9102628,9105370,64,45,-1.42,0.049,Antisense,T24H10.5,WBGene00012003,Public name for WBGene00012003. History: N.A.
T27B7.6,chrV,+,2281875,2284955,17,3,-4.56,0.0057,Antisense,T27B7.6,WBGene00020852,Sequence name for WBGene00020852(nhr-228). History: N.A.
W03D8.7,chrI,+,2796383,2797262,27,9,-2.81,0.0075,Antisense,W03D8.7,WBGene00020988,Public name for WBGene00020988. History: N.A.
W03G9.3,chrI,+,4959397,4961520,25,8,-2.85,0.0098,Antisense,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
W04A8.6,chrI,+,13853065,13859538,101,37,-2.69,1.6e-06,Antisense,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
W05F2.4,chrI,-,3374790,3402865,86,31,-2.73,0.00011,Antisense,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
W08F4.9,chrII,-,582108,582747,27,10,-2.56,0.03,Antisense,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
Y111B2A.13,chrIII,+,12624645,12625768,62,31,-1.96,0.0035,Antisense,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
Y119D3B.8,chrIII,+,1239273,1242728,7,0,-8.4,0.02,Antisense,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
Y16E11A.1,chrII,+,1987285,1990536,10,0,-10.86,0.0054,Antisense,Y16E11A.1,WBGene00021193,"Sequence name for WBGene00021193(math-44). History: Split into Y16E11A.4(WBGene00305158). History of WBGene00021193: Split into ""WBGene00305158"" on 2019-11-21"
Y18D10A.25,chrI,+,12916429,12918052,141,65,-2.14,2.7e-06,Antisense,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
Y23H5A.1,chrI,+,2629685,2632312,138,86,-1.6,0.0009,Antisense,Y23H5A.1,WBGene00000801,Sequence name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
Y23H5A.4,chrI,+,2617560,2620350,37,8,-4.22,0.00015,Antisense,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
Y23H5B.3,chrI,+,2544773,2546154,35,6,-5.07,7.6e-05,Antisense,Y23H5B.3,WBGene00021274,Public name for WBGene00021274. History: N.A.
Y32G9A.2,chrV,+,1920547,1921029,30,11,-2.55,0.0092,Antisense,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
Y38C1AA.12,chrIV,+,192264,194737,27,12,-2.16,0.027,Antisense,Y38C1AA.12,WBGene00021402,Public name for WBGene00021402. History: N.A.
Y38H6C.5,chrV,+,20501026,20505395,44,21,-2.06,0.0081,Antisense,Y38H6C.5,WBGene00012618,Sequence name for WBGene00012618(dct-10). History: N.A.
Y39A3CL.6,chrIII,-,1821188,1824103,7,0,-8.4,0.028,Antisense,Y39A3CL.6,WBGene00004249,Sequence name for WBGene00004249(pvf-1). History: N.A.
Y39C12A.9,chrIV,-,12257663,12259162,15,2,-5.26,0.012,Antisense,Y39C12A.9,WBGene00012710,Public name for WBGene00012710. History: N.A.
Y39E4B.6,chrIII,+,13070639,13074580,30,9,-3.06,0.0035,Antisense,Y39E4B.6,WBGene00012717,Public name for WBGene00012717. History: N.A.
Y39E4B.8,chrIII,+,13119696,13133756,30,5,-5.1,0.00023,Antisense,Y39E4B.8,WBGene00006985,Sequence name for WBGene00006985(zig-8). History: N.A.
Y40B10A.2,chrV,+,2057628,2061130,25,12,-1.97,0.049,Antisense,Y40B10A.2,WBGene00021487,Sequence name for WBGene00021487(comt-3). History: N.A.
Y41D4A.3,chrIV,+,1754752,1755749,12,3,-3.33,0.038,Antisense,Y41D4A.3,WBGene00021505,Public name for WBGene00021505. History: N.A.
Y44E3A.1,chrI,+,3338367,3340026,10,2,-3.62,0.049,Antisense,Y44E3A.1,WBGene00021547,Public name for WBGene00021547. History: N.A.
Y45F10A.3,chrIV,+,13512113,13513363,25,9,-2.57,0.016,Antisense,Y45F10A.3,WBGene00012866,Sequence name for WBGene00012866(afmd-2). History: N.A.
Y46H3C.6,chrV,-,1697891,1699718,84,37,-2.23,0.0016,Antisense,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
Y47D3A.23,chrIII,-,11279635,11290462,37,17,-2.11,0.038,Antisense,Y47D3A.23,WBGene00012934,Sequence name for WBGene00012934(gly-9). History: Renamed on 2005-09-28
Y47H10A.5,chrI,-,12095785,12097929,99,29,-3.32,2.1e-06,Antisense,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
Y48C3A.11,chrII,-,13340673,13347792,32,13,-2.36,0.029,Antisense,Y48C3A.11,WBGene00012993,Sequence name for WBGene00012993(dmsr-3). History: N.A.
Y48E1B.13,chrII,+,13601111,13604965,296,138,-2.14,1.9e-11,Antisense,Y48E1B.13,WBGene00000819,Sequence name for WBGene00000819(csp-1). History: N.A.
Y48G1BM.8,chrI,-,248623,251580,86,44,-1.94,0.0066,Antisense,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
Y48G1C.5,chrI,-,55315,64021,35,14,-2.37,0.024,Antisense,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
Y48G9A.6,chrIII,+,2117829,2119079,12,3,-3.33,0.038,Antisense,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
Y49E10.17,chrIII,+,12436431,12440936,247,143,-1.72,1.4e-06,Antisense,Y49E10.17,WBGene00013036,Sequence name for WBGene00013036(fbxa-218). History: N.A.
Y49F6C.4,chrII,+,3375137,3376709,10,2,-3.62,0.049,Antisense,Y49F6C.4,WBGene00021726,Sequence name for WBGene00021726(bath-10). History: N.A.
Y49F6C.5,chrII,+,3371304,3372140,42,12,-3.3,0.00034,Antisense,Y49F6C.5,WBGene00021727,Sequence name for WBGene00021727(bath-23). History: N.A.
Y50D4A.5,chrV,+,1207310,1207778,10,1,-5.43,0.021,Antisense,Y50D4A.5,WBGene00021739,Public name for WBGene00021739. History: N.A.
Y53F4B.6,chrII,+,14985601,14986694,27,3,-7.03,8.8e-05,Antisense,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
Y53G8AM.8,chrIII,-,3267295,3278648,17,0,-18.26,0.00024,Antisense,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
Y54E10A.17,chrI,+,3206804,3209213,30,14,-2.04,0.028,Antisense,Y54E10A.17,WBGene00021835,Public name for WBGene00021835. History: N.A.
Y54G11A.14,chrII,+,14318059,14320819,62,28,-2.16,0.0014,Antisense,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
Y54G2A.19,chrIV,-,2894166,2894705,54,18,-2.91,0.0011,Antisense,Y54G2A.19,WBGene00021884,Public name for WBGene00021884. History: N.A.
Y54G2A.29,chrIV,-,3023407,3028939,47,16,-2.81,0.0029,Antisense,Y54G2A.29,WBGene00021893,Sequence name for WBGene00021893(ndnf-1). History: N.A.
Y55F3BR.2,chrIV,+,858929,874529,79,35,-2.22,0.00023,Antisense,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y56A3A.15,chrIII,+,11908848,11909770,17,1,-9.13,0.00065,Antisense,Y56A3A.15,WBGene00013234,Sequence name for WBGene00013234(fbxb-24). History: N.A.
Y56A3A.5,chrIII,-,11886396,11892853,44,7,-5.67,2.3e-05,Antisense,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
Y57G11C.33,chrIV,+,14657044,14658071,47,25,-1.84,0.015,Antisense,Y57G11C.33,WBGene00013323,Public name for WBGene00013323. History: N.A.
Y59A8B.20,chrV,-,17995316,18001325,12,1,-6.66,0.012,Antisense,Y59A8B.20,WBGene00013352,Sequence name for WBGene00013352(lon-8). History: N.A.
Y65B4BL.7,chrI,-,509067,510840,15,3,-3.95,0.027,Antisense,Y65B4BL.7,WBGene00022039,Public name for WBGene00022039. History: N.A.
Y67D8C.6,chrIV,-,3062519,3063362,54,19,-2.76,0.0017,Antisense,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
Y6D1A.2,chrII,-,11817469,11819764,17,5,-3.04,0.042,Antisense,Y6D1A.2,WBGene00012396,Public name for WBGene00012396. History: N.A.
Y71A12B.10,chrI,+,13957185,13960427,106,64,-1.65,0.0022,Antisense,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
Y71A12B.11,chrI,+,13978416,13980110,42,17,-2.38,0.0036,Antisense,Y71A12B.11,WBGene00013508,Public name for WBGene00013508. History: N.A.
Y71A12B.17,chrI,+,13984294,13989575,123,32,-3.77,1.3e-10,Antisense,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
Y71D11A.1,chrIII,+,1152031,1180880,175,111,-1.57,0.0003,Antisense,Y71D11A.1,WBGene00022103,Sequence name for WBGene00022103(cdh-12). History: N.A.
Y71F9B.8,chrI,-,2735345,2742509,79,38,-2.05,0.0052,Antisense,Y71F9B.8,WBGene00022129,Sequence name for WBGene00022129(lron-11). History: N.A.
Y71H2B.11,chrIII,+,2605218,2606489,35,10,-3.23,0.0012,Antisense,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
Y73C8C.3,chrV,+,3115301,3118127,7,0,-8.4,0.02,Antisense,Y73C8C.3,WBGene00022262,Public name for WBGene00022262. History: N.A.
Y73E7A.8,chrI,+,1634740,1644103,35,14,-2.37,0.0081,Antisense,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
Y75B8A.19,chrIII,+,12226430,12231998,35,9,-3.55,0.00068,Antisense,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
Y77E11A.10,chrIV,-,1429564,1434983,22,4,-4.64,0.0046,Antisense,Y77E11A.10,WBGene00000546,"Sequence name for WBGene00000546(clp-6). History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
Y77E11A.3,chrIV,+,1446402,1448315,222,62,-3.54,9.3e-17,Antisense,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
Y82E9BR.21,chrIII,+,1404781,1406220,12,1,-6.66,0.0067,Antisense,Y82E9BR.21,WBGene00022353,Sequence name for WBGene00022353(pals-18). History: N.A.
Y87G2A.14,chrI,+,13503032,13506959,30,10,-2.78,0.0058,Antisense,Y87G2A.14,WBGene00003585,Sequence name for WBGene00003585(ndx-8). History: N.A.
Y94H6A.10,chrIV,-,2709981,2710667,69,29,-2.33,0.0024,Antisense,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
Y95B8A.4,chrI,+,907465,911135,15,4,-3.16,0.029,Antisense,Y95B8A.4,WBGene00022385,Public name for WBGene00022385. History: N.A.
ZC21.10,chrIII,+,8529991,8531034,20,7,-2.59,0.028,Antisense,ZC21.10,WBGene00044443,Public name for WBGene00044443. History: N.A.
ZC247.1,chrI,-,10264307,10279224,7,0,-8.4,0.028,Antisense,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
ZC53.6,chrX,+,1917463,1919704,128,49,-2.58,1.7e-07,Antisense,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
ZK1128.7,chrIII,+,10136965,10138876,20,2,-6.91,0.00074,Antisense,ZK1128.7,WBGene00014233,Public name for WBGene00014233. History: N.A.
ZK1307.9,chrII,+,9649412,9650814,12,3,-3.33,0.038,Antisense,ZK1307.9,WBGene00014250,Public name for WBGene00014250. History: N.A.
ZK185.2,chrIV,+,4536545,4541764,530,180,-2.93,1.7999999999999998e-30,Antisense,ZK185.2,WBGene00022682,Public name for WBGene00022682. History: N.A.
ZK262.9,chrV,+,18440542,18441305,22,5,-3.86,0.0039,Antisense,ZK262.9,WBGene00013954,Public name for WBGene00013954. History: N.A.
ZK355.2,chrII,+,2923912,2926518,49,15,-3.14,0.00017,Antisense,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
ZK418.7,chrIII,-,7079006,7080718,27,3,-7.03,0.00029,Antisense,ZK418.7,WBGene00022736,Public name for WBGene00022736. History: N.A.
ZK909.3,chrI,+,14953481,14955400,12,3,-3.33,0.038,Antisense,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
ZK909.4,chrI,+,14961508,14965342,7,0,-8.4,0.02,Antisense,ZK909.4,WBGene00000469,Sequence name for WBGene00000469(ces-2). History: N.A.
C14B9.4,chrIII,+,8101273,8104002,64,42,-1.51,0.029,Antisense,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
C18G1.4,chrV,+,4755970,4758569,57,28,-1.99,0.0043,Antisense,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
C35D6.3,chrIV,+,16347127,16347390,7,0,-8.4,0.02,Antisense,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
C36B1.10,chrI,-,8749658,8751362,7,25,-0.32,0.014,Antisense,C36B1.10,WBGene00007977,Sequence name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
C38C3.5,chrV,+,1475072,1479582,17,59,-0.3,0.00097,Antisense,C38C3.5,WBGene00006794,"Sequence name for WBGene00006794(unc-60). History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
E01G4.5,chrII,+,13472338,13473831,62,0,-62.63,6.3e-15,Antisense,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
F11A10.6,chrIV,-,12086675,12089070,52,18,-2.78,0.002,Antisense,F11A10.6,WBGene00008687,Public name for WBGene00008687. History: N.A.
F13D12.4,chrII,+,11728864,11731137,35,18,-1.87,0.031,Antisense,F13D12.4,WBGene00000114,Sequence name for WBGene00000114(alh-8). History: N.A.
F26F4.2,chrIII,+,4911223,4914093,17,6,-2.61,0.037,Antisense,F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
F31A9.4,chrX,+,1779433,1780523,7,0,-8.4,0.02,Antisense,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
F43G9.9,chrI,-,8636365,8637116,7,0,-8.4,0.028,Antisense,F43G9.9,WBGene00000777,Sequence name for WBGene00000777(cpn-1). History: N.A.
F52D2.6,chrX,+,1974907,1980932,44,4,-9.07,1.3e-07,Antisense,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
F52D2.8,chrX,+,1983708,1984828,7,0,-8.4,0.02,Antisense,F52D2.8,WBGene00018690,Sequence name for WBGene00018690(fbxa-46). History: N.A.
H20J04.1,chrII,+,4355627,4358810,25,95,-0.27,8.1e-06,Antisense,H20J04.1,WBGene00019216,Public name for WBGene00019216. History: N.A.
