Ubiquitous genes,Input,Suggested Match,History
F28B3.1,F28B3.1,WBGene00017885,"Public name for Dead gene WBGene00017882. History of WBGene00017882: Merged into ""WBGene00017885"" on 2014-05-28"
F28B3.10,F28B3.10,WBGene00017889,Public name for WBGene00017889. History: N.A.
F28B3.6,F28B3.6,WBGene00017887,Public name for WBGene00017887. History: N.A.
F28B3.7,F28B3.7,WBGene00001860,Sequence name for WBGene00001860(him-1). History: N.A.
F28B4.2,F28B4.2,WBGene00017891,Sequence name for WBGene00017891(rgl-1). History: N.A.
F28C1.3,F28C1.3,WBGene00009201,Public name for WBGene00009201. History: N.A.
F28C10.3,F28C10.3,WBGene00017898,Public name for WBGene00017898. History: N.A.
F28C6.3,F28C6.3,WBGene00000773,Sequence name for WBGene00000773(cpf-1). History: N.A.
F28C6.4,F28C6.4,WBGene00009204,Sequence name for WBGene00009204(pigg-1). History: N.A.
F28C6.7,F28C6.7,WBGene00004440,Sequence name for WBGene00004440(rpl-26). History: N.A.
F28D1.1,F28D1.1,WBGene00009211,Sequence name for WBGene00009211(wdr-46). History: N.A.
F28D9.1,F28D9.1,WBGene00004706,Sequence name for WBGene00004706(rsr-1). History: N.A.
F28F8.3,F28F8.3,WBGene00003079,Sequence name for WBGene00003079(lsm-5). History: N.A.
F28F8.5,F28F8.5,WBGene00009223,Sequence name for WBGene00009223(mdt-28). History: N.A.
F28F8.9,F28F8.9,WBGene00044188,Public name for WBGene00044188. History: N.A.
F28H1.3,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
F28H6.4,F28H6.4,WBGene00009233,Public name for WBGene00009233. History: N.A.
F29B9.1,F29B9.1,WBGene00017919,Public name for WBGene00017919. History: N.A.
F29B9.10,F29B9.10,WBGene00017924,Sequence name for WBGene00017924(mrps-21). History: N.A.
F29B9.11,F29B9.11,WBGene00017925,Public name for WBGene00017925. History: N.A.
F29B9.2,F29B9.2,WBGene00017920,Sequence name for WBGene00017920(jmjd-1.2). History: N.A.
F29B9.5,F29B9.5,WBGene00017921,Public name for WBGene00017921. History: N.A.
F29B9.6,F29B9.6,WBGene00006706,Sequence name for WBGene00006706(ubc-9). History: N.A.
F29C12.4,F29C12.4,WBGene00009246,Sequence name for WBGene00009246(gfm-1). History: N.A.
F29C4.2,F29C4.2,WBGene00017926,Sequence name for WBGene00017926(cox-6C). History: N.A.
F29C4.7,F29C4.7,WBGene00017929,Sequence name for WBGene00017929(grld-1). History: N.A.
F29D11.2,F29D11.2,WBGene00009254,Sequence name for WBGene00009254(capg-1). History: N.A.
F29F11.1,F29F11.1,WBGene00005022,Sequence name for WBGene00005022(sqv-4). History: N.A.
F29F11.3,F29F11.3,WBGene00009256,Sequence name for WBGene00009256(tut-2). History: N.A.
F29F11.6,F29F11.6,WBGene00001747,Sequence name for WBGene00001747(gsp-1). History: N.A.
F29G9.2,F29G9.2,WBGene00017931,Sequence name for WBGene00017931(picc-1). History: N.A.
F30A10.1,F30A10.1,WBGene00009260,Sequence name for WBGene00009260(calm-1). History: N.A.
F30A10.6,F30A10.6,WBGene00009264,Sequence name for WBGene00009264(sac-1). History: N.A.
F30A10.8,F30A10.8,WBGene00006062,Sequence name for WBGene00006062(stn-1). History: N.A.
F30A10.9,F30A10.9,WBGene00009266,Public name for WBGene00009266. History: N.A.
F30F8.8,F30F8.8,WBGene00006386,Sequence name for WBGene00006386(taf-5). History: N.A.
F30H5.1,F30H5.1,WBGene00006781,Sequence name for WBGene00006781(unc-45). History: N.A.
F31A3.5,F31A3.5,WBGene00017939,Public name for WBGene00017939. History: N.A.
F31C3.1,F31C3.1,WBGene00000881,Sequence name for WBGene00000881(cyn-5). History: N.A.
F31D4.2,F31D4.2,WBGene00009290,Public name for WBGene00009290. History: N.A.
F31D4.8,F31D4.8,WBGene00009293,Public name for WBGene00009293. History: N.A.
F31D4.9,F31D4.9,WBGene00009294,Public name for WBGene00009294. History: N.A.
F31E3.3,F31E3.3,WBGene00004340,Sequence name for WBGene00004340(rfc-4). History: N.A.
F31E3.4,F31E3.4,WBGene00017951,Sequence name for WBGene00017951(panl-2). History: N.A.
F32A5.4,F32A5.4,WBGene00017970,Public name for WBGene00017970. History: N.A.
F32A5.7,F32A5.7,WBGene00003078,Sequence name for WBGene00003078(lsm-4). History: N.A.
F32B5.8,F32B5.8,WBGene00000788,Sequence name for WBGene00000788(cpz-1). History: N.A.
F32B6.3,F32B6.3,WBGene00009320,Sequence name for WBGene00009320(prp-18). History: N.A.
F32B6.8,F32B6.8,WBGene00009322,Sequence name for WBGene00009322(tbc-3). History: N.A.
F32D1.10,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
F32D1.5,F32D1.5,WBGene00017984,Sequence name for WBGene00017984(gmpr-1). History: N.A.
F32D1.9,F32D1.9,WBGene00017988,Sequence name for WBGene00017988(fipp-1). History: N.A.
F32D8.14,F32D8.14,WBGene00009336,Public name for WBGene00009336. History: N.A.
F32D8.5,F32D8.5,WBGene00009330,Public name for WBGene00009330. History: N.A.
F32D8.6,F32D8.6,WBGene00001303,Sequence name for WBGene00001303(sec-61.G). History: Renamed on 2019-05-20
F32E10.1,F32E10.1,WBGene00017989,Sequence name for WBGene00017989(nol-10). History: N.A.
F32E10.2,F32E10.2,WBGene00017990,Sequence name for WBGene00017990(cec-4). History: N.A.
F32E10.4,F32E10.4,WBGene00002074,Sequence name for WBGene00002074(ima-3). History: N.A.
F32E10.6,F32E10.6,WBGene00017993,Sequence name for WBGene00017993(cec-5). History: N.A.
F32H2.1,F32H2.1,WBGene00001568,Sequence name for WBGene00001568(snpc-4). History: Renamed on 2013-07-04
F32H2.2,F32H2.2,WBGene00007026,Sequence name for WBGene00007026(mdt-31). History: N.A.
F32H2.4,F32H2.4,WBGene00009341,Sequence name for WBGene00009341(thoc-3). History: N.A.
F32H2.5,F32H2.5,WBGene00009342,Sequence name for WBGene00009342(fasn-1). History: Renamed on 2015-03-06
F33A8.1,F33A8.1,WBGene00002957,Sequence name for WBGene00002957(let-858). History: N.A.
F33A8.3,F33A8.3,WBGene00000472,Sequence name for WBGene00000472(cey-1). History: N.A.
F33A8.4,F33A8.4,WBGene00009352,Public name for WBGene00009352. History: N.A.
F33D11.11,F33D11.11,WBGene00018008,Sequence name for WBGene00018008(vpr-1). History: N.A.
F33D4.4,F33D4.4,WBGene00017996,Public name for WBGene00017996. History: N.A.
F33D4.7,F33D4.7,WBGene00017999,Sequence name for WBGene00017999(emc-6). History: N.A.
F33D4.8,F33D4.8,WBGene00023487,Sequence name for WBGene00023487(mrps-24). History: N.A.
F33E11.3,F33E11.3,WBGene00018011,Public name for WBGene00018011. History: N.A.
F33E2.5,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
F33G12.6,F33G12.6,WBGene00018018,Public name for WBGene00018018. History: N.A.
F33H2.3,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
F33H2.7,F33H2.7,WBGene00009370,Sequence name for WBGene00009370(set-10). History: N.A.
F34H10.3,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
F35A5.8,F35A5.8,WBGene00001335,Public name for WBGene00001335. History: Renamed on 2017-04-03
F35C5.6,F35C5.6,WBGene00009394,Sequence name for WBGene00009394(clec-63). History: N.A.
F35D11.5,F35D11.5,WBGene00018046,Sequence name for WBGene00018046(coa-3). History: N.A.
F35D6.1,F35D6.1,WBGene00001411,Sequence name for WBGene00001411(fem-1). History: N.A.
F35G12.10,F35G12.10,WBGene00000206,Sequence name for WBGene00000206(asb-1). History: N.A.
F35G12.11,F35G12.11,WBGene00009444,Sequence name for WBGene00009444(erh-2). History: N.A.
F35G12.12,F35G12.12,WBGene00009445,Public name for WBGene00009445. History: N.A.
F35G12.3,F35G12.3,WBGene00004762,Sequence name for WBGene00004762(sel-5). History: N.A.
F35G12.8,F35G12.8,WBGene00004874,Sequence name for WBGene00004874(smc-4). History: N.A.
F35G12.9,F35G12.9,WBGene00000145,Sequence name for WBGene00000145(apc-11). History: N.A.
F35H12.2,F35H12.2,WBGene00018075,Sequence name for WBGene00018075(tbc-11). History: N.A.
F35H8.6,F35H8.6,WBGene00009450,Sequence name for WBGene00009450(ugt-58). History: N.A.
F36A2.13,F36A2.13,WBGene00009460,Sequence name for WBGene00009460(ubr-5). History: Renamed on 2016-11-04
F36A2.6,F36A2.6,WBGene00004484,Sequence name for WBGene00004484(rps-15). History: N.A.
F36A2.7,F36A2.7,WBGene00009454,Public name for WBGene00009454. History: N.A.
F36A2.9,F36A2.9,WBGene00009456,Public name for WBGene00009456. History: N.A.
F36A4.7,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
F36D4.3,F36D4.3,WBGene00002036,Sequence name for WBGene00002036(hum-2). History: N.A.
F36D4.5,F36D4.5,WBGene00018090,Public name for WBGene00018090. History: N.A.
F36F2.4,F36F2.4,WBGene00009478,Sequence name for WBGene00009478(syx-7). History: Renamed on 2010-04-16
F36F2.6,F36F2.6,WBGene00009479,Sequence name for WBGene00009479(fcp-1). History: N.A.
F36H1.1,F36H1.1,WBGene00001426,Sequence name for WBGene00001426(fkb-1). History: N.A.
F36H1.6,F36H1.6,WBGene00000109,Sequence name for WBGene00000109(alh-3). History: N.A.
F36H2.1,F36H2.1,WBGene00009498,Sequence name for WBGene00009498(tat-5). History: N.A.
F36H2.2,F36H2.2,WBGene00009499,Sequence name for WBGene00009499(ent-6). History: Renamed on 2014-09-03
F36H9.3,F36H9.3,WBGene00000976,Sequence name for WBGene00000976(dhs-13). History: N.A.
F37A4.1,F37A4.1,WBGene00018131,Public name for WBGene00018131. History: N.A.
F37A4.8,F37A4.8,WBGene00002169,Sequence name for WBGene00002169(isw-1). History: N.A.
F37B1.2,F37B1.2,WBGene00001760,Sequence name for WBGene00001760(gst-12). History: N.A.
F37B12.2,F37B12.2,WBGene00001527,Sequence name for WBGene00001527(gcs-1). History: N.A.
F37B4.10,F37B4.10,WBGene00018140,Public name for WBGene00018140. History: N.A.
F37C12.1,F37C12.1,WBGene00018149,Sequence name for WBGene00018149(yju-2). History: N.A.
F37C12.11,F37C12.11,WBGene00004490,Sequence name for WBGene00004490(rps-21). History: N.A.
F37C12.13,F37C12.13,WBGene00018154,Sequence name for WBGene00018154(exos-9). History: N.A.
F37C12.3,F37C12.3,WBGene00018151,Public name for WBGene00018151. History: N.A.
F37C12.4,F37C12.4,WBGene00004450,Sequence name for WBGene00004450(rpl-36). History: N.A.
F37C12.7,F37C12.7,WBGene00018152,Sequence name for WBGene00018152(acs-4). History: N.A.
F37C4.5,F37C4.5,WBGene00018145,Public name for WBGene00018145. History: N.A.
F37D6.1,F37D6.1,WBGene00009507,Sequence name for WBGene00009507(mus-101). History: Renamed on 2015-03-25; Renamed on 2015-03-25
F38A5.13,F38A5.13,WBGene00001029,Sequence name for WBGene00001029(dnj-11). History: N.A.
F38A5.2,F38A5.2,WBGene00018161,Public name for WBGene00018161. History: N.A.
F38E1.7,F38E1.7,WBGene00003395,Sequence name for WBGene00003395(mom-2). History: N.A.
F38E11.5,F38E11.5,WBGene00009542,Sequence name for WBGene00009542(copb-2). History: N.A.
F38E9.5,F38E9.5,WBGene00018187,Sequence name for WBGene00018187(twf-2). History: N.A.
F38H4.9,F38H4.9,WBGene00002363,Sequence name for WBGene00002363(let-92). History: N.A.
F39B1.1,F39B1.1,WBGene00009552,Sequence name for WBGene00009552(piki-1). History: N.A.
F39B2.1,F39B2.1,WBGene00009553,Sequence name for WBGene00009553(hinf-1). History: N.A.
F39B2.10,F39B2.10,WBGene00001030,Sequence name for WBGene00001030(dnj-12). History: N.A.
F39B2.11,F39B2.11,WBGene00009559,Sequence name for WBGene00009559(mtx-1). History: N.A.
F39B2.2,F39B2.2,WBGene00006730,Sequence name for WBGene00006730(uev-1). History: N.A.
F39B2.3,F39B2.3,WBGene00009554,Public name for WBGene00009554. History: N.A.
F39C12.3,F39C12.3,WBGene00006640,Sequence name for WBGene00006640(tsp-14). History: N.A.
F39H11.3,F39H11.3,WBGene00000409,Sequence name for WBGene00000409(cdk-8). History: N.A.
F39H2.3,F39H2.3,WBGene00009563,Public name for WBGene00009563. History: N.A.
F40E10.3,F40E10.3,WBGene00000822,Sequence name for WBGene00000822(csq-1). History: N.A.
F40E10.5,F40E10.5,WBGene00009573,Public name for WBGene00009573. History: N.A.
F40E10.6,F40E10.6,WBGene00009574,Public name for WBGene00009574. History: N.A.
F40F11.1,F40F11.1,WBGene00004480,Sequence name for WBGene00004480(rps-11). History: N.A.
F40F11.4,F40F11.4,WBGene00009589,Public name for WBGene00009589. History: N.A.
F40F12.5,F40F12.5,WBGene00009594,Sequence name for WBGene00009594(cyld-1). History: N.A.
F40F4.3,F40F4.3,WBGene00002253,Sequence name for WBGene00002253(lbp-1). History: N.A.
F40F4.4,F40F4.4,WBGene00002255,Sequence name for WBGene00002255(lbp-3). History: N.A.
F40F4.7,F40F4.7,WBGene00018238,Public name for WBGene00018238. History: N.A.
F40F8.1,F40F8.1,WBGene00009575,Public name for WBGene00009575. History: N.A.
F40F9.1,F40F9.1,WBGene00009580,Sequence name for WBGene00009580(xbx-6). History: N.A.
F40F9.6,F40F9.6,WBGene00009583,Sequence name for WBGene00009583(aagr-3). History: N.A.
F40F9.7,F40F9.7,WBGene00009584,Sequence name for WBGene00009584(drap-1). History: N.A.
F40G9.2,F40G9.2,WBGene00018240,Sequence name for WBGene00018240(cox-17). History: N.A.
F40G9.3,F40G9.3,WBGene00006715,Sequence name for WBGene00006715(ubc-20). History: N.A.
F41B4.3,F41B4.3,WBGene00018259,Public name for WBGene00018259. History: N.A.
F41C6.1,F41C6.1,WBGene00006746,Sequence name for WBGene00006746(unc-6). History: N.A.
F41E6.13,F41E6.13,WBGene00018294,Sequence name for WBGene00018294(atg-18). History: Renamed on 2006-04-27; Renamed on 2007-10-19; Renamed on 2008-02-29
F41E6.2,F41E6.2,WBGene00001694,Sequence name for WBGene00001694(grd-5). History: N.A.
F41E6.4,F41E6.4,WBGene00018285,Sequence name for WBGene00018285(smk-1). History: Renamed on 2007-10-22
F41G3.14,F41G3.14,WBGene00018305,Sequence name for WBGene00018305(exos-8). History: N.A.
F41G4.2,F41G4.2,WBGene00000294,Sequence name for WBGene00000294(cas-1). History: N.A.
F41H10.8,F41H10.8,WBGene00001244,Sequence name for WBGene00001244(elo-6). History: N.A.
F42A10.4,F42A10.4,WBGene00001160,Sequence name for WBGene00001160(efk-1). History: N.A.
F42A6.7,F42A6.7,WBGene00001999,Sequence name for WBGene00001999(hrpa-1). History: Renamed on 2019-11-21
F42A8.2,F42A8.2,WBGene00006433,Sequence name for WBGene00006433(sdhb-1). History: Renamed on 2006-07-19
F42A9.6,F42A9.6,WBGene00018335,Public name for WBGene00018335. History: N.A.
F42C5.8,F42C5.8,WBGene00004477,Sequence name for WBGene00004477(rps-8). History: N.A.
F42E11.2,F42E11.2,WBGene00009632,Sequence name for WBGene00009632(ttyh-1). History: N.A.
F42E11.4,F42E11.4,WBGene00006584,Sequence name for WBGene00006584(tni-1). History: N.A.
F42G8.10,F42G8.10,WBGene00018361,Public name for WBGene00018361. History: N.A.
F42G8.3,F42G8.3,WBGene00004056,Sequence name for WBGene00004056(pmk-2). History: N.A.
F42H10.7,F42H10.7,WBGene00018371,Sequence name for WBGene00018371(ess-2). History: N.A.
F43C1.2,F43C1.2,WBGene00003401,Sequence name for WBGene00003401(mpk-1). History: N.A.
F43C11.9,F43C11.9,WBGene00018386,Sequence name for WBGene00018386(enri-1). History: Renamed on 2020-01-28
F43D2.1,F43D2.1,WBGene00009650,Sequence name for WBGene00009650(ccnk-1). History: N.A.
F43E2.1,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
F43E2.2,F43E2.2,WBGene00018391,Sequence name for WBGene00018391(rpb-4). History: N.A.
F43E2.4,F43E2.4,WBGene00001812,Sequence name for WBGene00001812(haf-2). History: N.A.
F43E2.5,F43E2.5,WBGene00018393,Sequence name for WBGene00018393(msra-1). History: N.A.
F43E2.7,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
F43E2.8,F43E2.8,WBGene00002008,Sequence name for WBGene00002008(hsp-4). History: N.A.
F43G6.9,F43G6.9,WBGene00009661,Sequence name for WBGene00009661(patr-1). History: N.A.
F43G9.1,F43G9.1,WBGene00009664,Sequence name for WBGene00009664(idha-1). History: N.A.
F43G9.3,F43G9.3,WBGene00009666,Sequence name for WBGene00009666(slc-25A42). History: N.A.
F43G9.9,F43G9.9,WBGene00000777,Sequence name for WBGene00000777(cpn-1). History: N.A.
F44A2.1,F44A2.1,WBGene00006499,"Sequence name for WBGene00006499(tag-153). History: N.A.. Public name for Dead gene WBGene00018401. History of WBGene00018401: Merged into ""WBGene00006499"" on 2004-05-28"
F44B9.3,F44B9.3,WBGene00000508,Sequence name for WBGene00000508(cit-1.2). History: N.A.
F44B9.5,F44B9.5,WBGene00018408,Public name for WBGene00018408. History: N.A.
F44B9.6,F44B9.6,WBGene00003021,Sequence name for WBGene00003021(lin-36). History: N.A.
F44B9.8,F44B9.8,WBGene00018409,Public name for WBGene00018409. History: N.A.
F44C4.4,F44C4.4,WBGene00002148,Sequence name for WBGene00002148(gon-14). History: Renamed on 2006-03-22
F44E2.3,F44E2.3,WBGene00018417,Public name for WBGene00018417. History: N.A.
F44E2.6,F44E2.6,WBGene00018419,Public name for WBGene00018419. History: N.A.
F44E2.7,F44E2.7,WBGene00018420,Public name for WBGene00018420. History: N.A.
F44E5.1,F44E5.1,WBGene00009688,Public name for WBGene00009688. History: N.A.
F44E7.4,F44E7.4,WBGene00018426,Public name for WBGene00018426. History: N.A.
F44G3.6,F44G3.6,WBGene00004809,Sequence name for WBGene00004809(skr-3). History: N.A.
F44G4.1,F44G4.1,WBGene00009711,Public name for WBGene00009711. History: N.A.
F44G4.2,F44G4.2,WBGene00009712,Public name for WBGene00009712. History: N.A.
F44G4.4,F44G4.4,WBGene00006514,Sequence name for WBGene00006514(tdp-1). History: Renamed on 2008-11-20
F45C12.7,F45C12.7,WBGene00018438,Sequence name for WBGene00018438(btb-6). History: N.A.
F45D3.5,F45D3.5,WBGene00004759,Sequence name for WBGene00004759(sel-1). History: N.A.
F45E1.6,F45E1.6,WBGene00001945,Sequence name for WBGene00001945(his-71). History: N.A.
F45E12.1,F45E12.1,WBGene00018474,Sequence name for WBGene00018474(cnep-1). History: Renamed on 2013-01-22
F45E12.5,F45E12.5,WBGene00018475,Sequence name for WBGene00018475(mrpl-14). History: N.A.
F45E4.10,F45E4.10,WBGene00001584,Sequence name for WBGene00001584(nrde-4). History: Renamed on 2011-05-17
F45E4.2,F45E4.2,WBGene00004046,Sequence name for WBGene00004046(plp-1). History: N.A.
F45F2.10,F45F2.10,WBGene00018482,Public name for WBGene00018482. History: N.A.
F45F2.9,F45F2.9,WBGene00018481,Public name for WBGene00018481. History: N.A.
F45G2.4,F45G2.4,WBGene00009732,Sequence name for WBGene00009732(cope-1). History: N.A.
F45G2.9,F45G2.9,WBGene00009735,Public name for WBGene00009735. History: N.A.
F46A9.5,F46A9.5,WBGene00004807,Sequence name for WBGene00004807(skr-1). History: N.A.
F46A9.6,F46A9.6,WBGene00003172,Sequence name for WBGene00003172(mec-8). History: N.A.
F46B6.3,F46B6.3,WBGene00004882,Sequence name for WBGene00004882(smg-4). History: N.A.
F46B6.4,F46B6.4,WBGene00009769,Public name for WBGene00009769. History: N.A.
F46B6.6,F46B6.6,WBGene00009771,Public name for WBGene00009771. History: N.A.
F46C3.1,F46C3.1,WBGene00003970,Sequence name for WBGene00003970(pek-1). History: N.A.
F46C5.8,F46C5.8,WBGene00009783,Sequence name for WBGene00009783(rer-1). History: N.A.
F46C5.9,F46C5.9,WBGene00009784,Public name for WBGene00009784. History: N.A.
F46E10.10,F46E10.10,WBGene00018491,Sequence name for WBGene00018491(mdh-1). History: N.A.
F46E10.2,F46E10.2,WBGene00018489,Public name for WBGene00018489. History: N.A.
F46E10.8,F46E10.8,WBGene00006721,Sequence name for WBGene00006721(ubh-1). History: N.A.
F46E10.9,F46E10.9,WBGene00001073,Sequence name for WBGene00001073(dpy-11). History: N.A.
F46F11.4,F46F11.4,WBGene00006726,Sequence name for WBGene00006726(ubl-5). History: N.A.
F46F3.4,F46F3.4,WBGene00000146,Sequence name for WBGene00000146(ape-1). History: N.A.
F46H5.3,F46H5.3,WBGene00018519,Public name for WBGene00018519. History: N.A.
F46H5.7,F46H5.7,WBGene00018522,Public name for WBGene00018522. History: N.A.
F46H6.2,F46H6.2,WBGene00000959,Sequence name for WBGene00000959(dgk-2). History: N.A.
F47A4.5,F47A4.5,WBGene00009801,Sequence name for WBGene00009801(ipla-2). History: N.A.
F47B10.1,F47B10.1,WBGene00009812,Sequence name for WBGene00009812(suca-1). History: N.A.
F47B10.8,F47B10.8,WBGene00009819,Public name for WBGene00009819. History: N.A.
F47B7.2,F47B7.2,WBGene00018533,Public name for WBGene00018533. History: N.A.
F47D12.4,F47D12.4,WBGene00001972,Sequence name for WBGene00001972(hmg-1.2). History: N.A.
F47D12.9,F47D12.9,WBGene00018564,Public name for WBGene00018564. History: N.A.
F47G4.2,F47G4.2,WBGene00009823,Sequence name for WBGene00009823(gadr-6). History: N.A.
F47G4.7,F47G4.7,WBGene00004875,"Sequence name for WBGene00004875(smd-1). History: Split into F47G4.14(WBGene00303058). History of WBGene00004875: Split into ""WBGene00303058"" on 2018-03-02"
F47G6.1,F47G6.1,WBGene00001115,Sequence name for WBGene00001115(dyb-1). History: N.A.
F47G9.1,F47G9.1,WBGene00009829,Sequence name for WBGene00009829(tmed-10). History: N.A.
F47H4.1,F47H4.1,WBGene00009834,Sequence name for WBGene00009834(lsy-27). History: N.A.
F48E3.3,F48E3.3,WBGene00018604,Sequence name for WBGene00018604(uggt-1). History: N.A.
F48E8.5,F48E8.5,WBGene00003901,Sequence name for WBGene00003901(paa-1). History: N.A.
F48F5.5,F48F5.5,WBGene00001406,"Sequence name for WBGene00001406(fce-2). History: Split into F48F5.8(WBGene00303059). History of WBGene00001406: Split into ""WBGene00303059"" on 2018-03-02"
F48F7.1,F48F7.1,WBGene00000105,Sequence name for WBGene00000105(alg-1). History: N.A.
F48F7.6,F48F7.6,WBGene00009851,Public name for WBGene00009851. History: N.A.
F49C12.12,F49C12.12,WBGene00009881,Public name for WBGene00009881. History: Renamed on 2005-03-17
F49C12.13,F49C12.13,WBGene00009882,Sequence name for WBGene00009882(vha-17). History: N.A.
F49C12.8,F49C12.8,WBGene00004463,Sequence name for WBGene00004463(rpn-7). History: N.A.
F49C12.9,F49C12.9,WBGene00009878,Public name for WBGene00009878. History: N.A.
F49E11.1,F49E11.1,WBGene00003150,Sequence name for WBGene00003150(mbk-2). History: N.A.
F49E8.3,F49E8.3,WBGene00003914,Sequence name for WBGene00003914(pam-1). History: Renamed on 2006-10-19
F49E8.5,F49E8.5,WBGene00000996,Sequence name for WBGene00000996(dif-1). History: Renamed on 2016-04-26
F49H12.1,F49H12.1,WBGene00003087,Sequence name for WBGene00003087(lsy-2). History: N.A.
F49H12.6,F49H12.6,WBGene00018657,Sequence name for WBGene00018657(acl-4). History: N.A.
F52A8.1,F52A8.1,WBGene00009915,Public name for WBGene00009915. History: N.A.
F52A8.4,F52A8.4,WBGene00009917,Sequence name for WBGene00009917(glb-18). History: N.A.
F52B11.2,F52B11.2,WBGene00009925,Public name for WBGene00009925. History: N.A.
F52B5.1,F52B5.1,WBGene00009920,Sequence name for WBGene00009920(abts-1). History: N.A.
F52B5.6,F52B5.6,WBGene00004439,Sequence name for WBGene00004439(rpl-25.2). History: N.A.
F52C9.1,F52C9.1,WBGene00018672,Sequence name for WBGene00018672(sorf-2). History: Renamed on 2016-01-19
F52C9.7,F52C9.7,WBGene00003391,"Sequence name for WBGene00003391(mog-3). History: N.A.. Public name for Dead gene WBGene00018677. History of WBGene00018677: Merged into ""WBGene00003391"" on 2012-08-14"
F52C9.8,F52C9.8,WBGene00004095,Sequence name for WBGene00004095(pqe-1). History: N.A.
F52D10.2,F52D10.2,WBGene00009930,Public name for WBGene00009930. History: N.A.
F52D10.3,F52D10.3,WBGene00001502,Sequence name for WBGene00001502(ftt-2). History: N.A.
F52E1.13,F52E1.13,WBGene00018700,Sequence name for WBGene00018700(lmd-3). History: Renamed on 2014-08-08
F52E4.1,F52E4.1,WBGene00018701,Sequence name for WBGene00018701(pccb-1). History: N.A.
F52E4.5,F52E4.5,WBGene00018702,Public name for WBGene00018702. History: N.A.
F52F12.3,F52F12.3,WBGene00003396,Sequence name for WBGene00003396(mom-4). History: N.A.
F52F12.4,F52F12.4,WBGene00009937,Sequence name for WBGene00009937(lsl-1). History: N.A.
F52G2.1,F52G2.1,WBGene00003582,Sequence name for WBGene00003582(dcap-2). History: Renamed on 2005-12-19
F52G3.1,F52G3.1,WBGene00018710,"Public name for WBGene00018710. History: Split into F52G3.7(WBGene00303060). History of WBGene00018710: Split into ""WBGene00303060"" on 2018-03-02"
F52H2.2,F52H2.2,WBGene00000004,Sequence name for WBGene00000004(aat-3). History: N.A.
F52H2.7,F52H2.7,WBGene00018719,Sequence name for WBGene00018719(ccd-5). History: N.A.
F52H3.1,F52H3.1,WBGene00002497,Sequence name for WBGene00002497(let-268). History: N.A.
F53A2.4,F53A2.4,WBGene00003829,Sequence name for WBGene00003829(nud-1). History: N.A.
F53A2.7,F53A2.7,WBGene00009952,Sequence name for WBGene00009952(acaa-2). History: N.A.
F53A2.8,F53A2.8,WBGene00003478,Sequence name for WBGene00003478(mtm-6). History: N.A.
F53A3.3,F53A3.3,WBGene00004491,Sequence name for WBGene00004491(rps-22). History: N.A.
F53B7.3,F53B7.3,WBGene00009966,Sequence name for WBGene00009966(isy-1). History: N.A.
F53C11.4,F53C11.4,WBGene00009974,Public name for WBGene00009974. History: N.A.
F53C11.5,F53C11.5,WBGene00009975,Public name for WBGene00009975. History: N.A.
F53C11.8,F53C11.8,WBGene00009977,Sequence name for WBGene00009977(swan-1). History: N.A.
F53C3.13,F53C3.13,WBGene00018756,Sequence name for WBGene00018756(plpp-1.1). History: N.A.
F53E4.1,F53E4.1,WBGene00009978,Public name for WBGene00009978. History: N.A.
F53F10.2,F53F10.2,WBGene00018764,Public name for WBGene00018764. History: N.A.
F53F10.3,F53F10.3,WBGene00018765,Sequence name for WBGene00018765(mpc-2). History: N.A.
F53F10.4,F53F10.4,WBGene00006833,Sequence name for WBGene00006833(unc-108). History: Renamed on 2008-11-18
F53F10.5,F53F10.5,WBGene00003797,Sequence name for WBGene00003797(npp-11). History: N.A.
F53F4.10,F53F4.10,WBGene00009992,Public name for WBGene00009992. History: N.A.
F53F4.11,F53F4.11,WBGene00009993,Public name for WBGene00009993. History: N.A.
F53F4.12,F53F4.12,WBGene00009994,Public name for WBGene00009994. History: N.A.
F53F4.14,F53F4.14,WBGene00009996,Sequence name for WBGene00009996(sde-2). History: N.A.
F53F4.3,F53F4.3,WBGene00009987,Sequence name for WBGene00009987(tbcb-1). History: N.A.
F53G12.1,F53G12.1,WBGene00004274,Sequence name for WBGene00004274(rab-11.1). History: N.A.
F53G12.5,F53G12.5,WBGene00003229,Sequence name for WBGene00003229(mex-3). History: N.A.
F53G2.7,F53G2.7,WBGene00018769,"Sequence name for WBGene00018769(mnat-1). History: Split into F53G2.12(WBGene00302998). History of WBGene00018769: Split into ""WBGene00302998"" on 2018-03-06"
F54A3.3,F54A3.3,WBGene00018782,Sequence name for WBGene00018782(cct-3). History: N.A.
F54B11.3,F54B11.3,WBGene00006816,Sequence name for WBGene00006816(unc-84). History: N.A.
