# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
his-4,0.39148744,,his-4,WBGene00001878,Public name for WBGene00001878. History: N.A.
C04G6.6,0.391716773,,C04G6.6,WBGene00015456,Public name for WBGene00015456. History: N.A.
W03F8.4,0.393465101,,W03F8.4,WBGene00020994,Public name for WBGene00020994. History: N.A.
syg-2,0.394097914,0.5866189133491179,syg-2,WBGene00007750,Public name for WBGene00007750. History: N.A.
rsks-1,0.395722456,,rsks-1,WBGene00012929,Public name for WBGene00012929. History: N.A.
T02G6.5,0.39681677,,T02G6.5,WBGene00011388,Public name for WBGene00011388. History: N.A.
F36H5.8,0.39771206,,F36H5.8,WBGene00018106,"Public name for WBGene00018106. History: Split into F36H5.13(WBGene00206519), F36H5.15(WBGene00270291). History of WBGene00018106: Split into ""WBGene00206519"" on 2011-07-20; Split into ""WBGene00270291"" on 2016-07-01"
spc-1,0.40134046,,spc-1,WBGene00004951,Public name for WBGene00004951. History: N.A.
F49B2.6,0.403671008,,F49B2.6,WBGene00009865,Public name for WBGene00009865. History: N.A.
C40A11.8,0.404100386,,C40A11.8,WBGene00016551,Public name for WBGene00016551. History: N.A.
mrps-12,0.404314098,,mrps-12,WBGene00011391,Public name for WBGene00011391. History: N.A.
T06D10.3,0.404522319,,T06D10.3,WBGene00077558,Public name for WBGene00077558. History: N.A.
lgc-40,0.405630957,0.568009622056856,lgc-40,WBGene00020767,Public name for WBGene00020767. History: N.A.
T21F4.1,0.405935719,,T21F4.1,WBGene00020658,Sequence name for WBGene00020658(argn-1). History: N.A.
Y46G5A.43,0.406382605,,Y46G5A.43,WBGene00077636,Public name for WBGene00077636. History: N.A.
K09A11.1,0.406639105,,K09A11.1,WBGene00010704,Public name for WBGene00010704. History: N.A.
moc-3,0.411216028,,moc-3,WBGene00018357,Public name for WBGene00018357. History: N.A.
K03E6.7,0.413010995,,K03E6.7,WBGene00019365,Sequence name for WBGene00019365(rei-2). History: N.A.
Y73F8A.33,0.413327254,,Y73F8A.33,WBGene00013537,Public name for WBGene00013537. History: N.A.
lrr-1,0.413620206,,lrr-1,WBGene00018016,Public name for WBGene00018016. History: N.A.
haf-4,0.413888393,,haf-4,WBGene00001814,Public name for WBGene00001814. History: N.A.
dgn-2,0.414473327,0.6677924827568579,dgn-2,WBGene00018943,Public name for WBGene00018943. History: N.A.
atf-6,0.41513416,,atf-6,WBGene00000222,Public name for WBGene00000222. History: N.A.
nas-39,0.416897493,0.503158485262378,nas-39,WBGene00003555,Public name for WBGene00003555. History: N.A.
F07B7.2,0.419198928,,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
R05A10.6,0.419315272,0.5482318709370269,R05A10.6,WBGene00011023,Public name for WBGene00011023. History: N.A.
ZK1025.1,0.4216593,0.50739510245105,ZK1025.1,WBGene00014992,Public name for WBGene00014992. History: N.A.
F54G2.1,0.422540446,0.595668770320069,F54G2.1,WBGene00018837,Public name for WBGene00018837. History: N.A.
rbc-1,0.422580983,,rbc-1,WBGene00004313,Public name for WBGene00004313. History: N.A.
his-62,0.423049771,,his-62,WBGene00001936,Public name for WBGene00001936. History: N.A.
M04F3.2,0.423083084,,M04F3.2,WBGene00019768,Public name for WBGene00019768. History: N.A.
Y54G2A.16,0.426888608,,Y54G2A.16,WBGene00021881,Public name for WBGene00021881. History: N.A.
piki-1,0.427236891,0.545146622861555,piki-1,WBGene00009552,Public name for WBGene00009552. History: N.A.
C09B8.4,0.427571389,,C09B8.4,WBGene00015623,Public name for WBGene00015623. History: N.A.
nhr-47,0.429034957,0.6185646707951499,nhr-47,WBGene00003637,Public name for WBGene00003637. History: Renamed on 2005-12-15
sea-2,0.431513855,,sea-2,WBGene00004751,Public name for WBGene00004751. History: N.A.
Y105C5A.1,0.431849404,,Y105C5A.1,WBGene00013632,Public name for WBGene00013632. History: N.A.
Y53G8AM.8,0.433129794,,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
C33E10.3,0.437104057,,C33E10.3,WBGene00023245,Public name for WBGene00023245. History: N.A.
ZK1073.1,0.437520018,,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
crh-2,0.437814294,,crh-2,WBGene00016162,Public name for WBGene00016162. History: N.A.
W02A11.1,0.438363468,,W02A11.1,WBGene00012192,Public name for WBGene00012192. History: N.A.
mdh-1,0.441068817,,mdh-1,WBGene00018491,Public name for WBGene00018491. History: N.A.. Other name for WBGene00003162(mdh-2). History: Renamed on 2010-08-18
W09B7.2,0.44173625,,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
dlk-1,0.446044978,,dlk-1,WBGene00001008,Public name for WBGene00001008. History: N.A.
pqn-96,0.447524779,,pqn-96,WBGene00004175,Public name for WBGene00004175. History: N.A.
Y94H6A.4,0.450841077,,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
tra-3,0.45236679,,tra-3,WBGene00006606,Public name for WBGene00006606. History: N.A.
nhr-40,0.453955831,,nhr-40,WBGene00003630,"Public name for WBGene00003630. History: Split into T03G6.7(WBGene00303074). History of WBGene00003630: Split into ""WBGene00303074"" on 2018-03-02"
lsy-2,0.454741297,0.6556041398462659,lsy-2,WBGene00003087,Public name for WBGene00003087. History: N.A.
tbc-11,0.456463807,,tbc-11,WBGene00018075,Public name for WBGene00018075. History: N.A.
fbxa-93,0.456628575,,fbxa-93,WBGene00012368,Public name for WBGene00012368. History: N.A.
lsy-27,0.457381288,,lsy-27,WBGene00009834,Public name for WBGene00009834. History: N.A.
ceh-93,0.458213072,,ceh-93,WBGene00019864,Public name for WBGene00019864. History: N.A.
Y48A6C.1,0.458252845,,Y48A6C.1,WBGene00012974,Public name for WBGene00012974. History: N.A.
C56G3.2,0.463281921,0.5937452856535769,C56G3.2,WBGene00016985,Public name for WBGene00016985. History: N.A.
fbxa-153,0.463321948,,fbxa-153,WBGene00007162,Public name for WBGene00007162. History: N.A.
F40G9.5,0.464001993,,F40G9.5,WBGene00018241,"Public name for WBGene00018241. History: Split into F40G9.15(WBGene00077531). History of WBGene00018241: Split into ""WBGene00077531"" on 2008-01-15"
R03E1.2,0.464501565,,R03E1.2,WBGene00010993,Sequence name for WBGene00010993(vha-20). History: N.A.
egl-9,0.464776338,0.51687454374036,egl-9,WBGene00001178,Public name for WBGene00001178. History: N.A.
osm-3,0.465120444,,osm-3,WBGene00003884,Public name for WBGene00003884. History: N.A.
T02G5.14,0.466318347,,T02G5.14,WBGene00020170,Public name for WBGene00020170. History: N.A.
F40E10.6,0.466822721,,F40E10.6,WBGene00009574,Public name for WBGene00009574. History: N.A.
gei-12,0.467498267,,gei-12,WBGene00001569,Other name for WBGene00001569(meg-3). History: Renamed on 2014-08-15
lam-3,0.46795984,,lam-3,WBGene00002248,Public name for WBGene00002248. History: N.A.
unc-69,0.468356787,,unc-69,WBGene00006802,Public name for WBGene00006802. History: N.A.
R12B2.2,0.468474424,,R12B2.2,WBGene00020018,Public name for WBGene00020018. History: N.A.
R11A5.4,0.471794964,,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
ins-34,0.473965278,,ins-34,WBGene00002117,Public name for WBGene00002117. History: N.A.
K01G12.3,0.475016572,,K01G12.3,WBGene00010483,Public name for WBGene00010483. History: N.A.
H04D03.3,0.475603483,,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
Y51H4A.8,0.476070644,0.70128788406827,Y51H4A.8,WBGene00013104,Public name for WBGene00013104. History: N.A.
elf-1,0.476227621,,elf-1,WBGene00016029,Public name for WBGene00016029. History: N.A.. Other name for WBGene00001159(eff-1). History: N.A.
rsd-3,0.476304885,,rsd-3,WBGene00004682,Public name for WBGene00004682. History: N.A.
K01A6.6,0.477321329,,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
Y11D7A.19,0.477531541,,Y11D7A.19,WBGene00077756,Public name for WBGene00077756. History: N.A.
F59B2.9,0.477941514,,F59B2.9,WBGene00010311,Public name for WBGene00010311. History: N.A.
syd-2,0.478186543,,syd-2,WBGene00006364,Public name for WBGene00006364. History: Renamed on 2008-01-14
fbxb-63,0.478493376,,fbxb-63,WBGene00044197,Public name for WBGene00044197. History: N.A.
Y52B11A.8,0.479804715,,Y52B11A.8,WBGene00013127,Public name for WBGene00013127. History: N.A.
pan-1,0.483805112,0.491603165017852,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
tag-304,0.483986085,,tag-304,WBGene00018757,Other name for WBGene00018757(gid-8). History: Renamed on 2021-07-08
Y71F9B.2,0.484608835,,Y71F9B.2,WBGene00022126,Public name for WBGene00022126. History: N.A.
T19B10.3,0.485290688,,T19B10.3,WBGene00011832,Sequence name for WBGene00011832(bgal-1). History: N.A.
rgl-1,0.485712006,,rgl-1,WBGene00017891,Public name for WBGene00017891. History: N.A.
H16D19.4,0.488289502,,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
bet-2,0.488599618,,bet-2,WBGene00010199,Public name for WBGene00010199. History: N.A.
Y22D7AR.6,0.488726462,,Y22D7AR.6,WBGene00021260,Public name for WBGene00021260. History: N.A.
str-169,0.491744274,,str-169,WBGene00006213,Public name for WBGene00006213. History: N.A.
ZK829.9,0.491787029,,ZK829.9,WBGene00014097,Public name for WBGene00014097. History: N.A.
T20H12.1,0.493151373,,T20H12.1,WBGene00004751,"Public name for Dead gene WBGene00020643. History of WBGene00020643: Merged into ""WBGene00004751"" on 2014-11-13"
Y19D10A.11,0.493732086,,Y19D10A.11,WBGene00021226,Public name for WBGene00021226. History: N.A.
toca-1,0.494474708,0.4654644608524169,toca-1,WBGene00017298,Public name for WBGene00017298. History: N.A.
egl-23,0.495047674,,egl-23,WBGene00001190,Public name for WBGene00001190. History: N.A.
scrt-1,0.49661767,,scrt-1,WBGene00016948,Public name for WBGene00016948. History: N.A.
ceh-49,0.497001027,,ceh-49,WBGene00017538,Public name for WBGene00017538. History: N.A.
klp-8,0.497202187,0.73656472289465,klp-8,WBGene00002220,Other name for WBGene00002220(gcc-1). History: Renamed on 2015-03-25
hst-2,0.498522206,,hst-2,WBGene00002029,Public name for WBGene00002029. History: N.A.
Y60A3A.16,0.499399007,,Y60A3A.16,WBGene00013364,Public name for WBGene00013364. History: N.A.
lsm-1,0.501054847,,lsm-1,WBGene00003076,Public name for WBGene00003076. History: N.A.
mev-1,0.502670031,,mev-1,WBGene00003225,Public name for WBGene00003225. History: Renamed on 2006-07-19
sma-9,0.506393551,,sma-9,WBGene00004862,Public name for WBGene00004862. History: N.A.
srx-118,0.506683742,,srx-118,WBGene00006009,Public name for WBGene00006009. History: N.A.
daf-16,0.511740626,,daf-16,WBGene00000912,Public name for WBGene00000912. History: N.A.
T28F4.1,0.513343043,,T28F4.1,WBGene00012136,Public name for WBGene00012136. History: N.A.
T12D8.5,0.513830364,-0.526455513225474,T12D8.5,WBGene00011733,Public name for WBGene00011733. History: N.A.
phf-34,0.516497506,,phf-34,WBGene00009025,Public name for WBGene00009025. History: N.A.
C06A5.12,0.517633275,,C06A5.12,WBGene00044414,Public name for WBGene00044414. History: N.A.
F46H5.2,0.517664726,,F46H5.2,WBGene00018518,Public name for WBGene00018518. History: N.A.
tag-123,0.517884097,,tag-123,WBGene00006472,Public name for WBGene00006472. History: N.A.
fbxc-33,0.518140259,,fbxc-33,WBGene00019924,Public name for WBGene00019924. History: N.A.
M03C11.6,0.52000613,,M03C11.6,WBGene00010843,Public name for WBGene00010843. History: N.A.
B0353.1,0.52081766,,B0353.1,WBGene00015155,Public name for WBGene00015155. History: N.A.
Y15E3A.3,0.52456722,,Y15E3A.3,WBGene00012442,Public name for WBGene00012442. History: N.A.
fbxa-108,0.526272116,,fbxa-108,WBGene00010293,Public name for WBGene00010293. History: N.A.
snx-1,0.52628227,0.6750084794074979,snx-1,WBGene00004927,Public name for WBGene00004927. History: Renamed on 2014-09-25
K09A9.6,0.529878196,0.6505837207906598,K09A9.6,WBGene00010703,Public name for WBGene00010703. History: N.A.
pmk-2,0.531620747,,pmk-2,WBGene00004056,Public name for WBGene00004056. History: N.A.
ZK682.2,0.532247745,,ZK682.2,WBGene00022788,Sequence name for WBGene00022788(slc-17.7). History: N.A.
enu-3,0.532261787,,enu-3,WBGene00010362,Other name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
ZK1053.4,0.532563332,0.7694220227478858,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
F26D11.1,0.532764885,,F26D11.1,WBGene00017818,"Public name for WBGene00017818. History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
K04C1.2,0.533187617,,K04C1.2,WBGene00010552,Public name for WBGene00010552. History: N.A.
his-47,0.533316522,,his-47,WBGene00001921,Public name for WBGene00001921. History: N.A.
Y73F8A.15,0.533632368,0.880813600238816,Y73F8A.15,WBGene00013524,Public name for WBGene00013524. History: N.A.
F39E9.7,0.533755959,,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
lin-52,0.533786059,,lin-52,WBGene00003035,Public name for WBGene00003035. History: N.A.
lev-11,0.53404684,,lev-11,WBGene00002978,Public name for WBGene00002978. History: N.A.
F28H6.6,0.537892942,,F28H6.6,WBGene00009234,Public name for WBGene00009234. History: N.A.
daf-6,0.538066151,0.609029641257818,daf-6,WBGene00000902,Public name for WBGene00000902. History: N.A.
F47A4.5,0.540456006,,F47A4.5,WBGene00009801,Sequence name for WBGene00009801(ipla-2). History: N.A.
unc-44,0.541137029,,unc-44,WBGene00006780,Public name for WBGene00006780. History: N.A.
T04B8.5,0.542421634,0.7668473789143029,T04B8.5,WBGene00020207,Public name for WBGene00020207. History: N.A.
F20D1.7,0.543361255,0.898698673218557,F20D1.7,WBGene00008977,Sequence name for WBGene00008977(iglr-1). History: N.A.
Y65B4BR.1,0.543856824,,Y65B4BR.1,WBGene00022040,Public name for WBGene00022040. History: N.A.
fbxb-92,0.54598431,,fbxb-92,WBGene00044693,Public name for WBGene00044693. History: N.A.
F08G12.2,0.54722435,0.6424238313149109,F08G12.2,WBGene00008586,Sequence name for WBGene00008586(snrp-40.1). History: N.A.
nphp-1,0.549680709,,nphp-1,WBGene00010898,Public name for WBGene00010898. History: Renamed on 2011-01-18
lgc-10,0.550353217,0.536664574168882,lgc-10,WBGene00022247,Public name for WBGene00022247. History: N.A.
swan-2,0.551150758,,swan-2,WBGene00009976,Public name for WBGene00009976. History: Renamed on 2005-07-28
clec-119,0.551754452,,clec-119,WBGene00018575,Public name for WBGene00018575. History: N.A.
spat-3,0.551850755,,spat-3,WBGene00020496,Public name for WBGene00020496. History: N.A.
ced-8,0.552078324,,ced-8,WBGene00000422,Public name for WBGene00000422. History: N.A.
B0391.8,0.55370233,,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
F54B11.5,0.554997243,,F54B11.5,WBGene00010028,Public name for WBGene00010028. History: N.A.
nlp-38,0.555955135,,nlp-38,WBGene00007219,Public name for WBGene00007219. History: Renamed on 2019-11-21
ZK470.2,0.556105358,,ZK470.2,WBGene00022745,Public name for WBGene00022745. History: N.A.
Y57G11C.57,0.556214785,,Y57G11C.57,WBGene00045311,Public name for WBGene00045311. History: N.A.
rsu-1,0.557552127,,rsu-1,WBGene00007924,Public name for WBGene00007924. History: N.A.
LLC1.2,0.561818712,,LLC1.2,WBGene00010793,Sequence name for WBGene00010793(nspg-9). History: N.A.
R08B4.3,0.561875729,,R08B4.3,WBGene00011139,Public name for WBGene00011139. History: N.A.
C33B4.4,0.562464788,,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
C05D9.7,0.563609569,,C05D9.7,WBGene00015474,Public name for WBGene00015474. History: N.A.
C11H1.8,0.566127417,,C11H1.8,WBGene00006517,"Public name for Dead gene WBGene00007532. History of WBGene00007532: Merged into ""WBGene00006517"" on 2018-09-17"
C31E10.5,0.566882232,,C31E10.5,WBGene00007846,Public name for WBGene00007846. History: N.A.
D2096.10,0.56803284,,D2096.10,WBGene00017077,Public name for WBGene00017077. History: N.A.
dlg-1,0.568304264,,dlg-1,WBGene00001006,Public name for WBGene00001006. History: N.A.
coel-1,0.56987148,,coel-1,WBGene00016866,Public name for WBGene00016866. History: N.A.
F20D1.1,0.570366213,,F20D1.1,WBGene00008973,Sequence name for WBGene00008973(flwr-1). History: N.A.
K08C9.8,0.572200122,,K08C9.8,WBGene00045218,Public name for WBGene00045218. History: N.A.
ceh-99,0.572886108,,ceh-99,WBGene00044032,Public name for WBGene00044032. History: N.A.
Y73B6BL.288,0.574087794,,Y73B6BL.288,WBGene00219218,Public name for WBGene00219218. History: N.A.
cor-1,0.574610779,,cor-1,WBGene00000768,Public name for WBGene00000768. History: N.A.
daf-3,0.575302983,,daf-3,WBGene00000899,Public name for WBGene00000899. History: N.A.
mrps-17,0.576254741,,mrps-17,WBGene00015487,Public name for WBGene00015487. History: N.A.
R05G9.3,0.57712499,,R05G9.3,WBGene00019905,Public name for WBGene00019905. History: N.A.
grk-1,0.577862073,,grk-1,WBGene00001708,Public name for WBGene00001708. History: N.A.
fkh-3,0.579680245,,fkh-3,WBGene00001435,Public name for WBGene00001435. History: N.A.
alg-1,0.580169568,,alg-1,WBGene00000105,Public name for WBGene00000105. History: N.A.
F18G5.6,0.582339559,,F18G5.6,WBGene00017582,Public name for WBGene00017582. History: N.A.
col-162,0.582774181,,col-162,WBGene00000735,Public name for WBGene00000735. History: N.A.
F52H2.7,0.584183006,,F52H2.7,WBGene00018719,Sequence name for WBGene00018719(ccd-5). History: N.A.
unc-115,0.585507326,,unc-115,WBGene00006839,Public name for WBGene00006839. History: N.A.
F46C3.4,0.587197215,,F46C3.4,WBGene00044702,Public name for WBGene00044702. History: N.A.
T07F10.6,0.589050626,,T07F10.6,WBGene00011592,Sequence name for WBGene00011592(nspg-1). History: N.A.
C17F4.8,0.589330417,,C17F4.8,WBGene00015914,Public name for WBGene00015914. History: N.A.
his-14,0.593102368,,his-14,WBGene00001888,Public name for WBGene00001888. History: N.A.
hpo-24,0.596553807,,hpo-24,WBGene00011945,Other name for WBGene00011945(alg-5). History: N.A.
scd-1,0.597810203,,scd-1,WBGene00004739,Public name for WBGene00004739. History: N.A.
rps-13,0.600309962,,rps-13,WBGene00004482,Public name for WBGene00004482. History: N.A.
Y48B6A.10,0.602367989,-0.7022284230223869,Y48B6A.10,WBGene00012981,Public name for WBGene00012981. History: N.A.
fbxa-83,0.602631022,,fbxa-83,WBGene00013453,Public name for WBGene00013453. History: N.A.
unc-10,0.603462141,,unc-10,WBGene00006750,Public name for WBGene00006750. History: N.A.
Y2H9A.6,0.604948035,,Y2H9A.6,WBGene00086568,Public name for WBGene00086568. History: N.A.
F19C6.2,0.605624399,,F19C6.2,WBGene00008951,Public name for WBGene00008951. History: N.A.
oac-59,0.605769784,,oac-59,WBGene00016585,Public name for WBGene00016585. History: N.A.
lgc-55,0.606132281,,lgc-55,WBGene00013746,Public name for WBGene00013746. History: N.A.
M04C9.3,0.607890379,,M04C9.3,WBGene00010858,Public name for WBGene00010858. History: N.A.
nhr-1,0.609022965,,nhr-1,WBGene00003600,Public name for WBGene00003600. History: N.A.
gst-15,0.615005862,,gst-15,WBGene00001763,Public name for WBGene00001763. History: N.A.
B0334.9,0.617756426,,B0334.9,WBGene00007147,Public name for WBGene00007147. History: N.A.
ppk-3,0.618435594,,ppk-3,WBGene00004089,Public name for WBGene00004089. History: N.A.
H04M03.12,0.618789656,0.6714389793869199,H04M03.12,WBGene00019156,Public name for WBGene00019156. History: N.A.
Y5H2B.3,0.619313218,,Y5H2B.3,WBGene00021165,Public name for WBGene00021165. History: N.A.
B0395.3,0.620128197,,B0395.3,WBGene00007175,Public name for WBGene00007175. History: N.A.
exc-7,0.621649636,,exc-7,WBGene00001368,Public name for WBGene00001368. History: Renamed on 2004-11-09
F40D4.17,0.62190157,,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
K08H2.3,0.624847232,0.6803371830819809,K08H2.3,WBGene00010690,Public name for WBGene00010690. History: N.A.
EEED8.15,0.628434321,,EEED8.15,WBGene00017143,Public name for WBGene00017143. History: N.A.
inft-1,0.628583142,,inft-1,WBGene00019030,Other name for WBGene00019030(exc-6). History: Renamed on 2006-06-29; Renamed on 2013-07-04
eor-2,0.63065982,0.6815712288679299,eor-2,WBGene00001325,Public name for WBGene00001325. History: N.A.
F18H3.1,0.632233078,,F18H3.1,WBGene00008939,Public name for WBGene00008939. History: N.A.
acr-17,0.632383615,,acr-17,WBGene00000056,Public name for WBGene00000056. History: N.A.
C44C10.4,0.635973315,0.6297187572600919,C44C10.4,WBGene00008085,Sequence name for WBGene00008085(smcl-1). History: N.A.
Y55F3AM.10,0.639188007,0.463291632904586,Y55F3AM.10,WBGene00021927,Sequence name for WBGene00021927(abhd-14). History: N.A.
F27B3.6,0.639419407,,F27B3.6,WBGene00017848,Public name for WBGene00017848. History: N.A.
Y70G10A.3,0.639861967,,Y70G10A.3,WBGene00013499,Public name for WBGene00013499. History: N.A.
C06G3.5,0.641748909,,C06G3.5,WBGene00015551,Sequence name for WBGene00015551(adah-1). History: N.A.
sdc-3,0.641794741,,sdc-3,WBGene00004747,Public name for WBGene00004747. History: N.A.
T02G5.4,0.642095261,,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
pry-1,0.643369529,,pry-1,WBGene00004202,Public name for WBGene00004202. History: N.A.
K03H6.5,0.645229233,,K03H6.5,WBGene00019370,Public name for WBGene00019370. History: N.A.
his-68,0.647231833,,his-68,WBGene00001942,Public name for WBGene00001942. History: N.A.
R08C7.12,0.648552378,,R08C7.12,WBGene00019955,Public name for WBGene00019955. History: N.A.
his-6,0.648691798,,his-6,WBGene00001880,Public name for WBGene00001880. History: N.A.
C38H2.3,0.649545222,,C38H2.3,WBGene00008020,Public name for WBGene00008020. History: N.A.
Y55F3BR.2,0.651507238,0.615542715437954,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
C43D7.11,0.652946997,,C43D7.11,WBGene00077664,Public name for WBGene00077664. History: N.A.
W04B5.2,0.656003041,,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
hrg-1,0.656871928,,hrg-1,WBGene00019830,Public name for WBGene00019830. History: N.A.
haf-8,0.657087572,,haf-8,WBGene00001818,Public name for WBGene00001818. History: N.A.
F13B9.1,0.65785001,,F13B9.1,WBGene00017419,Sequence name for WBGene00017419(sec-16A.2). History: N.A.
Y73C8C.3,0.658103461,,Y73C8C.3,WBGene00022262,Public name for WBGene00022262. History: N.A.
unc-93,0.659939648,,unc-93,WBGene00006822,Public name for WBGene00006822. History: N.A.
F28A10.9,0.660704066,1.02559247400686,F28A10.9,WBGene00017877,Public name for WBGene00017877. History: N.A.
pnc-2,0.662710379,,pnc-2,WBGene00013336,Public name for WBGene00013336. History: N.A.
fkh-4,0.663092149,,fkh-4,WBGene00001436,"Public name for WBGene00001436. History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
tsp-20,0.664949853,,tsp-20,WBGene00006646,Public name for WBGene00006646. History: N.A.
usp-33,0.665833702,,usp-33,WBGene00010702,Public name for WBGene00010702. History: N.A.
Y17D7B.4,0.668477817,,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
seld-1,0.670362256,,seld-1,WBGene00012867,Public name for WBGene00012867. History: N.A.
K06G5.3,0.672003815,,K06G5.3,WBGene00010607,Public name for WBGene00010607. History: N.A.
ain-1,0.674551385,,ain-1,WBGene00015547,Public name for WBGene00015547. History: N.A.
C06E7.2,0.681949659,0.648865260251524,C06E7.2,WBGene00015539,Public name for WBGene00015539. History: N.A.
sms-2,0.682603401,,sms-2,WBGene00004893,Public name for WBGene00004893. History: N.A.
F48A11.2,0.685522133,,F48A11.2,WBGene00000497,"Public name for Dead gene WBGene00018583. History of WBGene00018583: Merged into ""WBGene00000497"" on 2015-04-30. Remark: F48A11.3 merged into F48A11.2 based on briggsae homology"
Y58A7A.3,0.686686369,,Y58A7A.3,WBGene00021977,Public name for WBGene00021977. History: N.A.
apm-3,0.689866936,,apm-3,WBGene00000164,Public name for WBGene00000164. History: N.A.
lfi-1,0.694154021,,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
F58A4.14,0.70033059,,F58A4.14,WBGene00043992,Sequence name for WBGene00043992(bbs-4). History: N.A.
sdc-1,0.705058101,,sdc-1,WBGene00004745,Public name for WBGene00004745. History: N.A.
F07H5.5,0.70619914,0.5128861923382279,F07H5.5,WBGene00014309,Public name for WBGene00014309. History: N.A.
arrd-25,0.706808137,,arrd-25,WBGene00007296,Public name for WBGene00007296. History: N.A.
atg-11,0.707961788,,atg-11,WBGene00020334,Other name for WBGene00020334(epg-7). History: Renamed on 2013-04-05; Renamed on 2016-01-05
unc-77,0.708382222,0.8702986623423449,unc-77,WBGene00006809,Public name for WBGene00006809. History: N.A.
M110.10,0.709020121,,M110.10,WBGene00195142,Public name for WBGene00195142. History: N.A.
T12A2.3,0.710111896,,T12A2.3,WBGene00020438,Public name for WBGene00020438. History: N.A.
C38H2.2,0.713399279,0.888016933301751,C38H2.2,WBGene00008019,Public name for WBGene00008019. History: N.A.
lnp-1,0.713973522,0.616803473565661,lnp-1,WBGene00015492,Public name for WBGene00015492. History: N.A.
chl-1,0.714994724,,chl-1,WBGene00010839,Public name for WBGene00010839. History: N.A.
vav-1,0.715203518,,vav-1,WBGene00006887,Public name for WBGene00006887. History: N.A.
D1025.1,0.715593656,,D1025.1,WBGene00008353,Public name for WBGene00008353. History: N.A.
Y58A7A.4,0.715936958,,Y58A7A.4,WBGene00021978,Public name for WBGene00021978. History: N.A.
his-10,0.721227956,,his-10,WBGene00001884,Public name for WBGene00001884. History: N.A.
tpa-1,0.724399079,,tpa-1,WBGene00006599,Public name for WBGene00006599. History: Renamed on 2011-03-29
hmbx-1,0.725040424,,hmbx-1,WBGene00018786,Public name for WBGene00018786. History: N.A.
Y87G2A.25,0.725504725,,Y87G2A.25,WBGene00219288,Public name for WBGene00219288. History: N.A.
his-26,0.725969808,,his-26,WBGene00001900,Public name for WBGene00001900. History: N.A.
egrh-1,0.726348031,,egrh-1,WBGene00007772,Public name for WBGene00007772. History: N.A.
gas-1,0.727134965,,gas-1,WBGene00001520,Public name for WBGene00001520. History: Renamed on 2008-02-26
cav-1,0.727617786,,cav-1,WBGene00000301,Public name for WBGene00000301. History: N.A.
srv-24,0.729416141,0.7301679382853609,srv-24,WBGene00005735,Public name for WBGene00005735. History: N.A.
fbxa-98,0.729751371,0.756012386504436,fbxa-98,WBGene00007453,Public name for WBGene00007453. History: N.A.
his-2,0.731805024,,his-2,WBGene00001876,Public name for WBGene00001876. History: N.A.
fbxa-106,0.732933718,,fbxa-106,WBGene00013348,Public name for WBGene00013348. History: N.A.
srh-9,0.734733146,,srh-9,WBGene00005235,Public name for WBGene00005235. History: N.A.
K01A2.5,0.735055807,,K01A2.5,WBGene00019280,Public name for WBGene00019280. History: N.A.
