gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
F46F5.2,0,,0,,0,,3,"21UR-1507,21UR-1403,21UR-5258",0,0.0,0,0,F46F5.2,WBGene00018494,Public name for WBGene00018494. History: N.A.
F47D2.2,0,,0,,0,,3,"21UR-13982,21UR-7785,21UR-785",0,0.0,84,0,F47D2.2,WBGene00018553,Sequence name for WBGene00018553(srt-60). History: N.A.
F49A5.11,0,,0,,0,,1,21UR-14384,0,0.0,0,0,F49A5.11,WBGene00050962,Public name for WBGene00050962. History: N.A.
F49H6.10,0,,0,,0,,4,"21UR-10333,21UR-10823,21UR-6324,21UR-12175",0,0.0,0,0,F49H6.10,WBGene00009911,Sequence name for WBGene00009911(srz-93). History: N.A.
F49H6.6,0,,0,,1,21UR-11207,1,21UR-13048,0,0.0,0,0,F49H6.6,WBGene00014768,Public name for WBGene00014768. History: N.A.
F52C6.1,0,,0,,0,,1,21UR-4123,0,0.0,124,0,F52C6.1,WBGene00018658,Sequence name for WBGene00018658(bath-22). History: N.A.
F52C6.7,2,"21UR-15965,21UR-15744",1,21UR-15945,1,21UR-15921,8,"21UR-15764,21UR-15758,21UR-12920,21UR-10212,21UR-10847,21UR-11725,21UR-15887,21UR-4218",3,3.0,444,7,F52C6.7,WBGene00018664,Sequence name for WBGene00018664(bath-11). History: N.A.
F52E1.12,0,,0,,0,,4,"21UR-12410,21UR-6881,21UR-2213,21UR-13301",0,0.0,1,0,F52E1.12,WBGene00018699,"Public name for WBGene00018699. History: Split into F52E1.2(WBGene00018692). History of WBGene00018699: Split into ""WBGene00018692"" on 2005-08-19"
F53A3.5,0,,0,,1,21UR-7418,17,"21UR-13934,21UR-7418",0,0.0,0,0,F53A3.5,WBGene00023289,Public name for WBGene00023289. History: N.A.
F53B2.10,0,,0,,0,,1,21UR-11186,0,0.0,0,0,F53B2.10,WBGene00045193,Public name for WBGene00045193. History: N.A.
F53B2.1,0,,0,,0,,2,"21UR-2105,21UR-9233",0,0.0,1,1,F53B2.1,WBGene00009954,Public name for WBGene00009954. History: N.A.
F53B2.9,0,,0,,0,,2,"21UR-13837,21UR-8141",0,0.0,0,0,F53B2.9,WBGene00005673,Sequence name for WBGene00005673(sru-10). History: N.A.
F53C3.10,0,,0,,0,,1,21UR-7827,0,0.0,5,0,F53C3.10,WBGene00005311,Sequence name for WBGene00005311(srh-90). History: N.A.
F53F4.8,1,21UR-12236,0,,0,,2,"21UR-5131,21UR-2404",0,0.0,0,4,F53F4.8,WBGene00009991,Public name for WBGene00009991. History: N.A.
F54B8.13,0,,0,,1,21UR-15899,1,21UR-9271,0,0.0,10,0,F54B8.13,WBGene00003556,Sequence name for WBGene00003556(nas-40). History: N.A.
F54B8.15,0,,0,,2,"21UR-15758,21UR-15887",12,"21UR-15981,21UR-10584,21UR-9364,21UR-7479,21UR-1223,21UR-7954,21UR-14096,21UR-11909,21UR-13850,21UR-11049,21UR-7283,21UR-14624",0,0.0,0,0,F54B8.15,WBGene00044104,Sequence name for WBGene00044104(srbc-53). History: N.A.
F54B8.17,0,,0,,0,,2,"21UR-6174,21UR-9641",0,0.0,0,0,F54B8.17,WBGene00077444,Public name for WBGene00077444. History: N.A.
F54B8.18,0,,0,,0,,1,21UR-13957,0,0.0,0,0,F54B8.18,WBGene00077600,Public name for WBGene00077600. History: N.A.
F55A11.4,0,,0,,0,,1,21UR-7356,0,0.0,19,8,F55A11.4,WBGene00010077,Public name for WBGene00010077. History: N.A.
F55B12.11,0,,0,,1,21UR-15475,1,21UR-2610,0,0.0,0,0,F55B12.11,WBGene00077570,Public name for WBGene00077570. History: N.A.
F55G11.3,1,21UR-14360,0,,0,,0,,0,0.0,0,0,F55G11.3,WBGene00014771,Public name for WBGene00014771. History: N.A.
F56D5.4,0,,0,,0,,1,21UR-15313,0,0.0,2,1,F56D5.4,WBGene00014772,Public name for WBGene00014772. History: N.A.
F56D5.8,0,,0,,0,,6,"21UR-10465,21UR-13837,21UR-10483,21UR-9393,21UR-8432,21UR-8353",0,0.0,0,0,F56D5.8,WBGene00014773,Public name for WBGene00014773. History: N.A.
F56H9.7,0,,0,,0,,2,"21UR-3017,21UR-13966",0,0.0,0,0,F56H9.7,WBGene00050977,Public name for WBGene00050977. History: N.A.
F57G4.4,0,,0,,0,,1,21UR-13979,0,0.0,14,7,F57G4.4,WBGene00010209,Sequence name for WBGene00010209(fbxa-191). History: N.A.
F58D12.2,0,,0,,1,21UR-10866,3,"21UR-7956,21UR-10207,21UR-7172",1,1.0,10,5,F58D12.2,WBGene00014778,Public name for WBGene00014778. History: N.A.
F58D2.3,0,,0,,0,,2,"21UR-1345,21UR-5214",0,0.0,0,0,F58D2.3,WBGene00044978,Public name for WBGene00044978. History: N.A.
F58E2.10,0,,0,,5,"21UR-15745,21UR-15890,21UR-15738",4,"21UR-15745,21UR-7677,21UR-427",0,0.0,0,0,F58E2.10,WBGene00023481,Sequence name for WBGene00023481(srz-22). History: N.A.
F58E2.1,0,,1,21UR-15985,2,"21UR-15874,21UR-15986",12,"21UR-15985,21UR-15745,21UR-8041,21UR-9685,21UR-15813,21UR-13811,21UR-15738,21UR-7833,21UR-13346,21UR-15890",0,0.0,0,0,F58E2.1,WBGene00023301,Public name for WBGene00023301. History: N.A.
F58E2.6,0,,1,21UR-2108,0,,0,,0,0.0,0,0,F58E2.6,WBGene00023302,Public name for WBGene00023302. History: N.A.
F58E2.8,0,,0,,0,,1,21UR-6549,0,0.0,1,0,F58E2.8,WBGene00023303,Public name for WBGene00023303. History: N.A.
F59B1.5,0,,0,,0,,1,21UR-7172,0,0.0,0,0,F59B1.5,WBGene00005985,Sequence name for WBGene00005985(srx-94). History: N.A.
F59E11.3,0,,0,,3,"21UR-13750,21UR-10909,21UR-15719",6,"21UR-6217,21UR-7409,21UR-91,21UR-13966,21UR-14007,21UR-11005",0,0.0,7,7,F59E11.3,WBGene00005535,Sequence name for WBGene00005535(sri-23). History: N.A.
H04M03.10,5,"21UR-12897,21UR-14368,21UR-11186,21UR-14847,21UR-14234",0,,2,"21UR-9409,21UR-12712",2,"21UR-8007,21UR-8605",0,0.0,0,0,H04M03.10,WBGene00005734,Sequence name for WBGene00005734(srv-23). History: N.A.
H04M03.7,2,"21UR-15389,21UR-6477",0,,0,,6,"21UR-8073,21UR-14357,21UR-15767,21UR-12646,21UR-8953,21UR-9356",0,0.0,0,0,H04M03.7,WBGene00005731,Sequence name for WBGene00005731(srv-20). History: N.A.
H05B21.1,0,,0,,0,,2,"21UR-10093,21UR-12220",0,0.0,0,0,H05B21.1,WBGene00005873,Sequence name for WBGene00005873(srw-126). History: N.A.
H12C20.4,0,,0,,0,,1,21UR-6882,0,0.0,0,0,H12C20.4,WBGene00005982,Sequence name for WBGene00005982(srx-91). History: N.A.
H12I19.3,3,"21UR-10489,21UR-15075,21UR-13853",0,,1,21UR-6120,2,"21UR-13738,21UR-6404",0,0.0,1,0,H12I19.3,WBGene00010390,Sequence name for WBGene00010390(srz-30). History: N.A.
H12I19.9,0,,0,,0,,4,"21UR-15411,21UR-7317,21UR-11360,21UR-13692",0,0.0,0,0,H12I19.9,WBGene00045294,Public name for WBGene00045294. History: N.A.
H27D07.1,0,,0,,0,,3,"21UR-5972,21UR-14177,21UR-12682",0,0.0,9,1,H27D07.1,WBGene00005875,Sequence name for WBGene00005875(srw-128). History: N.A.
H40L08.2a,0,,0,,0,,1,21UR-11744,0,0.0,0,0,H40L08.2a,WBGene00014793,"Molecule name for WBGene00014793(H40L08.2). History: Split into H40L08.7(WBGene00303024). History of WBGene00014793: Split into ""WBGene00303024"" on 2018-03-02"
H40L08.2b,0,,0,,0,,1,21UR-11744,0,0.0,0,0,H40L08.2b,WBGene00014793,"Molecule name for WBGene00014793(H40L08.2). History: Split into H40L08.7(WBGene00303024). History of WBGene00014793: Split into ""WBGene00303024"" on 2018-03-02"
K02A2.7,0,,0,,0,,3,"21UR-8055,21UR-1853,21UR-13939",0,0.0,0,0,K02A2.7,WBGene00005132,Sequence name for WBGene00005132(srd-54). History: N.A.
K02E11.8,0,,0,,0,,1,21UR-7418,0,0.0,0,0,K02E11.8,WBGene00010517,Public name for WBGene00010517. History: N.A.
K02E2.5,0,,0,,1,21UR-12650,4,"21UR-7711,21UR-12689,21UR-12650,21UR-9393",0,0.0,0,0,K02E2.5,WBGene00014794,Public name for WBGene00014794. History: N.A.
K02H11.8,0,,1,21UR-15896,3,"21UR-15813,21UR-15986,21UR-15985",2,"21UR-8821,21UR-15986",0,0.0,0,0,K02H11.8,WBGene00023317,Public name for WBGene00023317. History: N.A.
K03D3.3,0,,0,,1,21UR-6763,3,"21UR-2057,21UR-9883,21UR-13739",0,0.0,0,0,K03D3.3,WBGene00010529,Sequence name for WBGene00010529(srz-21). History: N.A.
K03D7.10,0,,0,,0,,15,"21UR-12618,21UR-11206,21UR-16003,21UR-12144,21UR-15231,21UR-13291,21UR-15903,21UR-9977,21UR-7210,21UR-7247,21UR-13738,21UR-12401,21UR-11715,21UR-5806,21UR-2654",0,0.0,6,1,K03D7.10,WBGene00005792,Sequence name for WBGene00005792(srw-45). History: N.A.
K03D7.5,0,,0,,0,,1,21UR-13550,0,0.0,1,0,K03D7.5,,"Public name for Dead gene WBGene00014797. History of WBGene00014797: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
K05D4.1,0,,0,,0,,1,21UR-15891,0,0.0,0,0,K05D4.1,WBGene00014798,Public name for WBGene00014798. History: N.A.
K05D4.7,0,,0,,0,,2,"21UR-3284,21UR-5560",0,0.0,0,0,K05D4.7,WBGene00005485,Sequence name for WBGene00005485(srh-280). History: N.A.
K06A4.8,0,,0,,0,,1,21UR-8714,0,0.0,0,1,K06A4.8,WBGene00044015,Public name for WBGene00044015. History: N.A.
K06B4.13,0,,0,,0,,1,21UR-11371,0,0.0,0,0,K06B4.13,WBGene00014800,Sequence name for WBGene00014800(nhr-200). History: N.A.
K06B4.17,0,,0,,0,,2,"21UR-10493,21UR-2426",0,0.0,0,0,K06B4.17,WBGene00077596,Public name for WBGene00077596. History: N.A.
K07C6.13,0,,1,21UR-15717,0,,0,,0,0.0,0,0,K07C6.13,WBGene00005960,Sequence name for WBGene00005960(srx-69). History: N.A.
K07C6.1,0,,0,,0,,3,"21UR-7425,21UR-8773,21UR-10430",0,0.0,0,0,K07C6.1,WBGene00019469,Sequence name for WBGene00019469(srz-89). History: N.A.
K07D4.1,0,,0,,0,,1,21UR-10743,0,0.0,2,0,K07D4.1,WBGene00023318,Public name for WBGene00023318. History: N.A.
K07E8.4,0,,0,,0,,2,"21UR-11360,21UR-14173",0,0.0,0,0,K07E8.4,WBGene00023320,Public name for WBGene00023320. History: N.A.
K07E8.8,0,,0,,0,,1,21UR-13924,0,0.0,0,0,K07E8.8,WBGene00023321,Public name for WBGene00023321. History: N.A.
K08G2.10,0,,0,,0,,1,21UR-8628,0,0.0,0,0,K08G2.10,WBGene00005498,Sequence name for WBGene00005498(srh-294). History: N.A.
K08G2.11,0,,0,,0,,2,"21UR-1379,21UR-646",0,0.0,0,0,K08G2.11,WBGene00005369,Sequence name for WBGene00005369(srh-153). History: N.A.
K08G2.2,0,,0,,0,,1,21UR-1832,0,0.0,0,0,K08G2.2,WBGene00005366,Sequence name for WBGene00005366(srh-150). History: N.A.
K08G2.3,0,,0,,0,,2,"21UR-14054,21UR-646",0,0.0,2,0,K08G2.3,WBGene00005368,Sequence name for WBGene00005368(srh-152). History: N.A.
K08G2.4,0,,0,,0,,4,"21UR-10932,21UR-6346,21UR-7981,21UR-7480",0,0.0,0,0,K08G2.4,,"Public name for Dead gene WBGene00014802. History of WBGene00014802: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
K09C4.3,0,,0,,1,21UR-4114,0,,0,0.0,2,2,K09C4.3,WBGene00002006,Sequence name for WBGene00002006(hsp-2). History: N.A.
K09D9.4,0,,0,,0,,2,"21UR-10356,21UR-10448",0,0.0,0,0,K09D9.4,WBGene00005232,Sequence name for WBGene00005232(srh-6). History: N.A.
K09D9.5,0,,0,,0,,2,"21UR-14087,21UR-7805",0,0.0,0,0,K09D9.5,WBGene00006107,Sequence name for WBGene00006107(str-42). History: N.A.
K09H11.2,0,,0,,0,,7,"21UR-13530,21UR-9636,21UR-5783,21UR-2066,21UR-13744,21UR-14456,21UR-9359",0,0.0,0,0,K09H11.2,WBGene00006014,Sequence name for WBGene00006014(srx-123). History: N.A.
K09H11.8,0,,0,,0,,3,"21UR-9202,21UR-2277,21UR-5581",0,0.0,0,0,K09H11.8,WBGene00006015,Sequence name for WBGene00006015(srx-124). History: N.A.
K10F12.1,0,,0,,0,,3,"21UR-6662,21UR-10357,21UR-9401",0,0.0,0,0,K10F12.1,WBGene00023325,Public name for WBGene00023325. History: N.A.
K10G4.13,0,,0,,1,21UR-13719,1,21UR-5735,0,0.0,3,0,K10G4.13,WBGene00077629,Public name for WBGene00077629. History: N.A.
K10G4.4,0,,1,21UR-15813,0,,5,"21UR-15874,21UR-4991,21UR-9905,21UR-2915,21UR-6705",0,0.0,5,3,K10G4.4,WBGene00010753,Public name for WBGene00010753. History: N.A.
K10G4.6,0,,0,,0,,2,"21UR-3766,21UR-1096",0,0.0,0,0,K10G4.6,WBGene00005336,Sequence name for WBGene00005336(srh-117). History: N.A.
K10G4.8,0,,0,,0,,6,"21UR-9408,21UR-755,21UR-11770,21UR-12638,21UR-11715,21UR-5581",0,0.0,0,0,K10G4.8,WBGene00005793,Sequence name for WBGene00005793(srw-46). History: N.A.
K12D9.13,0,,0,,1,21UR-15294,3,"21UR-11207,21UR-5735,21UR-5472",0,0.0,0,0,K12D9.13,WBGene00005878,Sequence name for WBGene00005878(srw-131). History: N.A.
K12D9.2,0,,0,,0,,2,"21UR-12943,21UR-10988",0,0.0,0,0,K12D9.2,WBGene00005305,Sequence name for WBGene00005305(srh-84). History: N.A.
K12D9.6,0,,0,,0,,1,21UR-42,0,0.0,0,0,K12D9.6,WBGene00005872,Sequence name for WBGene00005872(srw-125). History: N.A.
K12D9.8,0,,0,,0,,6,"21UR-5526,21UR-8626,21UR-5645,21UR-3544,21UR-577,21UR-14030",0,0.0,0,0,K12D9.8,WBGene00005861,Sequence name for WBGene00005861(srw-114). History: N.A.
M01B2.5,0,,0,,0,,6,"21UR-4054,21UR-6661,21UR-15056,21UR-3405,21UR-4276,21UR-12969",0,0.0,0,0,M01B2.5,WBGene00005797,Sequence name for WBGene00005797(srw-50). History: N.A.
M01G12.15,0,,0,,0,,4,21UR-11384,0,0.0,0,0,M01G12.15,WBGene00305047,"Public name for WBGene00305047. History: N.A.. Public name for Dead gene WBGene00077545. History of WBGene00077545: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
M01G12.3,0,,0,,0,,2,"21UR-11343,21UR-3996",0,0.0,0,0,M01G12.3,WBGene00010818,Sequence name for WBGene00010818(srt-21). History: N.A.
M02F4.9,0,,0,,1,21UR-4402,3,"21UR-7894,21UR-8392,21UR-1797",0,0.0,10,0,M02F4.9,WBGene00019739,Public name for WBGene00019739. History: N.A.
M04B2.8,0,,0,,0,,1,21UR-9236,0,0.0,3,0,M04B2.8,WBGene00045319,Public name for WBGene00045319. History: N.A.
M04C3.4,0,,0,,0,,3,"21UR-15809,21UR-11288,21UR-15971",0,0.0,0,6,M04C3.4,WBGene00206418,"Public name for Dead gene WBGene00050969. History of WBGene00050969: Merged into ""WBGene00206418"" on 2011-06-28"
M05D6.10,0,,0,,0,,3,"21UR-7924,21UR-9758,21UR-7340",0,0.0,2,0,M05D6.10,WBGene00044168,Public name for WBGene00044168. History: N.A.
M142.3,0,,0,,0,,2,"21UR-15738,21UR-15890",0,0.0,0,1,M142.3,WBGene00014809,Public name for WBGene00014809. History: N.A.
M162.14,0,,0,,1,21UR-4404,0,,0,0.0,0,0,M162.14,WBGene00077667,Public name for WBGene00077667. History: N.A.
M162.4,0,,2,"21UR-4404,21UR-3700",0,,6,"21UR-11777,21UR-9699,21UR-12861,21UR-618,21UR-10630,21UR-8204",0,0.0,0,1,M162.4,WBGene00010930,Sequence name for WBGene00010930(srt-46). History: N.A.
M162.9,0,,0,,0,,3,"21UR-11821,21UR-11291,21UR-7446",0,0.0,76,1,M162.9,WBGene00014811,Public name for WBGene00014811. History: N.A.
M176.9,0,,0,,0,,2,"21UR-1403,21UR-14227",0,0.0,1,6,M176.9,WBGene00014813,Public name for WBGene00014813. History: N.A.
R03D7.3,0,,0,,0,,1,21UR-8524,1,1.0,1261,1811,R03D7.3,WBGene00014814,Public name for WBGene00014814. History: N.A.
R05D8.12,0,,0,,0,,2,"21UR-13797,21UR-5600",0,0.0,0,0,R05D8.12,WBGene00005918,Sequence name for WBGene00005918(srx-27). History: N.A.
R05D8.1,0,,0,,0,,1,21UR-6808,0,0.0,0,0,R05D8.1,WBGene00005605,Sequence name for WBGene00005605(srj-17). History: N.A.
R07B5.1,0,,0,,0,,5,"21UR-14627,21UR-11132,21UR-7580,21UR-7210,21UR-13979",0,0.0,0,0,R07B5.1,WBGene00014817,Public name for WBGene00014817. History: N.A.
R07B5.2,0,,0,,0,,1,21UR-15679,0,0.0,0,0,R07B5.2,WBGene00014818,Public name for WBGene00014818. History: N.A.
R08H2.11,0,,0,,0,,1,21UR-12772,0,0.0,0,0,R08H2.11,WBGene00005327,Sequence name for WBGene00005327(srh-108). History: N.A.
R08H2.14,0,,0,,0,,2,"21UR-9085,21UR-7913",0,0.0,0,0,R08H2.14,WBGene00005325,Sequence name for WBGene00005325(srh-106). History: N.A.
R09B3.6,0,,0,,0,,3,"21UR-3913,21UR-7969,21UR-14722",0,0.0,2,2,R09B3.6,WBGene00014820,Public name for WBGene00014820. History: N.A.
R09D1.4,0,,0,,0,,1,21UR-13784,0,0.0,0,0,R09D1.4,WBGene00011160,Public name for WBGene00011160. History: N.A.
R09D1.9,0,,0,,0,,1,21UR-1804,0,0.0,1,1,R09D1.9,WBGene00011165,Public name for WBGene00011165. History: N.A.
R09F10.11,0,,0,,1,21UR-8089,0,,0,0.0,0,0,R09F10.11,WBGene00005238,Sequence name for WBGene00005238(srh-12). History: N.A.
R10D12.3,0,,0,,0,,2,"21UR-4526,21UR-9128",0,0.0,0,0,R10D12.3,WBGene00006018,Sequence name for WBGene00006018(srx-127). History: N.A.
R10E8.4,1,21UR-15735,0,,3,"21UR-15868,21UR-12483,21UR-8810",8,"21UR-4760,21UR-5864,21UR-13103,21UR-7711,21UR-15735,21UR-10674,21UR-117,21UR-5888",0,0.0,3,0,R10E8.4,WBGene00011210,Public name for WBGene00011210. History: N.A.
R10E8.7,0,,63,21UR-15879,3,21UR-15879,11,"21UR-9547,21UR-13593,21UR-7638,21UR-8443,21UR-4623,21UR-8499,21UR-4043,21UR-8328,21UR-13820,21UR-9397,21UR-13898",0,0.0,12,0,R10E8.7,WBGene00014821,Public name for WBGene00014821. History: N.A.
R11G11.10,0,,0,,0,,6,"21UR-3664,21UR-15609,21UR-9091,21UR-10404,21UR-12591,21UR-2947",0,0.0,0,0,R11G11.10,WBGene00005852,Sequence name for WBGene00005852(srw-105). History: N.A.
R11G11.11,0,,0,,1,21UR-12591,7,"21UR-3444,21UR-12770,21UR-14341,21UR-3358,21UR-6458,21UR-4235,21UR-8799",0,0.0,0,0,R11G11.11,WBGene00005853,Sequence name for WBGene00005853(srw-106). History: N.A.
R11G11.4,0,,0,,0,,1,21UR-13962,0,0.0,0,0,R11G11.4,WBGene00005600,Sequence name for WBGene00005600(srj-12). History: N.A.
R11G11.8,0,,0,,1,21UR-10404,1,21UR-1722,0,0.0,0,0,R11G11.8,WBGene00005851,Sequence name for WBGene00005851(srw-104). History: N.A.
R11H6.6,0,,0,,0,,8,"21UR-2801,21UR-7638,21UR-12733,21UR-13167,21UR-15903,21UR-11315,21UR-618,21UR-14875",0,0.0,1,0,R11H6.6,WBGene00014822,Public name for WBGene00014822. History: N.A.
R11H6.7,0,,0,,0,,1,21UR-13250,0,0.0,0,0,R11H6.7,WBGene00077579,Public name for WBGene00077579. History: N.A.
R13D7.9,0,,0,,0,,1,21UR-13534,0,0.0,0,0,R13D7.9,WBGene00006091,Sequence name for WBGene00006091(str-24). History: N.A.
R52.10,0,,1,21UR-11656,1,21UR-9457,4,"21UR-15728,21UR-6280,21UR-10438,21UR-691",0,0.0,3,0,R52.10,WBGene00020081,Sequence name for WBGene00020081(sdz-29). History: Renamed on 2005-08-22
T01B11.5,0,,0,,0,,2,"21UR-8098,21UR-3657",0,0.0,0,0,T01B11.5,WBGene00006220,Sequence name for WBGene00006220(str-176). History: N.A.
T01B7.2,1,21UR-6226,0,,0,,2,"21UR-10127,21UR-10133",0,0.0,2,0,T01B7.2,WBGene00005175,Sequence name for WBGene00005175(srg-18). History: N.A.
T01C4.7,0,,0,,0,,1,21UR-9377,0,0.0,0,0,T01C4.7,WBGene00005928,Sequence name for WBGene00005928(srx-37). History: N.A.
T02E9.4,0,,0,,0,,1,21UR-7480,0,0.0,0,0,T02E9.4,,"Public name for Dead gene WBGene00014830. History of WBGene00014830: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T03D3.10,0,,0,,0,,5,"21UR-10031,21UR-15265,21UR-14636,21UR-11267,21UR-2093",0,0.0,0,0,T03D3.10,WBGene00023338,Public name for WBGene00023338. History: N.A.
T03D3.7,0,,0,,0,,2,"21UR-1160,21UR-1913",0,0.0,0,0,T03D3.7,WBGene00023335,Public name for WBGene00023335. History: N.A.
T03D3.8,0,,0,,0,,2,"21UR-12717,21UR-4410",0,0.0,0,0,T03D3.8,WBGene00023336,Public name for WBGene00023336. History: N.A.
T03D3.9,0,,0,,0,,3,"21UR-11097,21UR-10808,21UR-8328",0,0.0,0,0,T03D3.9,WBGene00023337,Public name for WBGene00023337. History: N.A.
T04C12.10,0,,0,,0,,1,21UR-3755,0,0.0,0,0,T04C12.10,,"Public name for Dead gene WBGene00077509. History of WBGene00077509: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T04C12.11,0,,0,,0,,5,"21UR-2220,21UR-7505,21UR-13983,21UR-2632,21UR-12643",0,0.0,0,0,T04C12.11,WBGene00077693,Public name for WBGene00077693. History: N.A.
T04H1.10,0,,0,,0,,1,21UR-15699,0,0.0,0,0,T04H1.10,WBGene00005827,Sequence name for WBGene00005827(srw-80). History: N.A.
T05A6.6,0,,1,21UR-13723,0,,0,,0,0.0,0,0,T05A6.6,WBGene00005809,Sequence name for WBGene00005809(srw-62). History: N.A.
T05B11.5,0,,0,,0,,2,"21UR-15375,21UR-5363",0,0.0,0,0,T05B11.5,WBGene00023340,Public name for WBGene00023340. History: N.A.
T05E12.7,0,,0,,0,,1,21UR-9815,0,0.0,0,0,T05E12.7,WBGene00005444,Sequence name for WBGene00005444(srh-237). History: N.A.
T05G11.4,0,,0,,0,,1,21UR-8459,0,0.0,0,0,T05G11.4,WBGene00005774,Sequence name for WBGene00005774(srw-27). History: N.A.
T05G11.8,0,,0,,0,,2,"21UR-4475,21UR-10366",0,0.0,0,0,T05G11.8,WBGene00005799,Sequence name for WBGene00005799(srw-52). History: N.A.
T05H4.8,0,,0,,0,,3,"21UR-14024,21UR-9735,21UR-12664",0,0.0,1,1,T05H4.8,WBGene00020271,Public name for WBGene00020271. History: N.A.
T06C12.15,0,,0,,0,,3,"21UR-629,21UR-12591,21UR-8799",0,0.0,1,0,T06C12.15,WBGene00014832,Sequence name for WBGene00014832(srab-27). History: N.A.
T06C12.5,0,,0,,0,,3,"21UR-12653,21UR-11234,21UR-2023",0,0.0,2,0,T06C12.5,WBGene00011514,Sequence name for WBGene00011514(fbxa-198). History: N.A.
T07H8.2,0,,0,,1,21UR-8500,3,"21UR-6859,21UR-7905,21UR-12546",0,0.0,0,0,T07H8.2,WBGene00006029,Sequence name for WBGene00006029(srx-138). History: N.A.
T08D2.9,0,,0,,0,,4,"21UR-14454,21UR-3924,21UR-10502,21UR-15971",0,0.0,1,1,T08D2.9,WBGene00044700,Public name for WBGene00044700. History: N.A.
T08G11.6,0,,0,,0,,1,21UR-13324,0,0.0,0,0,T08G11.6,,"Public name for Dead gene WBGene00077544. History of WBGene00077544: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T08G3.14,0,,0,,0,,1,21UR-14889,0,0.0,0,0,T08G3.14,WBGene00077615,Public name for WBGene00077615. History: N.A.
T08G3.4,0,,0,,0,,1,21UR-9991,0,0.0,0,0,T08G3.4,WBGene00011617,Public name for WBGene00011617. History: N.A.
T08G3.9,0,,0,,0,,2,"21UR-6682,21UR-15491",0,0.0,0,0,T08G3.9,WBGene00006017,Sequence name for WBGene00006017(srx-126). History: N.A.
T08G5.14,0,,0,,0,,3,"21UR-5972,21UR-14222,21UR-7899",0,0.0,0,0,T08G5.14,WBGene00077572,Public name for WBGene00077572. History: N.A.
T08G5.16,0,,0,,0,,2,"21UR-6410,21UR-9845",0,0.0,0,0,T08G5.16,WBGene00077574,Public name for WBGene00077574. History: N.A.
T08G5.4,0,,2,"21UR-15712,21UR-3237",0,,5,"21UR-2512,21UR-15799,21UR-14585,21UR-9925,21UR-15781",0,0.0,3,1,T08G5.4,WBGene00014834,Public name for WBGene00014834. History: N.A.
T08H10.2,0,,0,,1,21UR-10478,6,"21UR-11950,21UR-8945,21UR-15946,21UR-772,21UR-14218,21UR-6151",0,0.0,0,0,T08H10.2,WBGene00006101,Sequence name for WBGene00006101(str-35). History: N.A.
T08H10.5,0,,0,,1,21UR-10478,6,"21UR-11950,21UR-8945,21UR-15946,21UR-772,21UR-14218,21UR-6151",0,0.0,0,0,T08H10.5,WBGene00006100,Sequence name for WBGene00006100(str-34). History: N.A.
T09E11.11,0,,0,,2,"21UR-6368,21UR-4942",5,"21UR-9742,21UR-14105,21UR-10905,21UR-10230,21UR-3474",0,0.0,0,0,T09E11.11,WBGene00011660,Public name for WBGene00011660. History: N.A.
T09F5.13,0,,0,,0,,2,"21UR-8802,21UR-2205",0,0.0,0,0,T09F5.13,WBGene00014837,Public name for WBGene00014837. History: N.A.
T09F5.14,2,"21UR-15728,21UR-15824",1,21UR-15789,0,,10,"21UR-14200,21UR-126,21UR-2961,21UR-5447,21UR-5430,21UR-15495,21UR-6151,21UR-15893,21UR-5445,21UR-3834",0,0.0,0,0,T09F5.14,WBGene00005772,Sequence name for WBGene00005772(srw-25). History: N.A.
T09F5.15,0,,0,,0,,2,"21UR-6571,21UR-8304",0,0.0,0,0,T09F5.15,WBGene00005276,Sequence name for WBGene00005276(srh-53). History: N.A.
T09F5.17,0,,0,,0,,1,21UR-11868,0,0.0,0,0,T09F5.17,WBGene00077586,Public name for WBGene00077586. History: N.A.
T09F5.4,0,,0,,1,21UR-11887,5,"21UR-8931,21UR-15740,21UR-14168,21UR-4700,21UR-15182",0,0.0,0,0,T09F5.4,WBGene00014835,Public name for WBGene00014835. History: N.A.
T10B9.6,0,,0,,0,,1,21UR-3364,0,0.0,0,0,T10B9.6,WBGene00014838,Sequence name for WBGene00014838(cyp-13A9). History: N.A.
