# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
F20D1.3,410,34.825442143,F20D1.3,WBGene00008975,Public name for WBGene00008975. History: N.A.
F29C4.6,410,34.825442143,F29C4.6,WBGene00017928,Sequence name for WBGene00017928(tut-1). History: N.A.
K07A1.9,410,34.825442143,K07A1.9,WBGene00010615,Sequence name for WBGene00010615(ate-1). History: N.A.
D2030.1,409,34.7405020402,D2030.1,WBGene00008411,Sequence name for WBGene00008411(mans-1). History: N.A.
F55B11.6,409,34.7405020402,F55B11.6,WBGene00044249,Public name for WBGene00044249. History: N.A.
Y60A3A.19,409,34.7405020402,Y60A3A.19,WBGene00013365,Public name for WBGene00013365. History: N.A.
Y76B12C.3,409,34.7405020402,Y76B12C.3,WBGene00022297,Public name for WBGene00022297. History: N.A.
C43E11.12,408,34.6555619374,C43E11.12,WBGene00016609,Public name for WBGene00016609. History: N.A.
K02B2.3,408,34.6555619374,K02B2.3,WBGene00019296,Sequence name for WBGene00019296(mcu-1). History: N.A.
Y37E11AL.1,408,34.6555619374,Y37E11AL.1,WBGene00021357,Public name for WBGene00021357. History: N.A.
C29E4.5,407,34.5706218346,C29E4.5,WBGene00016203,Sequence name for WBGene00016203(tag-250). History: N.A.
F33D11.10,407,34.5706218346,F33D11.10,WBGene00018007,Public name for WBGene00018007. History: N.A.
Y48A5A.3,407,34.5706218346,Y48A5A.3,WBGene00044466,Public name for WBGene00044466. History: N.A.
Y76A2B.2,407,34.5706218346,Y76A2B.2,WBGene00013574,Sequence name for WBGene00013574(lron-13). History: N.A.
B0361.8,406,34.4856817318,B0361.8,WBGene00015162,Sequence name for WBGene00015162(algn-11). History: N.A.
C34C12.9,406,34.4856817318,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
F09G8.3,406,34.4856817318,F09G8.3,WBGene00017319,Sequence name for WBGene00017319(mrps-9). History: N.A.
F57C7.1,406,34.4856817318,F57C7.1,WBGene00010199,Sequence name for WBGene00010199(bet-2). History: N.A.
T15H9.2,406,34.4856817318,T15H9.2,WBGene00011788,Sequence name for WBGene00011788(hal-3). History: N.A.
F15D4.2,404,34.3158015262,F15D4.2,WBGene00008859,Public name for WBGene00008859. History: N.A.
T19C3.6,404,34.3158015262,T19C3.6,WBGene00020564,Public name for WBGene00020564. History: N.A.
Y37A1B.17,404,34.3158015262,Y37A1B.17,WBGene00044989,Sequence name for WBGene00044989(dnbp-1). History: N.A.
Y54E10BR.5,404,34.3158015262,Y54E10BR.5,WBGene00021844,Sequence name for WBGene00021844(sec-11). History: N.A.
F49E8.4,403,34.2308614235,F49E8.4,WBGene00000392,Sequence name for WBGene00000392(cdd-2). History: N.A.
K09B11.1,403,34.2308614235,K09B11.1,WBGene00004029,Sequence name for WBGene00004029(pik-1). History: N.A.
W06B11.2,403,34.2308614235,W06B11.2,WBGene00004245,Sequence name for WBGene00004245(puf-9). History: N.A.
Y17G7B.10,403,34.2308614235,Y17G7B.10,WBGene00012463,Sequence name for WBGene00012463(nadk-2). History: N.A.
B0205.7,402,34.1459213207,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
C35D10.4,402,34.1459213207,C35D10.4,WBGene00000767,Sequence name for WBGene00000767(coq-8). History: N.A.
C56A3.6,402,34.1459213207,C56A3.6,WBGene00008345,Public name for WBGene00008345. History: N.A.
F36H12.2,402,34.1459213207,F36H12.2,WBGene00018118,Public name for WBGene00018118. History: N.A.
VF13D12L.3,402,34.1459213207,VF13D12L.3,WBGene00012149,Public name for WBGene00012149. History: N.A.
Y62F5A.9,402,34.1459213207,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
B0304.4,401,34.0609812179,B0304.4,WBGene00015136,Public name for WBGene00015136. History: N.A.
C50B6.2,401,34.0609812179,C50B6.2,WBGene00008218,Sequence name for WBGene00008218(nasp-2). History: N.A.
D2085.1,401,34.0609812179,D2085.1,WBGene00004259,Sequence name for WBGene00004259(pyr-1). History: N.A.
Y41D4A.5,401,34.0609812179,Y41D4A.5,WBGene00021507,Sequence name for WBGene00021507(ptpn-22). History: N.A.
Y45G5AM.9,400,33.9760411151,Y45G5AM.9,WBGene00021561,Public name for WBGene00021561. History: N.A.
C02F5.10,399,33.8911010123,C02F5.10,WBGene00015351,Public name for WBGene00015351. History: N.A.
C08B6.9,399,33.8911010123,C08B6.9,WBGene00000142,Sequence name for WBGene00000142(aos-1). History: N.A.
C07G3.8,397,33.7212208067,C07G3.8,WBGene00015576,"Public name for WBGene00015576. History: Split into C07G3.15(WBGene00269378). History of WBGene00015576: Split into ""WBGene00269378"" on 2016-02-18"
F26F4.3,397,33.7212208067,F26F4.3,WBGene00004400,Sequence name for WBGene00004400(rom-1). History: N.A.
Y39A3CL.4,397,33.7212208067,Y39A3CL.4,WBGene00021442,Public name for WBGene00021442. History: N.A.
C01G10.12,396,33.6362807039,C01G10.12,WBGene00001021,Sequence name for WBGene00001021(dnj-3). History: N.A.
E01G4.1,396,33.6362807039,E01G4.1,WBGene00008444,Sequence name for WBGene00008444(tbc-14). History: Renamed on 2016-04-19
F25H9.6,396,33.6362807039,F25H9.6,WBGene00009138,Public name for WBGene00009138. History: N.A.
F54F2.8,396,33.6362807039,F54F2.8,WBGene00004201,Sequence name for WBGene00004201(prx-19). History: N.A.
K02B12.5,396,33.6362807039,K02B12.5,WBGene00010498,Sequence name for WBGene00010498(tnsl-1). History: N.A.
Y39A3CR.7,396,33.6362807039,Y39A3CR.7,WBGene00004163,Sequence name for WBGene00004163(pqn-82). History: N.A.
K08H10.4,395,33.5513406011,K08H10.4,WBGene00010697,Sequence name for WBGene00010697(uda-1). History: Renamed on 2004-06-24
Y23H5A.4,395,33.5513406011,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
C42C1.8,394,33.4664004984,C42C1.8,WBGene00016586,Public name for WBGene00016586. History: N.A.
E01A2.1,394,33.4664004984,E01A2.1,WBGene00017084,Public name for WBGene00017084. History: N.A.
F59B2.7,394,33.4664004984,F59B2.7,WBGene00004269,Sequence name for WBGene00004269(rab-6.1). History: N.A.
Y17G7B.4,394,33.4664004984,Y17G7B.4,WBGene00012460,Sequence name for WBGene00012460(dhps-1). History: N.A.
F26A1.1,393,33.3814603956,F26A1.1,WBGene00017801,Public name for WBGene00017801. History: N.A.
H43I07.3,393,33.3814603956,H43I07.3,WBGene00019276,Sequence name for WBGene00019276(algn-5). History: N.A.
F26D11.1,392,33.2965202928,F26D11.1,WBGene00017818,"Public name for WBGene00017818. History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
F29G9.3,392,33.2965202928,F29G9.3,WBGene00000159,Sequence name for WBGene00000159(aps-1). History: N.A.
F54C4.4,392,33.2965202928,F54C4.4,WBGene00018795,Public name for WBGene00018795. History: N.A.
T05G5.9,392,33.2965202928,T05G5.9,WBGene00011503,Sequence name for WBGene00011503(gcc-2). History: N.A.
Y54F10AR.1,392,33.2965202928,Y54F10AR.1,WBGene00021854,Public name for WBGene00021854. History: N.A.
C17E4.11,391,33.21158019,C17E4.11,WBGene00044236,Public name for WBGene00044236. History: N.A.
R12E2.11,391,33.21158019,R12E2.11,WBGene00020036,Public name for WBGene00020036. History: N.A.
ZK673.2,391,33.21158019,ZK673.2,WBGene00014058,Public name for WBGene00014058. History: N.A.
D2013.10,390,33.1266400872,D2013.10,WBGene00006520,"Sequence name for WBGene00006520(egli-1). History: Renamed on 2021-01-02. Public name for Dead gene WBGene00008406. History of WBGene00008406: Merged into ""WBGene00006520"" on 2005-10-05"
F35C11.5,390,33.1266400872,F35C11.5,WBGene00009404,Public name for WBGene00009404. History: N.A.
F36A2.6,390,33.1266400872,F36A2.6,WBGene00004484,Sequence name for WBGene00004484(rps-15). History: N.A.
F44B9.5,390,33.1266400872,F44B9.5,WBGene00018408,Public name for WBGene00018408. History: N.A.
F46E10.9,390,33.1266400872,F46E10.9,WBGene00001073,Sequence name for WBGene00001073(dpy-11). History: N.A.
W02B12.10,390,33.1266400872,W02B12.10,WBGene00012205,Sequence name for WBGene00012205(metl-1). History: N.A.
Y46G5A.12,390,33.1266400872,Y46G5A.12,WBGene00012903,Sequence name for WBGene00012903(vps-2). History: N.A.
Y77E11A.2,390,33.1266400872,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
C07D8.6,389,33.0416999844,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
F56A8.1,389,33.0416999844,F56A8.1,WBGene00010138,Sequence name for WBGene00010138(anoh-1). History: Split into F56A8.9(WBGene00185001). History of WBGene00010138: N.A.
T04D1.4,389,33.0416999844,T04D1.4,WBGene00007053,"Sequence name for WBGene00007053(chd-7). History: N.A.. Public name for Dead gene WBGene00020213. History of WBGene00020213: Merged into ""WBGene00007053"" on 2005-10-05"
Y73F8A.32,389,33.0416999844,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
C30H7.2,388,32.9567598816,C30H7.2,WBGene00016278,Sequence name for WBGene00016278(erp-44.1). History: N.A.
Y106G6E.6,388,32.9567598816,Y106G6E.6,WBGene00013709,Sequence name for WBGene00013709(csnk-1). History: N.A.
C17F4.5,387,32.8718197788,C17F4.5,WBGene00015912,Sequence name for WBGene00015912(fbxc-50). History: N.A.
F37C12.4,387,32.8718197788,F37C12.4,WBGene00004450,Sequence name for WBGene00004450(rpl-36). History: N.A.
K02C4.4,387,32.8718197788,K02C4.4,WBGene00003089,Sequence name for WBGene00003089(ltd-1). History: N.A.
M04G12.4,387,32.8718197788,M04G12.4,WBGene00010868,Sequence name for WBGene00010868(somi-1). History: N.A.
R148.4,387,32.8718197788,R148.4,WBGene00020103,Public name for WBGene00020103. History: N.A.
T16H12.4,387,32.8718197788,T16H12.4,WBGene00011814,Sequence name for WBGene00011814(gtf-2H2C). History: N.A.
Y39G10AR.20,387,32.8718197788,Y39G10AR.20,WBGene00021475,Sequence name for WBGene00021475(tbca-1). History: N.A.
ZK185.1,387,32.8718197788,ZK185.1,WBGene00022681,Public name for WBGene00022681. History: N.A.
D1014.3,386,32.7868796761,D1014.3,WBGene00017016,Sequence name for WBGene00017016(snap-1). History: Renamed on 2005-03-17
F22H10.5,386,32.7868796761,F22H10.5,WBGene00017729,"Public name for WBGene00017729. History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
R02F2.4,386,32.7868796761,R02F2.4,WBGene00019833,Public name for WBGene00019833. History: N.A.
C08B11.7,385,32.7019395733,C08B11.7,WBGene00006724,Sequence name for WBGene00006724(ubh-4). History: N.A.
F20D12.5,385,32.7019395733,F20D12.5,WBGene00017644,Sequence name for WBGene00017644(exc-9). History: Renamed on 2005-07-22
F29F11.3,385,32.7019395733,F29F11.3,WBGene00009256,Sequence name for WBGene00009256(tut-2). History: N.A.
Y110A7A.12,385,32.7019395733,Y110A7A.12,WBGene00004959,Sequence name for WBGene00004959(spe-5). History: Renamed on 2012-04-24
C44B9.3,384,32.6169994705,C44B9.3,WBGene00008080,Public name for WBGene00008080. History: N.A.
F45H10.2,384,32.6169994705,F45H10.2,WBGene00009739,Public name for WBGene00009739. History: N.A.
JC8.3,384,32.6169994705,JC8.3,WBGene00004424,Sequence name for WBGene00004424(rpl-12). History: N.A.
T24H10.4,384,32.6169994705,T24H10.4,WBGene00012002,Public name for WBGene00012002. History: N.A.
Y17G7B.7,384,32.6169994705,Y17G7B.7,WBGene00006601,Sequence name for WBGene00006601(tpi-1). History: N.A.
Y46H3C.7,384,32.6169994705,Y46H3C.7,WBGene00021607,Public name for WBGene00021607. History: N.A.
F15D3.1,383,32.5320593677,F15D3.1,WBGene00001131,Sequence name for WBGene00001131(dys-1). History: N.A.
F15D4.4,383,32.5320593677,F15D4.4,WBGene00008861,Public name for WBGene00008861. History: N.A.
F26D2.2,383,32.5320593677,F26D2.2,WBGene00006375,Sequence name for WBGene00006375(syp-1). History: N.A.
F42A8.2,383,32.5320593677,F42A8.2,WBGene00006433,Sequence name for WBGene00006433(sdhb-1). History: Renamed on 2006-07-19
K06H7.4,383,32.5320593677,K06H7.4,WBGene00001743,Sequence name for WBGene00001743(grp-1). History: N.A.
B0244.2,382,32.4471192649,B0244.2,WBGene00002048,Sequence name for WBGene00002048(ida-1). History: N.A.
C01G6.4,382,32.4471192649,C01G6.4,WBGene00007226,Public name for WBGene00007226. History: N.A.
C34B2.10,382,32.4471192649,C34B2.10,WBGene00016395,Sequence name for WBGene00016395(spcs-1). History: Renamed on 2005-03-17
E02H1.3,382,32.4471192649,E02H1.3,WBGene00006473,Sequence name for WBGene00006473(tag-124). History: N.A.
EEED8.3,382,32.4471192649,EEED8.3,WBGene00017134,Public name for WBGene00017134. History: N.A.
M01F1.5,382,32.4471192649,M01F1.5,WBGene00010811,Sequence name for WBGene00010811(hmit-1.3). History: N.A.
T04H1.6,382,32.4471192649,T04H1.6,WBGene00003075,Sequence name for WBGene00003075(lrx-1). History: N.A.
Y49F6C.5,382,32.4471192649,Y49F6C.5,WBGene00021727,Sequence name for WBGene00021727(bath-23). History: N.A.
C34C12.8,381,32.3621791621,C34C12.8,WBGene00007927,Public name for WBGene00007927. History: N.A.
F27D4.7,381,32.3621791621,F27D4.7,WBGene00009191,Public name for WBGene00009191. History: N.A.
F53G12.5,381,32.3621791621,F53G12.5,WBGene00003229,Sequence name for WBGene00003229(mex-3). History: N.A.
T20D3.7,381,32.3621791621,T20D3.7,WBGene00006931,Sequence name for WBGene00006931(vps-26). History: N.A.
W09G3.3,381,32.3621791621,W09G3.3,WBGene00044065,"Sequence name for WBGene00044065(tag-229). History: N.A.. Public name for Dead gene WBGene00012367. History of WBGene00012367: Merged into ""WBGene00044065"" on 2005-10-05"
Y106G6H.6,381,32.3621791621,Y106G6H.6,WBGene00013719,Public name for WBGene00013719. History: N.A.
Y47H9C.9,381,32.3621791621,Y47H9C.9,WBGene00012952,Public name for WBGene00012952. History: N.A.
R06C1.3,380,32.2772390593,R06C1.3,WBGene00006958,Sequence name for WBGene00006958(wve-1). History: N.A.
C02E11.1,379,32.1922989565,C02E11.1,WBGene00015344,Sequence name for WBGene00015344(nra-4). History: N.A.
C04B4.2,379,32.1922989565,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
F33H1.3,379,32.1922989565,F33H1.3,WBGene00009364,Sequence name for WBGene00009364(wbp-11). History: N.A.
F55G1.11,379,32.1922989565,F55G1.11,WBGene00001934,Sequence name for WBGene00001934(his-60). History: N.A.
K09E4.3,379,32.1922989565,K09E4.3,WBGene00010721,Public name for WBGene00010721. History: N.A.
Y56A3A.30,379,32.1922989565,Y56A3A.30,WBGene00013242,Public name for WBGene00013242. History: N.A.
C09E7.4,378,32.1073588538,C09E7.4,WBGene00015638,Public name for WBGene00015638. History: N.A.
C41D11.5,378,32.1073588538,C41D11.5,WBGene00016564,Sequence name for WBGene00016564(cmt-1). History: N.A.
F52E1.10,378,32.1073588538,F52E1.10,WBGene00018698,Sequence name for WBGene00018698(vha-18). History: N.A.
K02B2.5,378,32.1073588538,K02B2.5,WBGene00004494,Sequence name for WBGene00004494(rps-25). History: N.A.
Y56A3A.4,378,32.1073588538,Y56A3A.4,WBGene00006396,Sequence name for WBGene00006396(taf-12). History: N.A.
AC8.11,377,32.022418751,AC8.11,WBGene00043989,Public name for WBGene00043989. History: N.A.
M02F4.1,377,32.022418751,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
T02H6.11,377,32.022418751,T02H6.11,WBGene00020181,Public name for WBGene00020181. History: Renamed on 2005-03-17
F57C2.2,376,31.9374786482,F57C2.2,WBGene00010194,Sequence name for WBGene00010194(btb-19). History: N.A.
R06B9.3,376,31.9374786482,R06B9.3,WBGene00011054,Sequence name for WBGene00011054(arrd-13). History: N.A.
Y18D10A.20,376,31.9374786482,Y18D10A.20,WBGene00003989,Sequence name for WBGene00003989(pfn-1). History: N.A.
Y54H5A.2,376,31.9374786482,Y54H5A.2,WBGene00021900,Public name for WBGene00021900. History: N.A.
ZK418.7,376,31.9374786482,ZK418.7,WBGene00022736,Public name for WBGene00022736. History: N.A.
C06A5.8,375,31.8525385454,C06A5.8,WBGene00015505,Public name for WBGene00015505. History: N.A.
B0334.3,374,31.7675984426,B0334.3,WBGene00007143,Sequence name for WBGene00007143(hacl-1). History: N.A.
B0491.7,374,31.7675984426,B0491.7,WBGene00007194,Sequence name for WBGene00007194(dph-5). History: N.A.
C29E4.13,373,31.6826583398,C29E4.13,WBGene00043051,Public name for WBGene00043051. History: N.A.
C33H5.15,373,31.6826583398,C33H5.15,WBGene00016381,Sequence name for WBGene00016381(sgo-1). History: N.A.
F40A3.3,373,31.6826583398,F40A3.3,WBGene00018218,Public name for WBGene00018218. History: N.A.
Y104H12BR.1,373,31.6826583398,Y104H12BR.1,WBGene00022425,Sequence name for WBGene00022425(plst-1). History: N.A.
Y119D3B.15,373,31.6826583398,Y119D3B.15,WBGene00022492,Sequence name for WBGene00022492(dss-1). History: N.A.
Y43E12A.1,373,31.6826583398,Y43E12A.1,WBGene00000866,Sequence name for WBGene00000866(cyb-2.1). History: N.A.
C24G6.1,372,31.597718237,C24G6.1,WBGene00006376,Sequence name for WBGene00006376(syp-2). History: N.A.
ZK686.4,372,31.597718237,ZK686.4,WBGene00022794,"Sequence name for WBGene00022794(snu-23). History: Split into ZK686.6(WBGene00044799). History of WBGene00022794: Split into ""WBGene00044799"" on 2006-04-21"
K03H6.5,371,31.5127781342,K03H6.5,WBGene00019370,Public name for WBGene00019370. History: N.A.
Y43B11AR.3,371,31.5127781342,Y43B11AR.3,WBGene00021544,Public name for WBGene00021544. History: N.A.
B0019.2,370,31.4278380315,B0019.2,WBGene00007094,Public name for WBGene00007094. History: N.A.
F26D10.10,370,31.4278380315,F26D10.10,WBGene00001606,Sequence name for WBGene00001606(gln-5). History: N.A.
F52H3.2,370,31.4278380315,F52H3.2,WBGene00009944,Sequence name for WBGene00009944(mtcu-2). History: N.A.
Y66H1B.4,370,31.4278380315,Y66H1B.4,WBGene00004981,Sequence name for WBGene00004981(spl-1). History: N.A.
K07A1.8,369,31.3428979287,K07A1.8,WBGene00002070,Sequence name for WBGene00002070(ile-1). History: N.A.
T23G11.7,369,31.3428979287,T23G11.7,WBGene00011972,Public name for WBGene00011972. History: N.A.
D2030.3,368,31.2579578259,D2030.3,WBGene00008413,Public name for WBGene00008413. History: N.A.
F09E5.8,368,31.2579578259,F09E5.8,WBGene00017286,Public name for WBGene00017286. History: N.A.
T02C1.1,368,31.2579578259,T02C1.1,WBGene00011365,Public name for WBGene00011365. History: N.A.
W02D9.2,368,31.2579578259,W02D9.2,WBGene00012208,Public name for WBGene00012208. History: N.A.
Y37D8A.21,368,31.2579578259,Y37D8A.21,WBGene00012558,Sequence name for WBGene00012558(rbm-7). History: N.A.
C24F3.5,367,31.1730177231,C24F3.5,WBGene00000019,Sequence name for WBGene00000019(abt-1). History: N.A.
F26A1.13,367,31.1730177231,F26A1.13,WBGene00017811,Sequence name for WBGene00017811(nonu-1). History: N.A.
F29B9.4,367,31.1730177231,F29B9.4,WBGene00004205,Sequence name for WBGene00004205(psr-1). History: N.A.
F57C9.3,367,31.1730177231,F57C9.3,WBGene00019010,Sequence name for WBGene00019010(glo-2). History: N.A.
K08H2.1,367,31.1730177231,K08H2.1,WBGene00004827,Sequence name for WBGene00004827(skr-21). History: N.A.
T19A6.3,367,31.1730177231,T19A6.3,WBGene00011828,Sequence name for WBGene00011828(nepr-1). History: Renamed on 2013-01-22
Y50C1A.1,367,31.1730177231,Y50C1A.1,WBGene00021733,Sequence name for WBGene00021733(otub-2). History: N.A.
C34B7.4,366,31.0880776203,C34B7.4,WBGene00007914,Sequence name for WBGene00007914(mys-4). History: N.A.
K07B1.7,366,31.0880776203,K07B1.7,WBGene00019467,Public name for WBGene00019467. History: N.A.
Y55F3AM.21,366,31.0880776203,Y55F3AM.21,WBGene00219399,Public name for WBGene00219399. History: N.A.
Y71F9B.16,366,31.0880776203,Y71F9B.16,WBGene00001048,Sequence name for WBGene00001048(dnj-30). History: N.A.
W10D9.6,365,31.0031375175,W10D9.6,WBGene00185079,Public name for WBGene00185079. History: N.A.
B0035.14,364,30.9181974147,B0035.14,WBGene00001019,Sequence name for WBGene00001019(dnj-1). History: N.A.
C06G3.8,364,30.9181974147,C06G3.8,WBGene00015554,Public name for WBGene00015554. History: N.A.
C37A2.7,364,30.9181974147,C37A2.7,WBGene00016493,Public name for WBGene00016493. History: N.A.
F33D4.1,364,30.9181974147,F33D4.1,WBGene00003607,Sequence name for WBGene00003607(nhr-8). History: N.A.
F40G9.1,363,30.8332573119,F40G9.1,WBGene00018239,Sequence name for WBGene00018239(sec-20). History: Split into F40G9.17(WBGene00185078). History of WBGene00018239: N.A.
K11D2.1,363,30.8332573119,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
D1046.3,362,30.7483172092,D1046.3,WBGene00008364,Sequence name for WBGene00008364(slc-25A26). History: N.A.
F14E5.8,362,30.7483172092,F14E5.8,WBGene00195147,Public name for WBGene00195147. History: N.A.
F52C9.1,362,30.7483172092,F52C9.1,WBGene00018672,Sequence name for WBGene00018672(sorf-2). History: Renamed on 2016-01-19
F54D8.6,362,30.7483172092,F54D8.6,WBGene00018802,Public name for WBGene00018802. History: N.A.
F59G1.1,362,30.7483172092,F59G1.1,WBGene00019127,Sequence name for WBGene00019127(cgt-3). History: N.A.
R119.3,362,30.7483172092,R119.3,WBGene00020089,Public name for WBGene00020089. History: N.A.
W04B5.1,362,30.7483172092,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y87G2A.14,362,30.7483172092,Y87G2A.14,WBGene00003585,Sequence name for WBGene00003585(ndx-8). History: N.A.
F26E4.6,361,30.6633771064,F26E4.6,WBGene00009161,Sequence name for WBGene00009161(cox-7C). History: N.A.
T07F10.3,361,30.6633771064,T07F10.3,WBGene00011589,Public name for WBGene00011589. History: N.A.
W05F2.3,361,30.6633771064,W05F2.3,WBGene00021035,Public name for WBGene00021035. History: N.A.
Y49A3A.3,361,30.6633771064,Y49A3A.3,WBGene00013026,Public name for WBGene00013026. History: N.A.
ZC15.3,361,30.6633771064,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
F30B5.4,360,30.5784370036,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
H17B01.1,360,30.5784370036,H17B01.1,WBGene00019207,Sequence name for WBGene00019207(fgt-1). History: N.A.
T13F2.1,360,30.5784370036,T13F2.1,WBGene00001396,Sequence name for WBGene00001396(fat-4). History: N.A.
Y25C1A.8,360,30.5784370036,Y25C1A.8,WBGene00021295,Public name for WBGene00021295. History: N.A.
F21F3.4,359,30.4934969008,F21F3.4,WBGene00017674,Public name for WBGene00017674. History: N.A.
F46B6.12,359,30.4934969008,F46B6.12,WBGene00009776,Public name for WBGene00009776. History: N.A.
C55B6.2,358,30.408556798,C55B6.2,WBGene00001025,Sequence name for WBGene00001025(dnj-7). History: N.A.
F26A3.2,358,30.408556798,F26A3.2,WBGene00009141,Sequence name for WBGene00009141(ncbp-2). History: N.A.
JC8.7,358,30.408556798,JC8.7,WBGene00010439,Public name for WBGene00010439. History: N.A.
F43G9.4,357,30.3236166952,F43G9.4,WBGene00009667,Public name for WBGene00009667. History: N.A.
M04B2.3,357,30.3236166952,M04B2.3,WBGene00001585,Sequence name for WBGene00001585(gfl-1). History: N.A.
Y105E8A.2,357,30.3236166952,Y105E8A.2,WBGene00013667,Public name for WBGene00013667. History: N.A.
Y79H2A.4,357,30.3236166952,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
CC4.3,356,30.2386765924,CC4.3,WBGene00004895,Sequence name for WBGene00004895(smu-1). History: N.A.
Y49E10.14,356,30.2386765924,Y49E10.14,WBGene00004027,Sequence name for WBGene00004027(pie-1). History: N.A.
ZK669.4,356,30.2386765924,ZK669.4,WBGene00014054,Sequence name for WBGene00014054(dbt-1). History: N.A.
K03B4.7,355,30.1537364896,K03B4.7,WBGene00019357,Sequence name for WBGene00019357(cpg-8). History: N.A.
W06E11.2,355,30.1537364896,W06E11.2,WBGene00044318,"Sequence name for WBGene00044318(tag-267). History: N.A.. Public name for Dead gene WBGene00021062. History of WBGene00021062: Merged into ""WBGene00044318"" on 2006-06-16"
F35G12.4,354,30.0687963869,F35G12.4,WBGene00009441,Sequence name for WBGene00009441(wdr-48). History: N.A.
F54B3.3,354,30.0687963869,F54B3.3,WBGene00010015,Sequence name for WBGene00010015(atad-3). History: N.A.
Y39A1A.23,354,30.0687963869,Y39A1A.23,WBGene00001997,Sequence name for WBGene00001997(hpr-9). History: N.A.
Y54E5B.3,354,30.0687963869,Y54E5B.3,WBGene00002324,Sequence name for WBGene00002324(let-49). History: N.A.
ZK418.5,354,30.0687963869,ZK418.5,WBGene00022734,Public name for WBGene00022734. History: N.A.
C34G6.5,353,29.9838562841,C34G6.5,WBGene00016421,Sequence name for WBGene00016421(cdc-7). History: N.A.
F35H12.2,353,29.9838562841,F35H12.2,WBGene00018075,Sequence name for WBGene00018075(tbc-11). History: N.A.
F56A8.4,353,29.9838562841,F56A8.4,WBGene00010140,Public name for WBGene00010140. History: N.A.
W03F9.5,353,29.9838562841,W03F9.5,WBGene00006648,Sequence name for WBGene00006648(ttb-1). History: N.A.
C50F4.13,352,29.8989161813,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
F37C12.1,352,29.8989161813,F37C12.1,WBGene00018149,Sequence name for WBGene00018149(yju-2). History: N.A.
F59A3.5,352,29.8989161813,,,
Y67D2.6,352,29.8989161813,Y67D2.6,WBGene00022056,Sequence name for WBGene00022056(ddx-35). History: N.A.
ZK154.7,352,29.8989161813,ZK154.7,WBGene00000075,Sequence name for WBGene00000075(adm-4). History: N.A.
C54C6.2,351,29.8139760785,C54C6.2,WBGene00000248,Sequence name for WBGene00000248(ben-1). History: N.A.
F39B2.5,351,29.8139760785,F39B2.5,WBGene00009556,Public name for WBGene00009556. History: N.A.
F54E7.9,351,29.8139760785,F54E7.9,WBGene00018831,Public name for WBGene00018831. History: N.A.
R12B2.4,351,29.8139760785,R12B2.4,WBGene00001869,Sequence name for WBGene00001869(him-10). History: N.A.
C05D11.12,350,29.7290359757,C05D11.12,WBGene00002855,Sequence name for WBGene00002855(let-721). History: N.A.
M163.4,350,29.7290359757,M163.4,WBGene00001583,Sequence name for WBGene00001583(gfi-3). History: N.A.
Y57A10A.28,350,29.7290359757,Y57A10A.28,WBGene00013268,Sequence name for WBGene00013268(tric-1B.2). History: N.A.
F48E8.4,349,29.6440958729,F48E8.4,WBGene00018611,Public name for WBGene00018611. History: N.A.
W04B5.2,349,29.6440958729,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
Y36E3A.2,349,29.6440958729,Y36E3A.2,WBGene00194708,Public name for WBGene00194708. History: N.A.
Y37F4.6,349,29.6440958729,Y37F4.6,WBGene00021387,Public name for WBGene00021387. History: N.A.
C54G4.8,348,29.5591557701,C54G4.8,WBGene00000869,Sequence name for WBGene00000869(cyc-1). History: N.A.
F54D10.4,348,29.5591557701,F54D10.4,WBGene00018805,Public name for WBGene00018805. History: N.A.
T16H12.2,348,29.5591557701,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
T26A5.4,348,29.5591557701,T26A5.4,WBGene00020820,Sequence name for WBGene00020820(algn-1). History: N.A.
